gt_id,frame,object_id,bbox,l0_bbox,l0_short_side,l0_area,size_bin,area_bin,boundary,cx_norm,cy_norm
f05-g03,5,condor,"[2685.0, 1730.0, 2858.0, 1900.0]","[671.25, 432.5, 714.5, 475.0]",42.5,1838.125,>=32,512-<2048,0,0.7217447916666667,0.8402777777777778
f05-g04,5,small_plane,"[2032.0, 1870.0, 2075.0, 1920.0]","[508.0, 467.5, 518.75, 480.0]",10.75,134.375,8-<16,128-<512,0,0.534765625,0.8773148148148148
f05-g05,5,jet_plane,"[2202.0, 56.0, 2275.0, 132.0]","[550.5, 14.0, 568.75, 33.0]",18.25,346.75,16-<32,128-<512,0,0.5829427083333333,0.04351851851851852
f05-g06,5,small_launcher,"[1783.0, 500.0, 1804.0, 530.0]","[445.75, 125.0, 451.0, 132.5]",5.25,39.375,4-<8,32-<128,0,0.46705729166666665,0.23842592592592593
f05-g07,5,tank,"[854.0, 234.0, 902.0, 278.0]","[213.5, 58.5, 225.5, 69.5]",11.0,132.0,8-<16,128-<512,0,0.22864583333333333,0.11851851851851852
f05-g08,5,helicopter,"[2244.0, 1170.0, 2357.0, 1261.0]","[561.0, 292.5, 589.25, 315.25]",22.75,642.6875,16-<32,512-<2048,0,0.5990885416666667,0.5627314814814814
f05-g09,5,small_tower,"[2640.0, 1110.0, 2696.0, 1169.0]","[660.0, 277.5, 674.0, 292.25]",14.0,206.5,8-<16,128-<512,0,0.6947916666666667,0.5275462962962963
f05-g10,5,ta-ta,"[1070.0, 576.0, 1101.0, 594.0]","[267.5, 144.0, 275.25, 148.5]",4.5,34.875,4-<8,32-<128,0,0.28268229166666664,0.2708333333333333
f06-g00,6,jammer,"[1477.0, 1668.0, 1510.0, 1712.0]","[369.25, 417.0, 377.5, 428.0]",8.25,90.75,8-<16,32-<128,0,0.38893229166666665,0.7824074074074074
f06-g01,6,large_launcher,"[3518.0, 710.0, 3664.0, 817.0]","[879.5, 177.5, 916.0, 204.25]",26.75,976.375,16-<32,512-<2048,0,0.93515625,0.35347222222222224
f06-g02,6,spacecraft,"[1508.0, 995.0, 1551.0, 1044.0]","[377.0, 248.75, 387.75, 261.0]",10.75,131.6875,8-<16,128-<512,0,0.3983072916666667,0.47199074074074077
f06-g03,6,condor,"[2691.0, 1806.0, 2866.0, 1977.0]","[672.75, 451.5, 716.5, 494.25]",42.75,1870.3125,>=32,512-<2048,0,0.7235677083333333,0.8756944444444444
f06-g04,6,small_plane,"[2033.0, 1947.0, 2076.0, 1998.0]","[508.25, 486.75, 519.0, 499.5]",10.75,137.0625,8-<16,128-<512,0,0.5350260416666667,0.9131944444444444
f06-g05,6,jet_plane,"[2204.0, 109.0, 2278.0, 185.0]","[551.0, 27.25, 569.5, 46.25]",18.5,351.5,16-<32,128-<512,0,0.58359375,0.06805555555555555
f06-g06,6,large_tower,"[3395.0, 0.0, 3451.0, 26.0]","[848.75, 0.0, 862.75, 6.5]",6.5,91.0,4-<8,32-<128,1,0.89140625,0.0060185185185185185
f06-g07,6,small_launcher,"[1782.0, 558.0, 1803.0, 588.0]","[445.5, 139.5, 450.75, 147.0]",5.25,39.375,4-<8,32-<128,0,0.466796875,0.2652777777777778
f06-g08,6,tank,"[847.0, 289.0, 895.0, 334.0]","[211.75, 72.25, 223.75, 83.5]",11.25,135.0,8-<16,128-<512,0,0.22682291666666668,0.14421296296296296
f06-g09,6,helicopter,"[2247.0, 1237.0, 2360.0, 1329.0]","[561.75, 309.25, 590.0, 332.25]",23.0,649.75,16-<32,512-<2048,0,0.5998697916666667,0.5939814814814814
f06-g10,6,small_tower,"[2646.0, 1176.0, 2701.0, 1236.0]","[661.5, 294.0, 675.25, 309.0]",13.75,206.25,8-<16,128-<512,0,0.6962239583333333,0.5583333333333333
f06-g11,6,ta-ta,"[1064.0, 634.0, 1095.0, 653.0]","[266.0, 158.5, 273.75, 163.25]",4.75,36.8125,4-<8,32-<128,0,0.2811197916666667,0.29791666666666666
f07-g00,7,jammer,"[1474.0, 1743.0, 1507.0, 1786.0]","[368.5, 435.75, 376.75, 446.5]",8.25,88.6875,8-<16,32-<128,0,0.38815104166666664,0.8168981481481481
f07-g01,7,large_launcher,"[3529.0, 771.0, 3676.0, 879.0]","[882.25, 192.75, 919.0, 219.75]",27.0,992.25,16-<32,512-<2048,0,0.9381510416666666,0.3819444444444444
f07-g02,7,spacecraft,"[1505.0, 1060.0, 1548.0, 1109.0]","[376.25, 265.0, 387.0, 277.25]",10.75,131.6875,8-<16,128-<512,0,0.39752604166666666,0.5020833333333333
f07-g03,7,condor,"[2697.0, 1882.0, 2873.0, 2056.0]","[674.25, 470.5, 718.25, 514.0]",43.5,1914.0,>=32,512-<2048,0,0.7252604166666666,0.9115740740740741
f07-g04,7,small_plane,"[2034.0, 2025.0, 2077.0, 2077.0]","[508.5, 506.25, 519.25, 519.25]",10.75,139.75,8-<16,128-<512,0,0.5352864583333333,0.9495370370370371
f07-g05,7,jet_plane,"[2206.0, 162.0, 2280.0, 239.0]","[551.5, 40.5, 570.0, 59.75]",18.5,356.125,16-<32,128-<512,0,0.5841145833333333,0.09282407407407407
f07-g06,7,large_tower,"[3404.0, 11.0, 3462.0, 79.0]","[851.0, 2.75, 865.5, 19.75]",14.5,246.5,8-<16,128-<512,0,0.8940104166666667,0.020833333333333332
f07-g07,7,small_launcher,"[1781.0, 616.0, 1803.0, 646.0]","[445.25, 154.0, 450.75, 161.5]",5.5,41.25,4-<8,32-<128,0,0.4666666666666667,0.29212962962962963
f07-g08,7,tank,"[840.0, 345.0, 888.0, 390.0]","[210.0, 86.25, 222.0, 97.5]",11.25,135.0,8-<16,128-<512,0,0.225,0.1701388888888889
f07-g09,7,helicopter,"[2249.0, 1304.0, 2364.0, 1398.0]","[562.25, 326.0, 591.0, 349.5]",23.5,675.625,16-<32,512-<2048,0,0.6006510416666667,0.625462962962963
f07-g10,7,small_tower,"[2651.0, 1244.0, 2707.0, 1303.0]","[662.75, 311.0, 676.75, 325.75]",14.0,206.5,8-<16,128-<512,0,0.69765625,0.5895833333333333
f07-g11,7,ta-ta,"[1059.0, 694.0, 1090.0, 712.0]","[264.75, 173.5, 272.5, 178.0]",4.5,34.875,4-<8,32-<128,0,0.27981770833333336,0.32546296296296295
f08-g00,8,jammer,"[1470.0, 1818.0, 1504.0, 1862.0]","[367.5, 454.5, 376.0, 465.5]",8.5,93.5,8-<16,32-<128,0,0.38723958333333336,0.8518518518518519
f08-g01,8,large_launcher,"[3540.0, 833.0, 3689.0, 942.0]","[885.0, 208.25, 922.25, 235.5]",27.25,1015.0625,16-<32,512-<2048,0,0.9412760416666667,0.41087962962962965
f08-g02,8,spacecraft,"[1502.0, 1125.0, 1546.0, 1174.0]","[375.5, 281.25, 386.5, 293.5]",11.0,134.75,8-<16,128-<512,0,0.396875,0.5321759259259259
f08-g03,8,condor,"[2703.0, 1960.0, 2881.0, 2135.0]","[675.75, 490.0, 720.25, 533.75]",43.75,1946.875,>=32,512-<2048,0,0.7270833333333333,0.9479166666666666
f08-g04,8,small_plane,"[2035.0, 2105.0, 2079.0, 2157.0]","[508.75, 526.25, 519.75, 539.25]",11.0,143.0,8-<16,128-<512,0,0.5356770833333333,0.986574074074074
f08-g05,8,jet_plane,"[2208.0, 216.0, 2282.0, 294.0]","[552.0, 54.0, 570.5, 73.5]",18.5,360.75,16-<32,128-<512,0,0.5846354166666666,0.11805555555555555
f08-g06,8,large_tower,"[3414.0, 65.0, 3472.0, 133.0]","[853.5, 16.25, 868.0, 33.25]",14.5,246.5,8-<16,128-<512,0,0.8966145833333333,0.04583333333333333
f08-g07,8,small_launcher,"[1781.0, 676.0, 1802.0, 706.0]","[445.25, 169.0, 450.5, 176.5]",5.25,39.375,4-<8,32-<128,0,0.46653645833333335,0.3199074074074074
f08-g08,8,tank,"[833.0, 401.0, 881.0, 447.0]","[208.25, 100.25, 220.25, 111.75]",11.5,138.0,8-<16,128-<512,0,0.22317708333333333,0.1962962962962963
f08-g09,8,helicopter,"[2251.0, 1373.0, 2367.0, 1467.0]","[562.75, 343.25, 591.75, 366.75]",23.5,681.5,16-<32,512-<2048,0,0.6013020833333333,0.6574074074074074
f08-g10,8,small_tower,"[2656.0, 1312.0, 2713.0, 1371.0]","[664.0, 328.0, 678.25, 342.75]",14.25,210.1875,8-<16,128-<512,0,0.6990885416666667,0.6210648148148148
f08-g11,8,ta-ta,"[1053.0, 755.0, 1084.0, 772.0]","[263.25, 188.75, 271.0, 193.0]",4.25,32.9375,4-<8,32-<128,0,0.27825520833333334,0.35347222222222224
f09-g00,9,jammer,"[1467.0, 1894.0, 1500.0, 1938.0]","[366.75, 473.5, 375.0, 484.5]",8.25,90.75,8-<16,32-<128,0,0.386328125,0.8870370370370371
f09-g01,9,large_launcher,"[3552.0, 897.0, 3701.0, 1005.0]","[888.0, 224.25, 925.25, 251.25]",27.0,1005.75,16-<32,512-<2048,0,0.9444010416666667,0.44027777777777777
f09-g02,9,spacecraft,"[1499.0, 1192.0, 1543.0, 1241.0]","[374.75, 298.0, 385.75, 310.25]",11.0,134.75,8-<16,128-<512,0,0.39609375,0.5631944444444444
f09-g03,9,condor,"[2709.0, 2039.0, 2888.0, 2159.0]","[677.25, 509.75, 722.0, 539.75]",30.0,1342.5,16-<32,512-<2048,1,0.7287760416666667,0.9717592592592592
f09-g04,9,jet_plane,"[2210.0, 271.0, 2285.0, 349.0]","[552.5, 67.75, 571.25, 87.25]",18.75,365.625,16-<32,128-<512,0,0.5852864583333334,0.14351851851851852
f09-g05,9,large_tower,"[3424.0, 120.0, 3483.0, 188.0]","[856.0, 30.0, 870.75, 47.0]",14.75,250.75,8-<16,128-<512,0,0.8993489583333333,0.0712962962962963
f09-g06,9,small_launcher,"[1780.0, 736.0, 1801.0, 766.0]","[445.0, 184.0, 450.25, 191.5]",5.25,39.375,4-<8,32-<128,0,0.46627604166666664,0.3476851851851852
f09-g07,9,tank,"[825.0, 458.0, 874.0, 504.0]","[206.25, 114.5, 218.5, 126.0]",11.5,140.875,8-<16,128-<512,0,0.22122395833333333,0.22268518518518518
f09-g08,9,helicopter,"[2254.0, 1443.0, 2370.0, 1538.0]","[563.5, 360.75, 592.5, 384.5]",23.75,688.75,16-<32,512-<2048,0,0.6020833333333333,0.6900462962962963
f09-g09,9,small_tower,"[2662.0, 1382.0, 2719.0, 1441.0]","[665.5, 345.5, 679.75, 360.25]",14.25,210.1875,8-<16,128-<512,0,0.7006510416666667,0.6534722222222222
f09-g10,9,ta-ta,"[1047.0, 816.0, 1078.0, 834.0]","[261.75, 204.0, 269.5, 208.5]",4.5,34.875,4-<8,32-<128,0,0.2766927083333333,0.3819444444444444
f10-g00,10,jammer,"[1463.0, 1972.0, 1497.0, 2016.0]","[365.75, 493.0, 374.25, 504.0]",8.5,93.5,8-<16,32-<128,0,0.3854166666666667,0.9231481481481482
f10-g01,10,large_launcher,"[3563.0, 961.0, 3714.0, 1069.0]","[890.75, 240.25, 928.5, 267.25]",27.0,1019.25,16-<32,512-<2048,0,0.9475260416666667,0.4699074074074074
f10-g02,10,spacecraft,"[1496.0, 1259.0, 1540.0, 1308.0]","[374.0, 314.75, 385.0, 327.0]",11.0,134.75,8-<16,128-<512,0,0.3953125,0.594212962962963
f10-g03,10,condor,"[2715.0, 2120.0, 2896.0, 2159.0]","[678.75, 530.0, 724.0, 539.75]",9.75,441.1875,8-<16,128-<512,1,0.7305989583333333,0.9905092592592593
f10-g04,10,jet_plane,"[2212.0, 327.0, 2287.0, 405.0]","[553.0, 81.75, 571.75, 101.25]",18.75,365.625,16-<32,128-<512,0,0.5858072916666667,0.16944444444444445
f10-g05,10,large_tower,"[3434.0, 176.0, 3493.0, 243.0]","[858.5, 44.0, 873.25, 60.75]",14.75,247.0625,8-<16,128-<512,0,0.901953125,0.09699074074074074
f10-g06,10,small_launcher,"[1779.0, 798.0, 1800.0, 828.0]","[444.75, 199.5, 450.0, 207.0]",5.25,39.375,4-<8,32-<128,0,0.466015625,0.3763888888888889
f10-g07,10,tank,"[818.0, 516.0, 867.0, 563.0]","[204.5, 129.0, 216.75, 140.75]",11.75,143.9375,8-<16,128-<512,0,0.21940104166666666,0.24976851851851853
f10-g08,10,helicopter,"[2256.0, 1514.0, 2374.0, 1610.0]","[564.0, 378.5, 593.5, 402.5]",24.0,708.0,16-<32,512-<2048,0,0.6028645833333334,0.7231481481481481
f10-g09,10,small_tower,"[2667.0, 1452.0, 2725.0, 1511.0]","[666.75, 363.0, 681.25, 377.75]",14.5,213.875,8-<16,128-<512,0,0.7020833333333333,0.6858796296296297
f10-g10,10,ta-ta,"[1040.0, 878.0, 1072.0, 896.0]","[260.0, 219.5, 268.0, 224.0]",4.5,36.0,4-<8,32-<128,0,0.275,0.41064814814814815
f11-g00,11,jammer,"[1460.0, 2051.0, 1494.0, 2095.0]","[365.0, 512.75, 373.5, 523.75]",8.5,93.5,8-<16,32-<128,0,0.3846354166666667,0.9597222222222223
f11-g01,11,large_launcher,"[3575.0, 1025.0, 3727.0, 1135.0]","[893.75, 256.25, 931.75, 283.75]",27.5,1045.0,16-<32,512-<2048,0,0.95078125,0.5
f11-g02,11,spacecraft,"[1493.0, 1327.0, 1537.0, 1377.0]","[373.25, 331.75, 384.25, 344.25]",11.0,137.5,8-<16,128-<512,0,0.39453125,0.6259259259259259
f11-g03,11,jet_plane,"[2214.0, 383.0, 2290.0, 462.0]","[553.5, 95.75, 572.5, 115.5]",19.0,375.25,16-<32,128-<512,0,0.5864583333333333,0.19560185185185186
f11-g04,11,large_tower,"[3444.0, 233.0, 3504.0, 299.0]","[861.0, 58.25, 876.0, 74.75]",15.0,247.5,8-<16,128-<512,0,0.9046875,0.12314814814814815
f11-g05,11,small_launcher,"[1778.0, 860.0, 1799.0, 890.0]","[444.5, 215.0, 449.75, 222.5]",5.25,39.375,4-<8,32-<128,0,0.46575520833333334,0.4050925925925926
f11-g06,11,tank,"[810.0, 575.0, 860.0, 622.0]","[202.5, 143.75, 215.0, 155.5]",11.75,146.875,8-<16,128-<512,0,0.21744791666666666,0.27708333333333335
f11-g07,11,helicopter,"[2259.0, 1586.0, 2377.0, 1683.0]","[564.75, 396.5, 594.25, 420.75]",24.25,715.375,16-<32,512-<2048,0,0.6036458333333333,0.756712962962963
f11-g08,11,small_tower,"[2673.0, 1524.0, 2731.0, 1582.0]","[668.25, 381.0, 682.75, 395.5]",14.5,210.25,8-<16,128-<512,0,0.7036458333333333,0.7189814814814814
f11-g09,11,ta-ta,"[1034.0, 941.0, 1066.0, 959.0]","[258.5, 235.25, 266.5, 239.75]",4.5,36.0,4-<8,32-<128,0,0.2734375,0.4398148148148148
f12-g00,12,jammer,"[1456.0, 2131.0, 1491.0, 2159.0]","[364.0, 532.75, 372.75, 539.75]",7.0,61.25,4-<8,32-<128,1,0.38372395833333334,0.9930555555555556
f12-g01,12,large_launcher,"[3587.0, 1091.0, 3740.0, 1201.0]","[896.75, 272.75, 935.0, 300.25]",27.5,1051.875,16-<32,512-<2048,0,0.9540364583333333,0.5305555555555556
f12-g02,12,spacecraft,"[1490.0, 1397.0, 1535.0, 1446.0]","[372.5, 349.25, 383.75, 361.5]",11.25,137.8125,8-<16,128-<512,0,0.3938802083333333,0.6581018518518519
f12-g03,12,jet_plane,"[2216.0, 440.0, 2292.0, 520.0]","[554.0, 110.0, 573.0, 130.0]",19.0,380.0,16-<32,128-<512,0,0.5869791666666667,0.2222222222222222
f12-g04,12,large_tower,"[3455.0, 290.0, 3515.0, 356.0]","[863.75, 72.5, 878.75, 89.0]",15.0,247.5,8-<16,128-<512,0,0.9075520833333334,0.14953703703703702
f12-g05,12,small_launcher,"[1777.0, 923.0, 1799.0, 953.0]","[444.25, 230.75, 449.75, 238.25]",5.5,41.25,4-<8,32-<128,0,0.465625,0.43425925925925923
f12-g06,12,tank,"[803.0, 635.0, 853.0, 682.0]","[200.75, 158.75, 213.25, 170.5]",11.75,146.875,8-<16,128-<512,0,0.215625,0.30486111111111114
f12-g07,12,helicopter,"[2261.0, 1659.0, 2381.0, 1756.0]","[565.25, 414.75, 595.25, 439.0]",24.25,727.5,16-<32,512-<2048,0,0.6044270833333333,0.7905092592592593
f12-g08,12,small_tower,"[2678.0, 1597.0, 2737.0, 1655.0]","[669.5, 399.25, 684.25, 413.75]",14.5,213.875,8-<16,128-<512,0,0.705078125,0.7527777777777778
f12-g09,12,ta-ta,"[1028.0, 1005.0, 1060.0, 1022.0]","[257.0, 251.25, 265.0, 255.5]",4.25,34.0,4-<8,32-<128,0,0.271875,0.46921296296296294
f13-g00,13,large_launcher,"[3599.0, 1158.0, 3754.0, 1268.0]","[899.75, 289.5, 938.5, 317.0]",27.5,1065.625,16-<32,512-<2048,0,0.957421875,0.5615740740740741
