target_class,start_frame,end_frame,x,y,dx,dy,shared_dx,shared_dy,residual_dx,residual_dy,raw_magnitude,residual_magnitude,width_ratio,height_ratio,boundary
hangar,22,23,219.0,100.0,-11.0,53.5,-1.0,67.5,-10.0,-14.0,54.61913584083879,17.204650534085253,1.010752688172043,1.0078125,0
hangar,23,24,208.0,153.5,-11.5,54.5,-4.25,69.75,-7.25,-15.25,55.70008976653449,16.885644790768282,1.0053191489361701,1.0077519379844961,0
helicopter,0,1,2287.5,893.5,2.5,62.5,1.0,62.0,1.5,0.5,62.54998001598402,1.5811388300841898,1.0091743119266054,1.0114942528735633,0
helicopter,1,2,2290.0,956.0,3.0,63.5,0.25,61.5,2.75,2.0,63.57082664241515,3.400367627183861,1.0,1.0113636363636365,0
helicopter,2,3,2293.0,1019.5,2.5,64.5,0.0,62.0,2.5,2.5,64.54843142943135,3.5355339059327378,1.009090909090909,1.0112359550561798,0
helicopter,3,4,2295.5,1084.0,2.5,65.5,1.0,62.0,1.5,3.5,65.54769256045554,3.8078865529319543,1.009009009009009,1.011111111111111,0
helicopter,4,5,2298.0,1149.5,2.5,66.0,1.0,63.0,1.5,3.0,66.04733151308992,3.3541019662496847,1.0089285714285714,1.0,0
helicopter,5,6,2300.5,1215.5,3.0,67.5,1.0,63.0,2.0,4.5,67.56663377733125,4.924428900898052,1.0,1.010989010989011,0
helicopter,6,7,2303.5,1283.0,3.0,68.0,1.5,63.25,1.5,4.75,68.06614430096654,4.981214711292819,1.0176991150442478,1.0217391304347827,0
helicopter,7,8,2306.5,1351.0,2.5,69.0,1.75,63.75,0.75,5.25,69.04527500126275,5.303300858899107,1.008695652173913,1.0,0
helicopter,8,9,2309.0,1420.0,3.0,70.5,2.5,61.5,0.5,9.0,70.56380091803446,9.013878188659973,1.0,1.0106382978723405,0
helicopter,9,10,2312.0,1490.5,3.0,71.5,2.0,62.0,1.0,9.5,71.5629093874753,9.5524865872714,1.0172413793103448,1.0105263157894737,0
helicopter,10,11,2315.0,1562.0,3.0,72.5,0.75,64.0,2.25,8.5,72.56204241888454,8.792752697534487,1.0,1.0104166666666667,0
helicopter,11,12,2318.0,1634.5,3.0,73.0,0.75,64.75,2.25,8.25,73.06161783043132,8.551315688243536,1.0169491525423728,1.0,0
helicopter,12,13,2321.0,1707.5,3.0,74.5,2.5,65.0,0.5,9.5,74.56037821792484,9.513148795220223,1.0,1.0103092783505154,0
helicopter,13,14,2324.0,1782.0,3.5,76.0,2.0,66.0,1.5,10.0,76.08054941967757,10.111874208078342,1.0083333333333333,1.0204081632653061,0
helicopter,14,15,2327.5,1858.0,2.5,76.5,2.5,66.25,0.0,10.25,76.54083877251412,10.25,1.0082644628099173,1.01,0
helicopter,15,16,2330.0,1934.5,3.5,78.5,3.0,67.25,0.5,11.25,78.57798673928977,11.261105629555209,1.0081967213114753,1.00990099009901,0
helicopter,16,17,2333.5,2013.0,3.5,79.0,2.75,67.75,0.75,11.25,79.07749363757048,11.27497228377968,1.008130081300813,1.0,0
helicopter,17,18,2337.0,2092.0,3.5,48.0,3.0,67.25,0.5,-19.25,48.12743500333256,19.256492411651713,1.0080645161290323,0.37254901960784315,1
jammer,0,1,1512.0,1268.5,-3.0,67.5,1.0,62.0,-4.0,5.5,67.56663377733125,6.800735254367722,1.0,1.0232558139534884,0
jammer,1,2,1509.0,1336.0,-3.0,68.5,0.25,61.5,-3.25,7.0,68.56566195990527,7.7176745202165655,1.0,0.9772727272727273,0
jammer,2,3,1506.0,1404.5,-3.0,70.0,0.0,62.0,-3.0,8.0,70.06425622241343,8.54400374531753,1.0,1.0,0
jammer,3,4,1503.0,1474.5,-3.0,71.0,1.0,62.0,-4.0,9.0,71.06335201775947,9.848857801796104,1.0,1.0,0
jammer,4,5,1500.0,1545.5,-3.0,72.0,1.0,63.0,-4.0,9.0,72.06247289678588,9.848857801796104,1.0,1.0,0
jammer,5,6,1497.0,1617.5,-3.5,72.5,1.0,63.0,-4.5,9.5,72.58443359288546,10.51189802081432,1.03125,1.0232558139534884,0
jammer,6,7,1493.5,1690.0,-3.0,74.5,1.5,63.25,-4.5,11.25,74.56037821792484,12.116620816052635,1.0,0.9772727272727273,0
jammer,7,8,1490.5,1764.5,-3.5,75.5,1.75,63.75,-5.25,11.75,75.58108228915486,12.869537676233751,1.0303030303030303,1.0232558139534884,0
jammer,8,9,1487.0,1840.0,-3.5,76.0,2.5,61.5,-6.0,14.5,76.08054941967757,15.692354826475215,0.9705882352941176,1.0,0
jammer,9,10,1483.5,1916.0,-3.5,78.0,2.0,62.0,-5.5,16.0,78.07848615335725,16.91892431568863,1.0303030303030303,1.0,0
jammer,10,11,1480.0,1994.0,-3.0,79.0,0.75,64.0,-3.75,15.0,79.05694150420949,15.461646096066227,1.0,1.0,0
jammer,11,12,1477.0,2073.0,-3.5,72.0,0.75,64.75,-4.25,7.25,72.0850192481073,8.403868156985805,1.0294117647058822,0.6363636363636364,1
jet_plane,3,4,2235.0,13.5,2.0,28.0,1.0,62.0,1.0,-34.0,28.071337695236398,34.0147027033899,1.0,2.7777777777777777,1
jet_plane,4,5,2237.0,41.5,1.5,52.5,1.0,63.0,0.5,-10.5,52.52142420003479,10.51189802081432,1.0138888888888888,1.0133333333333334,0
jet_plane,5,6,2238.5,94.0,2.5,53.0,1.0,63.0,1.5,-10.0,53.05892950295925,10.111874208078342,1.0136986301369864,1.0,0
jet_plane,6,7,2241.0,147.0,2.0,53.5,1.5,63.25,0.5,-9.75,53.53737012592232,9.762812094883317,1.0,1.013157894736842,0
jet_plane,7,8,2243.0,200.5,2.0,54.5,1.75,63.75,0.25,-9.25,54.536684901082864,9.253377761660873,1.0,1.0129870129870129,0
jet_plane,8,9,2245.0,255.0,2.5,55.0,2.5,61.5,0.0,-6.5,55.056788863863105,6.5,1.0135135135135136,1.0,0
jet_plane,9,10,2247.5,310.0,2.0,56.0,2.0,62.0,0.0,-6.0,56.0357029044876,6.0,1.0,1.0,0
jet_plane,10,11,2249.5,366.0,2.5,56.5,0.75,64.0,1.75,-7.5,56.555282688710875,7.7014609003746815,1.0133333333333334,1.0128205128205128,0
jet_plane,11,12,2252.0,422.5,2.0,57.5,0.75,64.75,1.25,-7.25,57.53477209479499,7.3569694847810805,1.0,1.0126582278481013,0
jet_plane,12,13,2254.0,480.0,2.5,58.0,2.5,65.0,0.0,-7.0,58.0538543078752,7.0,1.013157894736842,1.0,0
jet_plane,13,14,2256.5,538.0,2.0,59.0,2.0,66.0,0.0,-7.0,59.033888572581766,7.0,1.0,1.025,0
jet_plane,14,15,2258.5,597.0,2.5,60.0,2.5,66.25,0.0,-6.25,60.05206074732157,6.25,1.0129870129870129,1.0,0
jet_plane,15,16,2261.0,657.0,2.5,60.5,3.0,67.25,-0.5,-6.75,60.55163086160438,6.768493185340442,1.0128205128205128,1.0121951219512195,0
jet_plane,16,17,2263.5,717.5,2.0,61.5,2.75,67.75,-0.75,-6.25,61.53251173160413,6.294839156007086,1.0,1.0120481927710843,0
jet_plane,17,18,2265.5,779.0,2.5,62.0,3.0,67.25,-0.5,-5.25,62.050382754661555,5.273755777432247,1.0126582278481013,1.0,0
jet_plane,18,19,2268.0,841.0,2.5,63.5,2.5,66.0,0.0,-2.5,63.549193543270086,2.5,1.0125,1.0119047619047619,0
jet_plane,19,20,2270.5,904.5,3.0,64.0,-1.0,67.0,4.0,-3.0,64.07027391856539,5.0,1.0,1.0,0
jet_plane,20,21,2273.5,968.5,2.0,65.0,-2.25,66.25,4.25,-1.25,65.03076195155643,4.430011286667337,1.0,1.0235294117647058,0
jet_plane,21,22,2275.5,1033.5,2.5,66.0,-2.25,65.75,4.75,0.25,66.04733151308992,4.756574397610112,1.0123456790123457,1.0,0
jet_plane,22,23,2278.0,1099.5,2.5,67.0,-1.0,67.5,3.5,-0.5,67.04662556758542,3.5355339059327378,1.0121951219512195,1.0,0
jet_plane,23,24,2280.5,1166.5,3.0,68.0,-4.25,69.75,7.25,-1.75,68.06614430096654,7.458216945088149,1.0,1.0229885057471264,0
large_launcher,0,1,3524.5,411.5,10.5,57.0,1.0,62.0,9.5,-5.0,57.95903725908497,10.735455276791944,1.0071942446043165,1.0,0
large_launcher,1,2,3535.0,468.5,11.0,57.5,0.25,61.5,10.75,-4.0,58.54271944486351,11.470069746954461,1.0142857142857142,1.0095238095238095,0
large_launcher,2,3,3546.0,526.0,11.0,58.0,0.0,62.0,11.0,-4.0,59.033888572581766,11.704699910719626,1.0,1.0,0
large_launcher,3,4,3557.0,584.0,11.0,59.0,1.0,62.0,10.0,-3.0,60.01666435249463,10.44030650891055,1.0140845070422535,1.0,0
large_launcher,4,5,3568.0,643.0,11.5,59.5,1.0,63.0,10.5,-3.5,60.60115510450275,11.067971810589327,1.0069444444444444,1.009433962264151,0
large_launcher,5,6,3579.5,702.5,11.5,61.0,1.0,63.0,10.5,-2.0,62.07455195166535,10.688779163215974,1.006896551724138,1.0,0
large_launcher,6,7,3591.0,763.5,11.5,61.5,1.5,63.25,10.0,-1.75,62.56596518875099,10.151970252123476,1.0068493150684932,1.0093457943925233,0
large_launcher,7,8,3602.5,825.0,12.0,62.5,1.75,63.75,10.25,-1.25,63.641574461982,10.32593821403169,1.0136054421768708,1.0092592592592593,0
large_launcher,8,9,3614.5,887.5,12.0,63.5,2.5,61.5,9.5,2.0,64.62391198310421,9.7082439194738,1.0,0.9908256880733946,0
large_launcher,9,10,3626.5,951.0,12.0,64.0,2.0,62.0,10.0,2.0,65.11528238439882,10.198039027185569,1.0134228187919463,1.0,0
large_launcher,10,11,3638.5,1015.0,12.5,65.0,0.75,64.0,11.75,1.0,66.19101147436864,11.792476415070755,1.0066225165562914,1.0185185185185186,0
large_launcher,11,12,3651.0,1080.0,12.5,66.0,0.75,64.75,11.75,1.25,67.17328337962944,11.816302298096474,1.006578947368421,1.0,0
large_launcher,12,13,3663.5,1146.0,13.0,67.0,2.5,65.0,10.5,2.0,68.24954212300622,10.688779163215974,1.0130718954248366,1.0,0
large_launcher,13,14,3676.5,1213.0,12.5,68.0,2.0,66.0,10.5,2.0,69.13935203630419,10.688779163215974,1.0064516129032257,1.0,0
large_launcher,14,15,3689.0,1281.0,13.0,69.5,2.5,66.25,10.5,3.25,70.70537461890716,10.991473968490304,1.0128205128205128,1.009090909090909,0
large_launcher,15,16,3702.0,1350.5,13.5,69.5,3.0,67.25,10.5,2.25,70.79901129253147,10.738365797457265,1.0063291139240507,1.009009009009009,0
large_launcher,16,17,3715.5,1420.0,13.5,71.0,2.75,67.75,10.75,3.25,72.27205545714055,11.2305387226081,1.0062893081761006,1.0,0
large_launcher,17,18,3729.0,1491.0,13.5,72.0,3.0,67.25,10.5,4.75,73.25469268244868,11.52443057161611,1.00625,1.0,0
large_launcher,18,19,3742.5,1563.0,14.0,73.5,2.5,66.0,11.5,7.5,74.82145414251183,13.729530217745982,1.0124223602484472,1.0089285714285714,0
large_launcher,19,20,3756.5,1636.5,7.0,74.0,-1.0,67.0,8.0,7.0,74.33034373659252,10.63014581273465,0.9263803680981595,1.0,1
large_launcher,20,21,3763.5,1710.5,7.0,76.0,-2.25,66.25,9.25,9.75,76.32168761236873,13.439680055715613,0.9072847682119205,1.0,1
large_launcher,21,22,3770.5,1786.5,6.5,76.5,-2.25,65.75,8.75,10.75,76.77564718060017,13.860916275629112,0.9051094890510949,1.008849557522124,1
large_launcher,22,23,3777.0,1863.0,7.0,78.0,-1.0,67.5,8.0,10.5,78.31347265956222,13.200378782444085,0.8870967741935484,1.0,1
large_launcher,23,24,3784.0,1941.0,7.5,79.0,-4.25,69.75,11.75,9.25,79.35521406939812,14.95409642873818,0.8636363636363636,1.0,1
large_tower,6,7,3423.0,13.0,10.0,32.0,1.5,63.25,8.5,-31.25,33.52610922848042,32.3853747855417,1.0357142857142858,2.6153846153846154,1
large_tower,7,8,3433.0,45.0,10.0,54.0,1.75,63.75,8.25,-9.75,54.91812087098393,12.772039774444801,1.0,1.0,0
large_tower,8,9,3443.0,99.0,10.5,55.0,2.5,61.5,8.0,-6.5,55.9933031710043,10.307764064044152,1.0172413793103448,1.0,0
large_tower,9,10,3453.5,154.0,10.0,55.5,2.0,62.0,8.0,-6.5,56.39370532249144,10.307764064044152,1.0,0.9852941176470589,0
large_tower,10,11,3463.5,209.5,10.5,56.5,0.75,64.0,9.75,-7.5,57.467382052778426,12.300914600142544,1.0169491525423728,0.9850746268656716,0
large_tower,11,12,3474.0,266.0,11.0,57.0,0.75,64.75,10.25,-7.75,58.05170109479997,12.850097275896397,1.0,1.0,0
large_tower,12,13,3485.0,323.0,10.5,58.0,2.5,65.0,8.0,-7.0,58.94276885250641,10.63014581273465,1.0166666666666666,1.0,0
large_tower,13,14,3495.5,381.0,11.5,58.5,2.0,66.0,9.5,-7.5,59.61962764056817,12.103718436910205,1.0163934426229508,0.9848484848484849,0
large_tower,14,15,3507.0,439.5,11.0,59.5,2.5,66.25,8.5,-6.75,60.508263898413084,10.854146673046206,1.0,0.9846153846153847,0
large_tower,15,16,3518.0,499.0,11.5,60.5,3.0,67.25,8.5,-6.75,61.58327695080865,10.854146673046206,1.0161290322580645,1.015625,0
large_tower,16,17,3529.5,559.5,11.0,61.0,2.75,67.75,8.25,-6.75,61.98386886924694,10.659502802663921,1.0,0.9692307692307692,0
large_tower,17,18,3540.5,620.5,11.5,62.0,3.0,67.25,8.5,-5.25,63.05751343020116,9.990620601344043,1.0158730158730158,1.0,0
large_tower,18,19,3552.0,682.5,12.0,63.5,2.5,66.0,9.5,-2.5,64.62391198310421,9.82344135219425,1.0,0.9841269841269841,0
large_tower,19,20,3564.0,746.0,12.0,63.5,-1.0,67.0,13.0,-3.5,64.62391198310421,13.46291201783626,1.03125,0.9838709677419355,0
large_tower,20,21,3576.0,809.5,12.0,65.0,-2.25,66.25,14.25,-1.25,66.09841147864296,14.304719500919967,1.0,1.0,0
large_tower,21,22,3588.0,874.5,12.5,65.5,-2.25,65.75,14.75,-0.25,66.68208155119335,14.75211849193193,1.0151515151515151,0.9836065573770492,0
large_tower,22,23,3600.5,940.0,12.5,67.5,-1.0,67.5,13.5,0.0,68.6476510887299,13.5,1.0149253731343284,0.9833333333333333,0
large_tower,23,24,3613.0,1007.5,12.5,67.5,-4.25,69.75,16.75,-2.25,68.6476510887299,16.90044378115557,1.0147058823529411,0.9830508474576272,0
medium_launcher,14,15,3742.0,8.5,11.5,38.5,2.5,66.25,9.0,-27.75,40.18084120572888,29.172975508165088,1.0217391304347827,2.588235294117647,1
medium_launcher,15,16,3753.5,47.0,12.0,53.5,3.0,67.25,9.0,-13.75,54.82928049865327,16.433578429544795,1.0,1.0227272727272727,0
medium_launcher,16,17,3765.5,100.5,12.0,54.0,2.75,67.75,9.25,-13.75,55.31726674375732,16.57181341917655,1.0,1.0,0
medium_launcher,17,18,3777.5,154.5,12.5,55.0,3.0,67.25,9.5,-12.25,56.40257086339239,15.502015997927495,1.0212765957446808,1.0,0
medium_launcher,18,19,3790.0,209.5,13.0,55.5,2.5,66.0,10.5,-10.5,57.002192940272046,14.849242404917497,1.0,1.0222222222222221,0
medium_launcher,19,20,3803.0,265.0,12.0,56.0,-1.0,67.0,13.0,-11.0,57.271284253105414,17.029386365926403,1.0,1.0,1
medium_launcher,20,21,3815.0,321.0,6.5,57.0,-2.25,66.25,8.75,-9.25,57.36941693969009,12.732831578246843,0.7291666666666666,1.0,1
medium_launcher,21,22,3821.5,378.0,6.5,58.0,-2.25,65.75,8.75,-7.75,58.36308764964376,11.68866972756096,0.6285714285714286,1.0,1
medium_launcher,22,23,3828.0,436.0,6.5,59.0,-1.0,67.5,7.5,-8.5,59.35697094697471,11.335784048754634,0.4090909090909091,1.0,1
medium_plane,20,21,637.5,16.0,-8.0,45.0,-2.25,66.25,-5.75,-21.25,45.70557952810576,22.014199962751317,1.0,1.5,1
medium_plane,21,22,629.5,61.0,-8.5,53.5,-2.25,65.75,-6.25,-12.25,54.171025465649066,13.752272539475067,1.018181818181818,1.0208333333333333,0
medium_plane,22,23,621.0,114.5,-9.0,54.0,-1.0,67.5,-8.0,-13.5,54.74486277268398,15.692354826475215,1.0,1.0,0
medium_plane,23,24,612.0,168.5,-8.5,55.0,-4.25,69.75,-4.25,-14.75,55.65294241996554,15.350081433008752,1.0178571428571428,1.0,0
mine_roller,0,1,2005.5,2040.0,1.0,80.0,1.0,62.0,0.0,18.0,80.00624975587844,18.0,1.0,1.0,0
small_launcher,0,1,1798.0,236.0,-1.0,54.0,1.0,62.0,-2.0,-8.0,54.00925846556311,8.246211251235321,1.0,1.0,0
small_launcher,1,2,1797.0,290.0,-0.5,55.0,0.25,61.5,-0.75,-6.5,55.00227268031749,6.5431261641512,1.05,1.0,0
small_launcher,2,3,1796.5,345.0,-1.0,56.0,0.0,62.0,-1.0,-6.0,56.00892785976178,6.082762530298219,1.0,1.0,0
small_launcher,3,4,1795.5,401.0,-1.0,56.5,1.0,62.0,-2.0,-5.5,56.50884886458049,5.852349955359813,1.0,1.0333333333333334,0
small_launcher,4,5,1794.5,457.5,-1.0,57.5,1.0,63.0,-2.0,-5.5,57.5086949947571,5.852349955359813,1.0,0.967741935483871,0
small_launcher,5,6,1793.5,515.0,-1.0,58.0,1.0,63.0,-2.0,-5.0,58.008620049092706,5.385164807134504,1.0,1.0,0
small_launcher,6,7,1792.5,573.0,-0.5,58.0,1.5,63.25,-2.0,-5.25,58.00215513237418,5.618051263561058,1.0476190476190477,1.0,0
small_launcher,7,8,1792.0,631.0,-0.5,60.0,1.75,63.75,-2.25,-3.75,60.002083297165605,4.373213921133975,0.9545454545454546,1.0,0
small_launcher,8,9,1791.5,691.0,-1.0,60.0,2.5,61.5,-3.5,-1.5,60.00833275470999,3.8078865529319543,1.0,1.0,0
small_launcher,9,10,1790.5,751.0,-1.0,62.0,2.0,62.0,-3.0,0.0,62.00806399170998,3.0,1.0,1.0,0
small_launcher,10,11,1789.5,813.0,-1.0,62.0,0.75,64.0,-1.75,-2.0,62.00806399170998,2.6575364531836625,1.0,1.0,0
small_launcher,11,12,1788.5,875.0,-0.5,63.0,0.75,64.75,-1.25,-1.75,63.00198409574099,2.1505813167606567,1.0476190476190477,1.0,0
small_launcher,12,13,1788.0,938.0,-1.0,63.0,2.5,65.0,-3.5,-2.0,63.00793600809346,4.031128874149275,1.0,1.0,0
small_launcher,13,14,1787.0,1001.0,-1.0,65.0,2.0,66.0,-3.0,-1.0,65.00769185258002,3.1622776601683795,1.0,1.0,0
small_launcher,14,15,1786.0,1066.0,-1.5,66.0,2.5,66.25,-4.0,-0.25,66.01704325399616,4.00780488547035,1.0454545454545454,1.0,0
small_launcher,15,16,1784.5,1132.0,-1.0,66.5,3.0,67.25,-4.0,-0.75,66.50751837198558,4.0697051490249265,1.0,0.9666666666666667,0
small_launcher,16,17,1783.5,1198.5,-1.0,67.5,2.75,67.75,-3.75,-0.25,67.5074070010099,3.758324094593227,1.0,1.0344827586206897,0
small_launcher,17,18,1782.5,1266.0,-1.0,69.0,3.0,67.25,-4.0,1.75,69.00724599634447,4.366062299143245,1.0,1.0,0
small_launcher,18,19,1781.5,1335.0,-1.0,69.5,2.5,66.0,-3.5,3.5,69.50719387228922,4.949747468305833,1.0,0.9666666666666667,0
small_launcher,19,20,1780.5,1404.5,-1.0,70.5,-1.0,67.0,0.0,3.5,70.50709184188496,3.5,1.0,1.0344827586206897,0
small_launcher,20,21,1779.5,1475.0,-1.0,72.0,-2.25,66.25,1.25,5.75,72.00694410957877,5.88430114796991,1.0,1.0,0
small_launcher,21,22,1778.5,1547.0,-1.0,72.5,-2.25,65.75,1.25,6.75,72.50689622373861,6.864765108872991,1.0,0.9666666666666667,0
small_launcher,22,23,1777.5,1619.5,-1.0,74.0,-1.0,67.5,0.0,6.5,74.00675644831355,6.5,1.0,1.0,0
small_launcher,23,24,1776.5,1693.5,-1.5,75.0,-4.25,69.75,2.75,5.25,75.01499850029992,5.926634795564849,1.0434782608695652,1.0,0
small_plane,0,1,2048.5,1526.0,1.0,71.5,1.0,62.0,0.0,9.5,71.50699266505339,9.5,1.0,1.0208333333333333,0
small_plane,1,2,2049.5,1597.5,1.0,73.0,0.25,61.5,0.75,11.5,73.00684899377592,11.52443057161611,1.0,1.0,0
small_plane,2,3,2050.5,1670.5,1.0,73.5,0.0,62.0,1.0,11.5,73.50680240630795,11.543396380615196,1.048780487804878,1.0204081632653061,0
small_plane,3,4,2051.5,1744.0,1.0,75.0,1.0,62.0,0.0,13.0,75.0066663703967,13.0,1.0,1.0,0
small_plane,4,5,2052.5,1819.0,1.0,76.0,1.0,63.0,0.0,13.0,76.00657866263946,13.0,1.0,1.0,0
small_plane,5,6,2053.5,1895.0,1.0,77.5,1.0,63.0,0.0,14.5,77.5064513443881,14.5,1.0,1.02,0
small_plane,6,7,2054.5,1972.5,1.0,78.5,1.5,63.25,-0.5,15.25,78.50636916836748,15.258194519667128,1.0,1.0196078431372548,0
small_plane,7,8,2055.5,2051.0,1.5,80.0,1.75,63.75,-0.25,16.25,80.0140612642553,16.251922963145006,1.0232558139534884,1.0,0
small_tower,0,1,2642.5,821.0,4.5,62.0,1.0,62.0,3.5,0.0,62.16309194369276,3.5,1.0188679245283019,1.0,0
small_tower,1,2,2647.0,883.0,5.0,63.0,0.25,61.5,4.75,1.5,63.198101237299845,4.981214711292819,1.0,1.0,0
small_tower,2,3,2652.0,946.0,5.5,63.0,0.0,62.0,5.5,1.0,63.23962365479415,5.5901699437494745,1.0185185185185186,1.0,0
small_tower,3,4,2657.5,1009.0,5.0,65.0,1.0,62.0,4.0,3.0,65.19202405202648,5.0,1.0,1.0,0
small_tower,4,5,2662.5,1074.0,5.5,65.5,1.0,63.0,4.5,2.5,65.73051041943916,5.1478150704935,1.018181818181818,0.9833333333333333,0
small_tower,5,6,2668.0,1139.5,5.5,66.5,1.0,63.0,4.5,3.5,66.72705598181295,5.70087712549569,0.9821428571428571,1.0169491525423728,0
small_tower,6,7,2673.5,1206.0,5.5,67.5,1.5,63.25,4.0,4.25,67.72370338367506,5.836308764964376,1.018181818181818,0.9833333333333333,0
small_tower,7,8,2679.0,1273.5,5.5,68.0,1.75,63.75,3.75,4.25,68.222063879657,5.667892024377317,1.0178571428571428,1.0,0
small_tower,8,9,2684.5,1341.5,6.0,70.0,2.5,61.5,3.5,8.5,70.25667228100119,9.192388155425117,1.0,1.0,0
small_tower,9,10,2690.5,1411.5,5.5,70.0,2.0,62.0,3.5,8.0,70.2157389763862,8.73212459828649,1.0175438596491229,1.0,0
small_tower,10,11,2696.0,1481.5,6.0,71.5,0.75,64.0,5.25,7.5,71.75130660831202,9.154916711800277,1.0,0.9830508474576272,0
small_tower,11,12,2702.0,1553.0,5.5,73.0,0.75,64.75,4.75,8.25,73.20689858203255,9.519716382329886,1.0172413793103448,1.0,0
small_tower,12,13,2707.5,1626.0,6.0,73.0,2.5,65.0,3.5,8.0,73.24616030891995,8.73212459828649,1.0,1.0,0
small_tower,13,14,2713.5,1699.0,6.5,75.0,2.0,66.0,4.5,9.0,75.28113973632439,10.062305898749054,1.0169491525423728,1.0,0
small_tower,14,15,2720.0,1774.0,6.0,76.0,2.5,66.25,3.5,9.75,76.23647421018367,10.35917467755033,1.0,1.0,0
small_tower,15,16,2726.0,1850.0,6.5,77.5,3.0,67.25,3.5,10.25,77.77210296758086,10.831089511217234,1.0166666666666666,0.9827586206896551,0
small_tower,16,17,2732.5,1927.5,6.0,78.0,2.75,67.75,3.25,10.25,78.23042886243178,10.752906583803284,1.0,1.0,0
small_tower,17,18,2738.5,2005.5,6.5,80.0,3.0,67.25,3.5,12.75,80.26362812631884,13.221667822177352,1.0163934426229508,1.0,0
small_tower,18,19,2745.0,2085.5,6.5,63.0,2.5,66.0,4.0,-3.0,63.33442981506978,5.0,1.0161290322580645,0.3684210526315789,1
spacecraft,0,1,1545.5,651.0,-3.0,59.5,1.0,62.0,-4.0,-2.5,59.57558224642039,4.716990566028302,1.0,1.0208333333333333,0
spacecraft,1,2,1542.5,710.5,-2.5,60.0,0.25,61.5,-2.75,-1.5,60.05206074732157,3.132491021535417,1.024390243902439,1.0,0
spacecraft,2,3,1540.0,770.5,-3.0,61.0,0.0,62.0,-3.0,-1.0,61.07372593840988,3.1622776601683795,1.0,1.0,0
spacecraft,3,4,1537.0,831.5,-2.0,62.0,1.0,62.0,-3.0,0.0,62.03224967708329,3.0,1.0,1.0,0
spacecraft,4,5,1535.0,893.5,-3.0,63.0,1.0,63.0,-4.0,0.0,63.071388124885914,4.0,1.0,1.0,0
spacecraft,5,6,1532.0,956.5,-2.5,63.0,1.0,63.0,-3.5,0.0,63.04958366238432,3.5,1.0238095238095237,1.0,0
spacecraft,6,7,1529.5,1019.5,-3.0,65.0,1.5,63.25,-4.5,1.75,65.06919393998976,4.828301978956992,1.0,1.0,0
spacecraft,7,8,1526.5,1084.5,-2.5,65.0,1.75,63.75,-4.25,1.25,65.04805915628843,4.430011286667337,1.0232558139534884,1.0,0
spacecraft,8,9,1524.0,1149.5,-3.0,67.0,2.5,61.5,-5.5,5.5,67.06713054842886,7.7781745930520225,1.0,1.0,0
spacecraft,9,10,1521.0,1216.5,-3.0,67.0,2.0,62.0,-5.0,5.0,67.06713054842886,7.0710678118654755,1.0,1.0,0
spacecraft,10,11,1518.0,1283.5,-3.0,68.5,0.75,64.0,-3.75,4.5,68.56566195990527,5.8576872569299905,1.0,1.0204081632653061,0
spacecraft,11,12,1515.0,1352.0,-2.5,69.5,0.75,64.75,-3.25,4.75,69.5449494931156,5.755432216610669,1.0227272727272727,0.98,0
