model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,7,8-<16,63,63,1.0,55,0.873015873015873,0.7092167421158472,0.7593727625202772,8.513570905853003,5.261084555903456,0.10908139882353045
A_FIXED,7,>32,3,3,1.0,3,1.0,0.9080715873648576,0.9103666624415258,31.714561360215697,24.148287934092664,0.20123573278410553
A_FIXED,8,16-32,39,39,1.0,39,1.0,0.8410507233985038,0.8518132163767062,6.746438405635363,4.639062510773812,0.048614462320813095
A_FIXED,8,4-<8,32,32,1.0,29,0.90625,0.7032037841190739,0.7203346454222425,3.2689520479551413,2.9539049679976737,0.15898977438761228
A_FIXED,8,8-<16,56,56,1.0,47,0.8392857142857143,0.6806354096435754,0.7217051418246117,9.304179467008339,5.987189110234745,0.12343945540139425
A_FIXED,8,>32,2,2,1.0,2,1.0,0.9111718132453852,0.9111718132453852,43.34926956501065,43.34926956501065,0.9073173154442651
A_FIXED,9,16-32,36,36,1.0,36,1.0,0.8271112489531931,0.839986381403369,7.066787693674206,5.000743386927567,0.057791075877571756
A_FIXED,9,4-<8,30,30,1.0,27,0.9,0.6773071583971473,0.6937944653754343,3.59336952310665,3.3636850731670274,0.1769232674848537
A_FIXED,9,8-<16,50,50,1.0,42,0.84,0.6640417881891147,0.7053792797036817,9.893102869130509,6.43388279497691,0.1299144269665357
A_FIXED,9,>32,1,1,1.0,1,1.0,0.8980516513434055,0.8980516513434055,62.42130867326941,62.42130867326941,1.600546376237677
A_FIXED,10,16-32,33,33,1.0,33,1.0,0.8155890455948418,0.8352344700583859,7.375231312304024,4.940213895220187,0.053124885962255966
A_FIXED,10,4-<8,28,28,1.0,25,0.8928571428571429,0.6568288698875344,0.6828350277206634,3.85909783949083,3.8113735171011633,0.18978841089848975
A_FIXED,10,8-<16,45,45,1.0,33,0.7333333333333333,0.6452765414277308,0.6881268910531133,10.6987180005012,6.753169655520971,0.13733140502791916
A_FIXED,11,16-32,30,30,1.0,30,1.0,0.805306696278622,0.8256904466857147,7.8060770019199355,4.771596133536001,0.04900713879924547
A_FIXED,11,4-<8,26,26,1.0,23,0.8846153846153846,0.6373666913069924,0.6586941076380552,4.093869562916018,3.9601278940931284,0.2017997984080268
A_FIXED,11,8-<16,40,40,1.0,28,0.7,0.6275035777164575,0.6706310758743346,11.330299129159041,7.161096144916822,0.1519063014249727
A_FIXED,12,16-32,27,27,1.0,27,1.0,0.7952328648870995,0.8130139152435167,8.279909965695468,4.738578649258453,0.04398413400067335
A_FIXED,12,4-<8,24,24,1.0,21,0.875,0.6228425946842023,0.6450504533700365,4.338536860290276,3.9822342119273078,0.22327242270633685
A_FIXED,12,8-<16,35,35,1.0,25,0.7142857142857143,0.6117209169912066,0.6534130752481975,12.15457606168699,7.701879524803962,0.1756255344068671
A_FIXED,13,16-32,24,24,1.0,24,1.0,0.7820613780356318,0.8029095509171411,9.047308221689025,5.458328573774592,0.05596478628997782
A_FIXED,13,4-<8,22,22,1.0,18,0.8181818181818182,0.6073788922569336,0.6225818239896783,4.532749823211211,4.518697383285048,0.22799265207901026
A_FIXED,13,8-<16,31,31,1.0,21,0.6774193548387096,0.5940831496137007,0.6067071993836453,12.804429978706738,9.182413321778887,0.18407513281989266
A_FIXED,14,16-32,21,21,1.0,21,1.0,0.7724847064355916,0.8035714285714286,9.56566983258957,5.711966511928279,0.05718435050781441
A_FIXED,14,4-<8,20,20,1.0,17,0.85,0.5946220322842418,0.5839656144615413,4.659467376056027,4.884840860023944,0.23816021501556156
A_FIXED,14,8-<16,27,27,1.0,17,0.6296296296296297,0.5729344362769804,0.5871685952575437,13.527392469711446,10.412470228608422,0.23162723023868256
A_FIXED,15,16-32,18,18,1.0,18,1.0,0.7642204420214783,0.7791745730550285,10.22062778343681,6.570680036632496,0.06684812402169983
A_FIXED,15,4-<8,18,18,1.0,15,0.8333333333333334,0.5917871582373384,0.5653107016526352,4.719055138621021,4.9800578850008295,0.25923442350516224
A_FIXED,15,8-<16,23,23,1.0,12,0.5217391304347826,0.5568876058125379,0.5606430153182239,14.327363498152048,12.638710855156406,0.26059384358541393
A_FIXED,16,16-32,15,15,1.0,15,1.0,0.7496763409911903,0.7630964986141937,11.662978984422294,9.86613149110443,0.0885116064172535
A_FIXED,16,4-<8,16,16,1.0,11,0.6875,0.5887943912521358,0.5710951060617521,4.773797399956498,5.125216834096346,0.2673844245213596
A_FIXED,16,8-<16,19,19,1.0,9,0.47368421052631576,0.5332265040936238,0.4846102322074251,14.988469419720957,13.429603354510618,0.297873846561082
A_FIXED,17,16-32,12,12,1.0,12,1.0,0.7423561438923785,0.7431435487594478,13.329193494161897,10.800525195298768,0.11603108633579134
A_FIXED,17,4-<8,14,14,1.0,10,0.7142857142857143,0.5919250186550533,0.5920522263141704,4.685807774384484,4.858509261254019,0.25604213344112015
A_FIXED,17,8-<16,15,15,1.0,7,0.4666666666666667,0.5055911468714562,0.4650895619962392,15.841504835060485,15.285995580386553,0.38185437968013886
A_FIXED,18,16-32,9,9,1.0,9,1.0,0.7436725539742899,0.7238811482466156,12.783399310955389,9.816664944444904,0.10609007104699238
A_FIXED,18,4-<8,12,12,1.0,9,0.75,0.6016358637222528,0.6372277089961065,4.603009240613396,4.543959118369881,0.24171212968953287
A_FIXED,18,8-<16,11,11,1.0,5,0.45454545454545453,0.4833810682456944,0.4172957691760066,16.172317542726322,21.891179913489168,0.4339600576903991
A_FIXED,19,16-32,7,7,1.0,7,1.0,0.7507540798395208,0.7168838031153119,14.014932525757075,11.904697558811328,0.11745782933034231
A_FIXED,19,4-<8,10,10,1.0,8,0.8,0.6096074499278039,0.6220627107139016,4.436291344808881,4.091491438288507,0.2380461021166018
A_FIXED,19,8-<16,8,8,1.0,3,0.375,0.4183695076043952,0.29887640042092567,19.941287063486076,23.880766078677695,0.4777214307399004
A_FIXED,20,16-32,5,5,1.0,5,1.0,0.7490047965950597,0.7880826678082985,16.381433933508738,15.240545250014142,0.13368899342117668
A_FIXED,20,4-<8,8,8,1.0,7,0.875,0.6023345266399998,0.6241771224411614,4.540015858536217,4.09004787691295,0.2352735299223604
A_FIXED,20,8-<16,6,6,1.0,1,0.16666666666666666,0.3514409947504276,0.26522137465130335,23.124930464396556,26.070239381570786,0.540838008679974
A_FIXED,21,16-32,3,3,1.0,3,1.0,0.7845467217557426,0.7890273157346218,19.588173522350655,18.951519141133016,0.17228653764666377
A_FIXED,21,4-<8,6,6,1.0,5,0.8333333333333334,0.5864674920149165,0.6142037412944605,4.738095986874125,4.299966117190358,0.2658160302792997
A_FIXED,21,8-<16,4,4,1.0,0,0.0,0.24873319597752042,0.22457477104306722,28.2156710917037,28.705271066906725,0.5803561928905785
A_FIXED,22,16-32,2,2,1.0,2,1.0,0.7847698635090047,0.7847698635090047,21.95865650071866,21.95865650071866,0.21686438020070392
A_FIXED,22,4-<8,4,4,1.0,3,0.75,0.5622811339062427,0.5727442122165117,5.039364625007848,4.881439543546178,0.26861293328449165
A_FIXED,22,8-<16,2,2,1.0,0,0.0,0.19841361831845855,0.19841361831845855,30.346459226825765,30.346459226825765,0.5894228403055403
A_FIXED,23,16-32,1,1,1.0,1,1.0,0.7861511595488626,0.7861511595488626,25.017080280837554,25.017080280837554,0.2633376871667111
A_FIXED,23,4-<8,2,2,1.0,1,0.5,0.5443379504629946,0.5443379504629946,5.14441765195213,5.14441765195213,0.26127767718685696
A_FIXED,23,8-<16,1,1,1.0,0,0.0,0.17674044756614993,0.17674044756614993,31.892853822561115,31.892853822561115,0.6133241119723292
A_RES_CV,1,16-32,63,63,1.0,63,1.0,0.9415227128499699,0.9615642817170723,3.3620352430642617,1.3424859892585281,0.014271915347966332
A_RES_CV,1,4-<8,42,42,1.0,42,1.0,0.8952160576408881,0.9063578489837755,0.8982041300783808,0.8586132979681003,0.0419259676405249
A_RES_CV,1,8-<16,108,108,1.0,108,1.0,0.9046289673081889,0.9341895088232572,2.6352565809547404,1.1564949876650021,0.027237188886755262
A_RES_CV,1,<4,5,5,1.0,5,1.0,0.765117361421988,0.7674992497829249,2.0742232081023113,2.1509100691544503,0.15363643351103215
A_RES_CV,1,>32,9,9,1.0,9,1.0,0.9827886920639983,0.9825251680671698,3.9252525159118727,0.7139402092194089,0.004199648289525935
A_RES_CV,2,16-32,59,59,1.0,58,0.9830508474576272,0.8978138259452803,0.9310774144347145,6.051338211805134,2.696637436489919,0.02800493089626692
A_RES_CV,2,4-<8,40,40,1.0,39,0.975,0.8247096851079702,0.8421404508459127,1.608755374120861,1.4056046334405856,0.07065822983934736
A_RES_CV,2,8-<16,101,101,1.0,97,0.9603960396039604,0.8411960001725051,0.8858397850284111,4.647013498554711,2.382832406657103,0.04963229550357049
A_RES_CV,2,<4,4,4,1.0,4,1.0,0.6369783098179873,0.5939961221185348,3.129583422398074,3.5539445481358616,0.2538531820097044
A_RES_CV,2,>32,8,8,1.0,8,1.0,0.9702959459019069,0.9743991707246358,13.065822846507501,1.5223020291488183,0.008928758759597328
A_RES_CV,3,16-32,55,55,1.0,51,0.9272727272727272,0.8638306858848785,0.9095003349527457,8.376289523588694,3.7246994559014395,0.03932152966998581
A_RES_CV,3,4-<8,39,39,1.0,37,0.9487179487179487,0.7618976881917006,0.7812062978621263,2.3882171988414944,1.9234259741752113,0.09622786522741512
A_RES_CV,3,8-<16,93,93,1.0,85,0.9139784946236559,0.784630403916228,0.8443555033891644,7.0743835000447906,3.1051986038668553,0.0665948705852634
A_RES_CV,3,<4,3,3,1.0,1,0.3333333333333333,0.47142406821655625,0.40533263374614265,5.355707252017541,6.320003467510397,0.4514288191078855
A_RES_CV,3,>32,7,7,1.0,7,1.0,0.9515764522971005,0.9578802241828501,15.340859257727718,2.1573083745593435,0.01261583844771546
A_RES_CV,4,16-32,51,51,1.0,48,0.9411764705882353,0.8484974515357339,0.8983766570680732,9.639371146217792,4.15266969472893,0.04359610852831451
A_RES_CV,4,4-<8,38,38,1.0,34,0.8947368421052632,0.695534231567301,0.7419136032045557,3.119929884021181,2.54843322119718,0.11683734864311968
A_RES_CV,4,8-<16,85,85,1.0,75,0.8823529411764706,0.7424000478367363,0.8197736019954146,9.347290801505512,3.94876497282511,0.08052016473682932
A_RES_CV,4,<4,2,2,1.0,0,0.0,0.2955065293294274,0.2955065293294274,7.251848138478911,7.251848138478911,0.5179891527484937
A_RES_CV,4,>32,6,6,1.0,6,1.0,0.9481979390515846,0.9473069661670968,18.182736876449408,4.217660817653229,0.024586292695993217
A_RES_CV,5,16-32,48,48,1.0,46,0.9583333333333334,0.8243414811337679,0.8563203376081295,11.503981061054416,5.436526869563263,0.06324351037945761
A_RES_CV,5,4-<8,37,37,1.0,31,0.8378378378378378,0.6299147736211813,0.6711106093184529,4.157342403041707,3.686397058377215,0.16054342693599427
A_RES_CV,5,8-<16,77,77,1.0,68,0.8831168831168831,0.7228675572371023,0.7869761480367203,10.235278121456243,5.022238852927735,0.0913615629935142
A_RES_CV,5,<4,1,1,1.0,0,0.0,0.23280165776500644,0.23280165776500644,7.316585350053288,7.316585350053288,0.5226132392895205
A_RES_CV,5,>32,5,5,1.0,5,1.0,0.9310360430232532,0.9241759247936667,20.99190005184445,7.576683532437266,0.04430809083296647
A_RES_CV,6,16-32,45,45,1.0,44,0.9777777777777777,0.8084765439778929,0.844737914066714,12.639804980568947,6.82070522795709,0.06826672296433502
A_RES_CV,6,4-<8,36,36,1.0,28,0.7777777777777778,0.569434855220421,0.6081473891873365,5.105337144476934,4.443861037161959,0.21933288938360906
A_RES_CV,6,8-<16,70,70,1.0,59,0.8428571428571429,0.6907213104787152,0.7613969145311421,12.171376051453715,6.341993906215171,0.12364796804311706
A_RES_CV,6,>32,4,4,1.0,4,1.0,0.8952023035346279,0.8932544522058743,26.31686774389995,20.005526050571508,0.15494736386053093
A_RES_CV,7,16-32,42,42,1.0,39,0.9285714285714286,0.7949086572232861,0.8281678453186346,14.414409039948001,8.223028984801523,0.07923022954912821
A_RES_CV,7,4-<8,34,34,1.0,22,0.6470588235294118,0.5285774101253611,0.5581636500754148,6.001849652614323,4.98719545810944,0.2503416020849171
A_RES_CV,7,8-<16,63,63,1.0,49,0.7777777777777778,0.6405214027348668,0.6782365336315026,14.888125377045656,7.519123782498509,0.1620074550144907
A_RES_CV,7,>32,3,3,1.0,3,1.0,0.8658036775061161,0.869005478351949,36.82682336617939,28.823487502841044,0.24019572919034202
A_RES_CV,8,16-32,39,39,1.0,36,0.9230769230769231,0.7682519524777661,0.8188511818085901,16.81581250654154,8.267086224731614,0.08328552660186576
A_RES_CV,8,4-<8,32,32,1.0,19,0.59375,0.5035732405352561,0.5265146802178245,6.657280353305534,5.526576694838743,0.25387388759466234
A_RES_CV,8,8-<16,56,56,1.0,44,0.7857142857142857,0.6135681293886501,0.6672555372227784,17.431485523491087,8.586247555735518,0.1623932695413416
A_RES_CV,8,>32,2,2,1.0,2,1.0,0.878642964251724,0.878642964251724,42.368729965015916,42.368729965015916,0.9475968480323287
A_RES_CV,9,16-32,36,36,1.0,32,0.8888888888888888,0.7478461532361851,0.8096121448217625,18.992942144288374,9.31214233707086,0.09172901233067686
A_RES_CV,9,4-<8,30,30,1.0,12,0.4,0.4630706616944363,0.4677200450905512,7.702347220460029,6.748303854534296,0.3035683982024562
A_RES_CV,9,8-<16,50,50,1.0,38,0.76,0.5937747829957487,0.6273497026472477,18.317723376552618,9.706091454834178,0.1970872708975265
A_RES_CV,9,>32,1,1,1.0,1,1.0,0.6628463522252737,0.6628463522252737,54.25426562526453,54.25426562526453,1.3911350160324238
A_RES_CV,10,16-32,33,33,1.0,29,0.8787878787878788,0.729776442472928,0.789954574611132,20.84025069463255,8.989016218737124,0.0985043398358157
A_RES_CV,10,4-<8,28,28,1.0,9,0.32142857142857145,0.42859535633521706,0.42724559821987035,8.458503825748243,6.805084704642772,0.34606233008077164
A_RES_CV,10,8-<16,45,45,1.0,29,0.6444444444444445,0.5547499701499287,0.570646329937638,21.19927889183096,10.848204717607192,0.23354570509500705
A_RES_CV,11,16-32,30,30,1.0,25,0.8333333333333334,0.7015246721980218,0.7662585138030419,25.056089347122448,12.795377520647737,0.1237535137417246
A_RES_CV,11,4-<8,26,26,1.0,7,0.2692307692307692,0.4006717743355915,0.394930683908468,9.55014725602987,7.36826249787654,0.36986997368805824
A_RES_CV,11,8-<16,40,40,1.0,24,0.6,0.523646650549723,0.5488408639730645,23.675447367469328,11.025898339043337,0.23545526890002666
A_RES_CV,12,16-32,27,27,1.0,22,0.8148148148148148,0.6823378184734035,0.7572640479903601,28.52014983224364,12.75710986548759,0.15000130939407147
A_RES_CV,12,4-<8,24,24,1.0,6,0.25,0.36126652361725203,0.3491143893539092,10.656091699102353,7.514536979224629,0.4182399653896872
A_RES_CV,12,8-<16,35,35,1.0,20,0.5714285714285714,0.4960138182114948,0.5252566976894704,28.315676498512875,15.109074965241838,0.26721995492936124
A_RES_CV,13,16-32,24,24,1.0,20,0.8333333333333334,0.6581918873839903,0.7461292349149611,32.75649250725551,14.103460390453634,0.15799894746201754
A_RES_CV,13,4-<8,22,22,1.0,5,0.22727272727272727,0.31524639270903465,0.29580470166301925,12.434548992242458,9.287137338281262,0.49549520337345465
A_RES_CV,13,8-<16,31,31,1.0,15,0.4838709677419355,0.448712458718942,0.4874828553275242,32.14392134346587,15.56408040961941,0.2723094383553687
A_RES_CV,14,16-32,21,21,1.0,17,0.8095238095238095,0.6223934400322488,0.7209983908458184,39.4112245231848,15.261751744041433,0.13505974994726933
A_RES_CV,14,4-<8,20,20,1.0,4,0.2,0.2887927724460938,0.2626149523833884,13.825231457438292,9.755527599942402,0.5978800696590274
A_RES_CV,14,8-<16,27,27,1.0,14,0.5185185185185185,0.45370628949353,0.5071552191764354,35.7021982065705,12.490598262558464,0.27856165933337745
A_RES_CV,15,16-32,18,18,1.0,14,0.7777777777777778,0.6087085093945472,0.7168491551291954,44.761496280763495,16.335037897740463,0.1601215578615212
A_RES_CV,15,4-<8,18,18,1.0,3,0.16666666666666666,0.2670973350140506,0.23743625336851504,14.555876809194908,10.153883581002283,0.6335619388763165
A_RES_CV,15,8-<16,23,23,1.0,11,0.4782608695652174,0.43679465204474277,0.47362078308836125,42.77094480831111,17.654057553228707,0.3746176135000271
A_RES_CV,16,16-32,15,15,1.0,10,0.6666666666666666,0.5683879499501168,0.7118158460437823,54.72527497968282,17.628289552456913,0.1776568770438502
A_RES_CV,16,4-<8,16,16,1.0,2,0.125,0.2394500856103754,0.2032388792602669,16.042105110309535,10.211407139700178,0.6731273572942722
A_RES_CV,16,8-<16,19,19,1.0,8,0.42105263157894735,0.41516309838452486,0.47807167900478326,47.3504859120146,13.130684002155343,0.2979560889187112
A_RES_CV,17,16-32,12,12,1.0,7,0.5833333333333334,0.5014214382007381,0.6664161161896662,70.0471879469119,22.005087272976695,0.2613751148729717
A_RES_CV,17,4-<8,14,14,1.0,2,0.14285714285714285,0.23751079779470516,0.23831060703683182,18.41303194103562,11.701461514246933,0.7334206115888702
A_RES_CV,17,8-<16,15,15,1.0,6,0.4,0.40436770896806545,0.4818105595497953,59.913336362679416,15.69513039260808,0.38312532348164896
A_RES_CV,18,16-32,9,9,1.0,6,0.6666666666666666,0.542039429706301,0.6585708055363425,76.1660027195167,18.68264039637866,0.17031698367725845
A_RES_CV,18,4-<8,12,12,1.0,0,0.0,0.19666784571163584,0.20400502969401407,20.973894723955084,13.097122627229423,0.8222139552029017
A_RES_CV,18,8-<16,11,11,1.0,4,0.36363636363636365,0.38437141935093366,0.4192482471006452,43.98154034677904,14.69443746621507,0.481242274729284
A_RES_CV,19,16-32,7,7,1.0,4,0.5714285714285714,0.5061071129066786,0.6592108970523429,100.00889420936498,24.575000781485425,0.25868421875247816
A_RES_CV,19,4-<8,10,10,1.0,0,0.0,0.16618215173272088,0.12283615569900197,23.754202592746687,12.940171755781282,0.7765618928467112
A_RES_CV,19,8-<16,8,8,1.0,3,0.375,0.32183722195791653,0.31822182900879536,59.55502017241304,21.281244073793538,0.5883248089070738
A_RES_CV,20,16-32,5,5,1.0,3,0.6,0.43161366334832907,0.624803651766347,136.51664689527394,20.04854294098904,0.18225948128171857
A_RES_CV,20,4-<8,8,8,1.0,0,0.0,0.15753034796962925,0.09958162596273232,28.96295593377028,19.147506967601203,1.0636968541790703
A_RES_CV,20,8-<16,6,6,1.0,2,0.3333333333333333,0.29829373965418576,0.26520779262436395,76.51137306452657,21.30088169079358,0.7756675415061138
A_RES_CV,21,16-32,3,3,1.0,3,1.0,0.6750031412326224,0.6382748046683451,15.41525973436764,15.280993014400055,0.1340437983719303
A_RES_CV,21,4-<8,6,6,1.0,0,0.0,0.12339405626409126,0.05684710081703008,33.003543609013306,20.137691884578473,1.2939395500207433
A_RES_CV,21,8-<16,4,4,1.0,2,0.5,0.29753854033538113,0.29023264206649235,112.89943178440762,33.02710522364328,3.549004508460372
A_RES_CV,22,16-32,2,2,1.0,2,1.0,0.676235043419336,0.676235043419336,13.490341028780385,13.490341028780385,0.12827233985873626
A_RES_CV,22,4-<8,4,4,1.0,0,0.0,0.11297861804901917,0.0,42.15022947447865,33.52997044284673,1.661621087762639
A_RES_CV,22,8-<16,2,2,1.0,1,0.5,0.27805534590474396,0.27805534590474396,204.42434642818043,204.42434642818043,4.005991099171082
A_RES_CV,23,16-32,1,1,1.0,1,1.0,0.7303831545163636,0.7303831545163636,24.34380466004845,24.34380466004845,0.25625057536893103
A_RES_CV,23,4-<8,2,2,1.0,0,0.0,0.0,0.0,78.75162897729311,78.75162897729311,4.7923154405337325
A_RES_CV,23,8-<16,1,1,1.0,0,0.0,0.0,0.0,416.7209523659785,416.7209523659785,8.01386446857651
CV,1,16-32,63,63,1.0,63,1.0,0.9600180824494833,0.9721554116558742,2.556221382001152,1.118033988749895,0.011893978603722287
CV,1,4-<8,42,42,1.0,42,1.0,0.902127614830749,0.903125,1.0155891669035215,1.0590169943749475,0.04971495009263367
CV,1,8-<16,108,108,1.0,108,1.0,0.9299720235824762,0.9411764705882353,2.04901787686712,1.118033988749895,0.023787957207444574
CV,1,<4,5,5,1.0,5,1.0,0.8175258179693408,0.7906976744186046,1.368372892345421,1.5811388300841898,0.10540925533894599
CV,1,>32,9,9,1.0,9,1.0,0.9818244885883433,0.9823852955510687,4.032663555040568,1.118033988749895,0.0067351445105415355
CV,2,16-32,59,59,1.0,58,0.9830508474576272,0.911540185752242,0.9311568488289567,5.41479189190851,3.0413812651491097,0.03185165681020485
CV,2,4-<8,40,40,1.0,40,1.0,0.7564255371342254,0.7810632470119522,2.778674792370829,2.5495097567963922,0.14594325141111325
CV,2,8-<16,101,101,1.0,98,0.9702970297029703,0.8460298018853328,0.8691358024691358,4.679643881672869,3.0413812651491097,0.06202691063039891
CV,2,<4,4,4,1.0,3,0.75,0.5846756334751285,0.6071323763955343,3.574539711268341,3.3618556388582634,0.23053461974190148
CV,2,>32,8,8,1.0,8,1.0,0.9458778564908572,0.9544212750272927,13.732500848034215,3.348905783050559,0.019638635085953877
CV,3,16-32,55,55,1.0,53,0.9636363636363636,0.853375979996736,0.8710700132100396,9.008101906202421,5.5901699437494745,0.059809196378005955
CV,3,4-<8,39,39,1.0,31,0.7948717948717948,0.5827893328220041,0.6176470588235294,5.465877525423372,5.5,0.28125
CV,3,8-<16,93,93,1.0,88,0.946236559139785,0.7387784627986372,0.7637075718015666,8.474186726232485,6.020797289396148,0.12790697674418605
CV,3,<4,3,3,1.0,0,0.0,0.3609332217826457,0.37383177570093457,6.4631289281238535,6.519202405202649,0.46565731465733207
CV,3,>32,7,7,1.0,7,1.0,0.8992512111936307,0.9176112279820402,16.7884688586196,7.0178344238090995,0.04033238174602931
CV,4,16-32,51,51,1.0,50,0.9803921568627451,0.7912611694193823,0.8038852913968547,12.238565150220026,9.340770846134703,0.0976621440265231
CV,4,4-<8,38,38,1.0,11,0.2894736842105263,0.4015524885745153,0.42055341606047636,9.05594736108212,8.930011286667337,0.45581751041181723
CV,4,8-<16,85,85,1.0,79,0.9294117647058824,0.6327274605920876,0.6495049504950495,12.797474289037561,9.5524865872714,0.19445911938612198
CV,4,<4,2,2,1.0,0,0.0,0.09390403467855912,0.09390403467855912,11.146758286230725,11.146758286230725,0.7961970204450518
CV,4,>32,6,6,1.0,6,1.0,0.8554138404985113,0.8714297574156395,19.579270725391023,11.411955276646836,0.06539640312718847
CV,5,16-32,48,48,1.0,47,0.9791666666666666,0.7154828117007517,0.7238602054653884,17.432423248158823,13.837927949363667,0.1476587770384173
CV,5,4-<8,37,37,1.0,1,0.02702702702702703,0.237059236215017,0.24155405405405406,13.500317614955048,13.5,0.6956521739130435
CV,5,8-<16,77,77,1.0,51,0.6623376623376623,0.5192395271884024,0.5390796201607012,17.1977806258028,14.0089257261219,0.28743098055545313
CV,5,<4,1,1,1.0,0,0.0,0.0,0.0,18.0,18.0,1.2857142857142858
CV,5,>32,5,5,1.0,5,1.0,0.7860658371074705,0.813544179397838,22.02701591900087,16.0,0.09204467514322717
