class,frame,ax,ay,second_difference_px,interior
small_launcher,9,0.0,2.0,2.0,True
small_launcher,10,0.0,0.0,0.0,True
small_launcher,11,0.5,1.0,1.118033988749895,True
small_launcher,12,-0.5,0.0,0.5,True
small_launcher,13,0.0,2.0,2.0,True
small_launcher,14,-0.5,1.0,1.118033988749895,True
small_launcher,15,0.5,0.5,0.7071067811865476,True
small_launcher,16,0.0,1.0,1.0,True
small_launcher,17,0.0,1.5,1.5,True
small_launcher,18,0.0,0.5,0.5,True
small_launcher,19,0.0,1.0,1.0,True
small_launcher,20,0.0,1.5,1.5,True
small_launcher,21,0.0,0.5,0.5,True
small_launcher,22,0.0,1.5,1.5,True
small_launcher,23,-0.5,1.0,1.118033988749895,True
small_plane,1,0.0,1.5,1.5,True
small_plane,2,0.0,0.5,0.5,True
small_plane,3,0.0,1.5,1.5,True
small_plane,4,0.0,1.0,1.0,True
small_plane,5,0.0,1.5,1.5,True
small_plane,6,0.0,1.0,1.0,True
small_plane,7,0.5,1.5,1.5811388300841898,True
small_tower,1,0.5,1.0,1.118033988749895,True
small_tower,2,0.5,0.0,0.5,True
small_tower,3,-0.5,2.0,2.0615528128088303,True
small_tower,4,0.5,0.5,0.7071067811865476,True
small_tower,5,0.0,1.0,1.0,True
small_tower,6,0.0,1.0,1.0,True
small_tower,7,0.0,0.5,0.5,True
small_tower,8,0.5,2.0,2.0615528128088303,True
small_tower,9,-0.5,0.0,0.5,True
small_tower,10,0.5,1.5,1.5811388300841898,True
small_tower,11,-0.5,1.5,1.5811388300841898,True
small_tower,12,0.5,0.0,0.5,True
small_tower,13,0.5,2.0,2.0615528128088303,True
small_tower,14,-0.5,1.0,1.118033988749895,True
small_tower,15,0.5,1.5,1.5811388300841898,True
small_tower,16,-0.5,0.5,0.7071067811865476,True
small_tower,17,0.5,2.0,2.0615528128088303,True
small_tower,18,0.0,-17.0,17.0,False
spacecraft,1,0.5,0.5,0.7071067811865476,True
spacecraft,2,-0.5,1.0,1.118033988749895,True
spacecraft,3,1.0,1.0,1.4142135623730951,True
spacecraft,4,-1.0,1.0,1.4142135623730951,True
spacecraft,5,0.5,0.0,0.5,True
spacecraft,6,-0.5,2.0,2.0615528128088303,True
spacecraft,7,0.5,0.0,0.5,True
spacecraft,8,-0.5,2.0,2.0615528128088303,True
spacecraft,9,0.0,0.0,0.0,True
spacecraft,10,0.0,1.5,1.5,True
spacecraft,11,0.5,1.0,1.118033988749895,True
spacecraft,12,-1.0,0.5,1.118033988749895,True
spacecraft,13,0.5,2.0,2.0615528128088303,True
spacecraft,14,0.0,0.5,0.5,True
spacecraft,15,-0.5,1.0,1.118033988749895,True
spacecraft,16,0.5,1.0,1.118033988749895,True
spacecraft,17,0.0,1.5,1.5,True
spacecraft,18,-0.5,1.0,1.118033988749895,True
spacecraft,19,0.0,1.5,1.5,True
spacecraft,20,0.0,1.0,1.0,True
spacecraft,21,0.0,-19.5,19.5,False
ta-ta,1,-0.5,0.5,0.7071067811865476,True
ta-ta,2,0.5,1.0,1.118033988749895,True
ta-ta,3,-1.0,0.5,1.118033988749895,True
ta-ta,4,0.5,1.5,1.5811388300841898,True
ta-ta,5,-0.5,0.0,0.5,True
ta-ta,6,1.0,1.0,1.4142135623730951,True
ta-ta,7,-1.0,1.0,1.4142135623730951,True
ta-ta,8,0.0,1.0,1.0,True
ta-ta,9,-0.5,0.5,0.7071067811865476,True
ta-ta,10,0.5,1.0,1.118033988749895,True
ta-ta,11,0.0,0.5,0.5,True
ta-ta,12,0.0,1.5,1.5,True
ta-ta,13,-0.5,1.0,1.118033988749895,True
ta-ta,14,0.0,0.5,0.5,True
ta-ta,15,0.0,1.5,1.5,True
ta-ta,16,0.0,0.0,0.0,True
ta-ta,17,-0.5,2.0,2.0615528128088303,True
ta-ta,18,0.0,0.5,0.5,True
ta-ta,19,0.5,1.5,1.5811388300841898,True
ta-ta,20,-0.5,1.0,1.118033988749895,True
ta-ta,21,0.0,0.5,0.5,True
ta-ta,22,-0.5,1.5,1.5811388300841898,True
ta-ta,23,0.5,2.0,2.0615528128088303,True
tank,1,-0.5,16.5,16.507574019219177,False
tank,2,-0.5,0.5,0.7071067811865476,True
tank,3,0.5,1.0,1.118033988749895,True
tank,4,-0.5,0.0,0.5,True
tank,5,0.0,1.5,1.5,True
tank,6,0.0,0.5,0.5,True
tank,7,0.0,0.5,0.5,True
tank,8,-0.5,0.5,0.7071067811865476,True
tank,9,0.5,1.5,1.5811388300841898,True
tank,10,-0.5,0.5,0.7071067811865476,True
tank,11,0.5,1.0,1.118033988749895,True
tank,12,-1.0,0.0,1.0,True
tank,13,0.5,1.5,1.5811388300841898,True
tank,14,-0.5,1.0,1.118033988749895,True
tank,15,0.0,0.5,0.5,True
tank,16,0.5,1.0,1.118033988749895,True
tank,17,-1.0,1.5,1.8027756377319946,True
tank,18,0.5,0.5,0.7071067811865476,True
tank,19,-1.0,1.0,1.4142135623730951,True
tank,20,1.0,0.5,1.118033988749895,True
tank,21,-0.5,1.5,1.5811388300841898,True
tank,22,-0.5,1.0,1.118033988749895,True
tank,23,0.0,1.5,1.5,True
