frame,class_a,class_b,center_distance,union_width,union_height,fits_L1,fits_L2
0,small_launcher,spacecraft,485.77901354422465,283,454,True,True
0,small_launcher,ta-ta,688.7180119613541,710,91,True,True
0,small_launcher,tank,916.2091737152602,920,251,True,True
0,small_plane,small_tower,921.8790593130967,641,759,True,False
0,small_plane,spacecraft,1009.2739964945099,544,923,True,False
0,small_plane,ta-ta,1540.4701392756692,971,1257,False,False
0,small_plane,tank,1898.1007612874507,1181,1550,False,False
0,small_tower,spacecraft,1110.0941401520863,1144,224,True,False
0,small_tower,ta-ta,1615.469668548438,1571,558,True,False
0,small_tower,tank,1913.5052913436116,1781,851,True,False
0,spacecraft,ta-ta,555.8248375162808,468,382,True,True
0,spacecraft,tank,904.4172156698478,678,675,True,False
0,ta-ta,tank,358.0757601402251,239,312,True,True
1,condor,helicopter,726.0585375849525,595,691,True,False
1,condor,jammer,1250.7573705559364,1337,289,True,False
1,condor,large_launcher,1315.4000342101258,943,1187,False,False
1,condor,mine_roller,951.6623613446105,850,711,True,False
1,condor,small_launcher,1554.3365144009194,1043,1328,False,False
1,condor,small_plane,700.6885898885467,801,183,True,True
1,condor,small_tower,645.6353459964843,210,750,True,False
1,condor,spacecraft,1450.9729494377214,1308,917,True,False
1,condor,ta-ta,2009.580677653923,1737,1255,False,False
1,condor,tank,2361.1953011134,1948,1582,False,False
1,helicopter,jammer,868.5395788333425,852,446,True,True
1,helicopter,large_launcher,1337.0419776506644,1370,584,True,False
1,helicopter,mine_roller,1198.0268152257695,365,1238,False,False
1,helicopter,small_launcher,828.6163165180855,558,725,True,False
1,helicopter,small_plane,685.1003576119341,316,710,True,False
1,helicopter,small_tower,364.3871567440323,439,147,True,True
1,helicopter,spacecraft,786.7823714344393,823,314,True,True
1,helicopter,ta-ta,1325.333354292421,1252,652,True,False
1,helicopter,tank,1659.1284609697948,1463,979,True,False
1,jammer,large_launcher,2203.912940658047,2112,942,False,False
1,jammer,mine_roller,928.5269247577046,540,836,True,False
1,jammer,small_launcher,1084.9239604691197,314,1083,False,False
1,jammer,small_plane,600.4352587914871,577,308,True,True
1,jammer,small_tower,1224.8481538541828,1181,505,True,False
1,jammer,spacecraft,626.3964399643407,70,672,True,False
1,jammer,ta-ta,1057.669371779291,432,1010,True,False
1,jammer,tank,1427.5707513114717,643,1337,False,False
1,large_launcher,mine_roller,2250.2809824553024,1625,1734,False,False
1,large_launcher,small_launcher,1747.1423096015963,1818,246,True,False
1,large_launcher,small_plane,1865.837948483201,1576,1206,False,False
1,large_launcher,small_tower,979.9766578852784,985,497,True,False
1,large_launcher,spacecraft,2007.142309354272,2083,319,False,False
1,large_launcher,ta-ta,2430.0364709197265,2512,173,False,False
1,large_launcher,tank,2664.277763297213,2723,500,False,False
1,mine_roller,small_launcher,1841.9528359868502,246,1875,False,False
1,mine_roller,small_plane,524.2663922091516,90,577,True,False
1,mine_roller,small_tower,1392.985732159522,694,1297,False,False
1,mine_roller,spacecraft,1483.9091110981158,511,1464,False,False
1,mine_roller,ta-ta,1978.5366435828273,940,1802,False,False
1,mine_roller,tank,2351.448170808789,1151,2129,False,False
1,small_launcher,small_plane,1331.6578013889305,283,1347,False,False
1,small_launcher,small_tower,1036.4115977737802,887,638,True,False
1,small_launcher,spacecraft,491.5185652648331,285,460,True,True
1,small_launcher,ta-ta,692.7961460631835,714,92,True,True
1,small_launcher,tank,925.6998703683608,925,284,True,True
1,small_plane,small_tower,931.4056581318367,645,769,True,False
1,small_plane,spacecraft,1021.6741163404307,548,936,True,False
1,small_plane,ta-ta,1557.2295912934612,977,1274,False,False
1,small_plane,tank,1930.7784052034558,1188,1601,False,False
1,small_tower,spacecraft,1117.8893057901573,1152,227,True,False
1,small_tower,ta-ta,1626.717707532564,1581,565,True,False
1,small_tower,tank,1934.1675858104954,1792,892,True,False
1,spacecraft,ta-ta,560.2088896117233,470,387,True,True
1,spacecraft,tank,923.3797972665419,681,714,True,False
1,ta-ta,tank,374.47463198459786,240,346,True,True
2,condor,helicopter,734.8758398532367,599,701,True,False
2,condor,jammer,1260.672241306201,1347,293,True,False
2,condor,large_launcher,1329.7109648340875,949,1203,False,False
2,condor,small_launcher,1572.0814228277109,1051,1346,False,False
2,condor,small_plane,706.2649998407113,807,185,True,True
2,condor,small_tower,654.7589251014452,212,760,True,False
2,condor,spacecraft,1465.149309797469,1318,930,True,False
2,condor,ta-ta,2028.928350139551,1750,1272,False,False
2,condor,tank,2383.55197132347,1962,1603,False,False
2,helicopter,jammer,876.1244203878807,858,451,True,True
2,helicopter,large_launcher,1346.6815696370097,1379,591,True,False
2,helicopter,small_launcher,837.5335814162917,562,734,True,False
2,helicopter,small_plane,694.6993954222214,318,720,True,False
2,helicopter,small_tower,366.44679013466606,441,148,True,True
2,helicopter,spacecraft,793.1015067442503,829,318,True,True
2,helicopter,ta-ta,1336.5340437115697,1261,660,True,False
2,helicopter,tank,1673.1199897198048,1473,991,True,False
2,jammer,large_launcher,2221.1173426903856,2127,953,False,False
2,jammer,small_launcher,1098.603886758098,317,1096,False,False
2,jammer,small_plane,606.000206270592,581,312,True,True
2,jammer,small_tower,1234.316916354953,1189,510,True,False
2,jammer,spacecraft,634.9110173874761,71,680,True,False
2,jammer,ta-ta,1070.6485184223625,435,1022,True,False
2,jammer,tank,1443.5534281764565,647,1353,False,False
2,large_launcher,small_launcher,1758.8380397296391,1831,249,True,False
2,large_launcher,small_plane,1883.188917766882,1587,1222,False,False
2,large_launcher,small_tower,987.7428815233244,992,503,True,False
2,large_launcher,spacecraft,2020.8454295170623,2098,322,False,False
2,large_launcher,ta-ta,2446.6109212541337,2530,175,False,False
2,large_launcher,tank,2682.352931662797,2742,506,False,False
2,small_launcher,small_plane,1349.6170753217373,285,1365,False,False
2,small_launcher,small_tower,1045.5052606276067,893,646,True,False
2,small_launcher,spacecraft,496.8324667330025,288,465,True,True
2,small_launcher,ta-ta,697.8210730552639,720,92,True,True
2,small_launcher,tank,932.1502024888479,932,287,True,True
2,small_plane,small_tower,941.648819889878,649,779,True,False
2,small_plane,spacecraft,1034.7029767039428,552,949,True,False
2,small_plane,ta-ta,1575.105869457669,984,1291,False,False
2,small_plane,tank,1951.7438996958592,1196,1622,False,False
2,small_tower,spacecraft,1125.7638517913072,1160,230,True,False
2,small_tower,ta-ta,1639.0817551299874,1592,572,True,False
2,small_tower,tank,1949.0929300574664,1804,903,True,False
2,spacecraft,ta-ta,565.3762021875345,474,391,True,True
2,spacecraft,tank,931.569911493496,686,722,True,False
2,ta-ta,tank,377.53973300832854,242,349,True,True
3,condor,helicopter,743.7022253563586,604,710,True,False
3,condor,jammer,1270.0206691231447,1357,296,True,False
3,condor,jet_plane,1733.4383461779078,645,1749,False,False
3,condor,large_launcher,1344.7402165474193,955,1218,False,False
3,condor,small_launcher,1589.8408725403935,1059,1363,False,False
3,condor,small_plane,711.289673761682,814,186,True,True
3,condor,small_tower,664.7179853140728,214,770,True,False
3,condor,spacecraft,1479.3419145011744,1328,942,True,False
3,condor,ta-ta,2047.484920579392,1762,1289,False,False
3,condor,tank,2406.24458440949,1976,1623,False,False
3,helicopter,jammer,883.4854271576867,864,457,True,True
3,helicopter,jet_plane,1072.2082353722153,152,1129,False,False
3,helicopter,large_launcher,1356.9754050829367,1388,598,True,False
3,helicopter,small_launcher,846.4567325032036,566,743,True,False
3,helicopter,small_plane,703.6590083271868,321,730,True,False
3,helicopter,small_tower,369.68770604389863,445,150,True,True
3,helicopter,spacecraft,799.4238550356125,835,322,True,True
3,helicopter,ta-ta,1346.852813042316,1269,669,True,False
3,helicopter,tank,1687.3979969171469,1483,1003,True,False
3,jammer,jet_plane,1634.119028712413,784,1496,False,False
3,jammer,large_launcher,2238.728712908288,2141,965,False,False
3,jammer,small_launcher,1112.6358344040516,319,1110,False,False
3,jammer,small_plane,611.1321461026248,586,316,True,True
3,jammer,small_tower,1244.8134398374723,1198,517,True,False
3,jammer,spacecraft,643.8982838927279,71,689,True,False
3,jammer,ta-ta,1083.9100516186757,437,1036,True,False
3,jammer,tank,1460.6623497578078,651,1370,False,False
3,jet_plane,large_launcher,1439.8452173758121,1429,637,True,False
3,jet_plane,small_launcher,585.9321633090302,486,416,True,True
3,jet_plane,small_plane,1740.2018561075033,241,1769,False,False
3,jet_plane,small_tower,1081.4464850375168,486,1039,True,False
3,jet_plane,spacecraft,1075.3269270319608,755,856,True,False
3,jet_plane,ta-ta,1225.9608476619471,1189,479,True,False
3,jet_plane,tank,1350.2157235049517,1403,170,True,False
3,large_launcher,small_launcher,1770.9803076262592,1843,251,True,False
3,large_launcher,small_plane,1900.5605094287316,1598,1238,False,False
3,large_launcher,small_tower,994.8493604561446,998,508,True,False
3,large_launcher,spacecraft,2035.1059554725891,2112,325,False,False
3,large_launcher,ta-ta,2462.6632433201257,2546,177,False,False
3,large_launcher,tank,2700.9232217891717,2760,511,False,False
3,small_launcher,small_plane,1367.1814071292806,288,1383,False,False
3,small_launcher,small_tower,1054.849752334426,900,653,True,False
3,small_launcher,spacecraft,502.1478865832256,290,470,True,True
3,small_launcher,ta-ta,701.8507676137428,724,93,True,True
3,small_launcher,tank,938.7358520904589,938,290,True,True
3,small_plane,small_tower,952.6074742515933,655,790,True,False
3,small_plane,spacecraft,1047.5526239764758,557,962,True,False
3,small_plane,ta-ta,1592.300379953481,991,1309,False,False
3,small_plane,tank,1973.0220475199967,1205,1643,False,False
3,small_tower,spacecraft,1134.4719035745222,1169,232,True,False
3,small_tower,ta-ta,1651.1270393279858,1603,579,True,False
3,small_tower,tank,1964.7078663251696,1817,913,True,False
3,spacecraft,ta-ta,569.7753943441222,476,396,True,True
3,spacecraft,tank,940.1289805127805,690,730,True,False
3,ta-ta,tank,381.5658527698725,244,353,True,True
4,condor,helicopter,752.8474281021355,609,720,True,False
4,condor,jammer,1279.8653249463398,1367,300,True,False
4,condor,jet_plane,1778.6754200809096,650,1820,False,False
4,condor,large_launcher,1359.4918168197999,961,1234,False,False
4,condor,small_launcher,1608.3148012749245,1067,1382,False,False
4,condor,small_plane,716.8662706530416,820,188,True,True
4,condor,small_tower,673.8414130936151,216,780,True,False
4,condor,spacecraft,1493.1383894334779,1337,955,True,False
4,condor,ta-ta,2067.573033776558,1775,1307,False,False
4,condor,tank,2428.9594479941406,1990,1644,False,False
4,helicopter,jammer,890.853523313457,870,463,True,True
4,helicopter,jet_plane,1109.6778811889512,153,1191,False,False
4,helicopter,large_launcher,1367.2754843117755,1398,605,True,False
4,helicopter,small_launcher,855.789839855557,570,753,True,False
4,helicopter,small_plane,713.0922100261648,323,740,True,False
4,helicopter,small_tower,372.237155587671,448,151,True,True
4,helicopter,spacecraft,804.8012176929158,840,326,True,True
4,helicopter,ta-ta,1358.2996723845588,1278,678,True,False
4,helicopter,tank,1701.2716567321047,1493,1015,True,False
4,jammer,jet_plane,1674.8686515664444,789,1563,False,False
4,jammer,large_launcher,2256.3533078842065,2156,977,False,False
4,jammer,small_launcher,1127.1531617309158,321,1125,False,False
4,jammer,small_plane,616.4888482365274,590,320,True,True
4,jammer,small_tower,1254.4793740831294,1206,523,True,False
4,jammer,spacecraft,652.9387413839065,72,698,True,False
4,jammer,ta-ta,1098.0173040530829,440,1050,True,False
4,jammer,tank,1477.571402673996,655,1387,False,False
4,jet_plane,large_launcher,1460.6037279152754,1439,692,True,False
4,jet_plane,small_launcher,607.3403082292497,489,469,True,True
4,jet_plane,small_plane,1787.0496635516317,242,1840,False,False
4,jet_plane,small_tower,1116.7392264982905,489,1100,False,False
4,jet_plane,spacecraft,1103.9510858729204,759,914,True,False
4,jet_plane,ta-ta,1244.4038733465916,1197,532,True,False
4,jet_plane,tank,1361.4933896277278,1412,220,True,False
4,large_launcher,small_launcher,1783.1748371934816,1856,254,True,False
4,large_launcher,small_plane,1918.2586504431565,1609,1254,False,False
4,large_launcher,small_tower,1002.8415876897009,1005,514,True,False
4,large_launcher,spacecraft,2048.3747826020513,2126,328,False,False
4,large_launcher,ta-ta,2479.7381414173556,2564,179,False,False
4,large_launcher,tank,2719.0016550197242,2779,516,False,False
4,small_launcher,small_plane,1385.7295010210325,290,1402,False,False
4,small_launcher,small_tower,1064.657808875697,906,662,True,False
4,small_launcher,spacecraft,507.38175962484104,291,476,True,True
4,small_launcher,ta-ta,706.8756962861293,729,94,True,True
4,small_launcher,tank,944.7065681998829,944,293,True,True
4,small_plane,small_tower,962.8733042306241,659,800,True,False
4,small_plane,spacecraft,1060.3567795794017,560,975,True,False
4,small_plane,ta-ta,1610.9123191533424,998,1327,False,False
4,small_plane,tank,1994.4285522424714,1213,1664,False,False
4,small_tower,spacecraft,1141.8566022053733,1176,235,True,False
4,small_tower,ta-ta,1664.1419711070328,1614,587,True,False
4,small_tower,tank,1979.8712710678944,1829,924,True,False
4,spacecraft,ta-ta,576.0425331518499,480,401,True,True
4,spacecraft,tank,949.0375387728349,695,738,True,False
4,ta-ta,tank,384.36473563530774,245,356,True,True
5,condor,helicopter,762.3917956011857,614,730,True,False
5,condor,jammer,1289.7117895095787,1377,304,True,False
5,condor,jet_plane,1801.6464692053212,656,1844,False,False
5,condor,large_launcher,1374.9619085632883,967,1251,False,False
5,condor,small_launcher,1626.8017703457297,1075,1400,False,False
5,condor,small_plane,722.4430773424298,826,190,True,True
5,condor,small_tower,683.3831282670066,218,790,True,False
5,condor,spacecraft,1507.7740215297517,1347,968,True,False
5,condor,ta-ta,2086.9825107077445,1788,1324,False,False
5,condor,tank,2452.7175234828815,2004,1666,False,False
5,helicopter,jammer,898.4521411850494,876,469,True,True
5,helicopter,jet_plane,1123.2124687698226,155,1205,False,False
5,helicopter,large_launcher,1378.045717674127,1408,612,True,False
5,helicopter,small_launcher,864.7249562722242,574,761,True,False
5,helicopter,small_plane,723.0001728907124,325,750,True,False
5,helicopter,small_tower,375.27623159480805,452,151,True,True
5,helicopter,spacecraft,810.9705605014278,846,329,True,True
5,helicopter,ta-ta,1368.8517998673194,1287,685,True,False
5,helicopter,tank,1715.85153786684,1503,1027,True,False
5,jammer,jet_plane,1694.3655154658927,794,1583,False,False
5,jammer,large_launcher,2274.649698305214,2171,990,False,False
5,jammer,small_launcher,1141.6735522906713,323,1139,False,False
5,jammer,small_plane,621.8508663658836,594,324,True,True
5,jammer,small_tower,1264.8023561015373,1215,529,True,False
5,jammer,spacecraft,661.9259777346708,72,707,True,False
5,jammer,ta-ta,1111.480319213975,443,1063,True,False
5,jammer,tank,1495.607986739841,659,1405,False,False
5,jet_plane,large_launcher,1472.6008454431908,1450,700,True,False
5,jet_plane,small_launcher,612.5895852852871,492,474,True,True
5,jet_plane,small_plane,1810.4767327971933,243,1864,False,False
5,jet_plane,small_tower,1130.2833715489228,494,1113,False,False
5,jet_plane,spacecraft,1114.9208492085884,764,925,True,False
5,jet_plane,ta-ta,1253.1919246468196,1205,538,True,False
5,jet_plane,tank,1370.1110356463814,1421,222,True,False
5,large_launcher,small_launcher,1795.815204858228,1869,256,True,False
5,large_launcher,small_plane,1936.6807300120481,1620,1271,False,False
5,large_launcher,small_tower,1010.84185212129,1012,520,True,False
5,large_launcher,spacecraft,2063.194670892691,2141,332,False,False
5,large_launcher,ta-ta,2496.766358712805,2582,180,False,False
5,large_launcher,tank,2738.149831546842,2798,522,False,False
5,small_launcher,small_plane,1404.2791745233567,292,1420,False,False
5,small_launcher,small_tower,1074.5931788356002,913,669,True,False
5,small_launcher,spacecraft,513.132049281664,293,481,True,True
5,small_launcher,ta-ta,711.4520363313327,734,94,True,True
5,small_launcher,tank,951.4311588338907,950,296,True,True
5,small_plane,small_tower,973.8534283966967,664,810,True,False
5,small_plane,spacecraft,1073.659396643088,564,988,True,False
5,small_plane,ta-ta,1628.8413059595462,1005,1344,False,False
5,small_plane,tank,2016.9584155356301,1221,1686,False,False
5,small_tower,spacecraft,1150.645471029196,1185,237,True,False
5,small_tower,ta-ta,1676.8352632265342,1626,593,True,False
5,small_tower,tank,1996.16438451346,1842,935,True,False
5,spacecraft,ta-ta,580.839478685807,483,405,True,True
5,spacecraft,tank,958.3403622930634,699,747,True,False
5,ta-ta,tank,388.9694718098067,247,360,True,True
6,condor,helicopter,771.9438127221437,619,740,True,False
6,condor,jammer,1300.7025985981577,1389,309,True,False
6,condor,jet_plane,1825.427758088498,662,1868,False,False
6,condor,large_launcher,1390.1583542891794,973,1267,False,False
6,condor,large_tower,1985.9865306693296,760,1977,False,False
6,condor,small_launcher,1646.4016065346875,1084,1419,False,False
6,condor,small_plane,728.5169867614619,833,192,True,True
6,condor,small_tower,693.4949531179012,220,801,True,False
6,condor,spacecraft,1523.280998371607,1358,982,True,False
6,condor,ta-ta,2108.1045989229283,1802,1343,False,False
6,condor,tank,2476.884383656209,2019,1688,False,False
6,helicopter,jammer,906.5037231032204,883,475,True,True
6,helicopter,jet_plane,1137.7180010881432,156,1220,False,False
6,helicopter,large_launcher,1388.3574827831628,1417,619,True,False
6,helicopter,large_tower,1692.9796956845053,1204,1329,False,False
6,helicopter,small_launcher,874.7691123948078,578,771,True,False
6,helicopter,small_plane,733.0833854344265,327,761,True,False
6,helicopter,small_tower,377.9272416749023,454,153,True,True
6,helicopter,spacecraft,817.6235380662667,852,334,True,True
6,helicopter,ta-ta,1380.9910390730274,1296,695,True,False
6,helicopter,tank,1730.8577353439537,1513,1040,True,False
6,jammer,jet_plane,1714.5277046463846,801,1603,False,False
6,jammer,large_launcher,2293.0129742328104,2187,1002,False,False
6,jammer,large_tower,2556.4231359460036,1974,1712,False,False
6,jammer,small_launcher,1156.3260785781838,326,1154,False,False
6,jammer,small_plane,628.1140421929763,599,330,True,True
6,jammer,small_tower,1275.4042496400896,1224,536,True,False
6,jammer,spacecraft,671.465747451052,74,717,True,False
6,jammer,ta-ta,1125.4147013434647,446,1078,True,False
6,jammer,tank,1512.5371069828336,663,1423,False,False
6,jet_plane,large_launcher,1484.1065494094419,1460,708,True,False
6,jet_plane,large_tower,1189.5713513698959,1247,185,True,False
6,jet_plane,small_launcher,618.5695191326517,496,479,True,True
6,jet_plane,small_plane,1835.0020435955923,245,1889,False,False
6,jet_plane,small_tower,1143.913130443042,497,1127,False,False
6,jet_plane,spacecraft,1125.8279175788812,770,935,True,False
6,jet_plane,ta-ta,1263.1684369077625,1214,544,True,False
6,jet_plane,tank,1379.8406610909826,1431,225,True,False
6,large_launcher,large_tower,769.0736310653226,269,817,True,False
6,large_launcher,small_launcher,1808.56089198014,1882,259,True,False
6,large_launcher,small_plane,1955.1248681350253,1631,1288,False,False
6,large_launcher,small_tower,1018.6326619542493,1018,526,True,False
6,large_launcher,spacecraft,2077.3344097665163,2156,334,False,False
6,large_launcher,ta-ta,2514.3651783303076,2600,183,False,False
6,large_launcher,tank,2757.3001287491356,2817,528,False,False
6,large_tower,small_launcher,1723.9867313874547,1669,588,True,False
6,large_tower,small_plane,2390.069559657208,1418,1998,False,False
6,large_tower,small_tower,1408.9000141954716,805,1236,False,False
6,large_tower,spacecraft,2144.384410501065,1943,1044,False,False
6,large_tower,ta-ta,2426.833842684744,2387,653,False,False
6,large_tower,tank,2569.398032613865,2604,334,False,False
6,small_launcher,small_plane,1423.8132777861008,294,1440,False,False
6,small_launcher,small_tower,1084.8271751758434,919,678,True,False
6,small_launcher,spacecraft,518.2000096487842,295,486,True,True
6,small_launcher,ta-ta,716.4769710186085,739,95,True,True
6,small_launcher,tank,957.8854315626687,956,299,True,True
6,small_plane,small_tower,985.2325867529961,668,822,True,False
6,small_plane,spacecraft,1088.0413595079922,568,1003,True,False
6,small_plane,ta-ta,1648.2918430909012,1012,1364,False,False
6,small_plane,tank,2039.5080902021448,1229,1709,False,False
6,small_tower,spacecraft,1159.1023466458862,1193,241,True,False
6,small_tower,ta-ta,1690.3379100049788,1637,602,True,False
6,small_tower,tank,2012.2466300133292,1854,947,True,False
6,spacecraft,ta-ta,586.4094132941592,487,410,True,True
6,spacecraft,tank,966.8951597769016,704,755,True,False
6,ta-ta,tank,392.0411330460109,248,364,True,True
7,condor,helicopter,781.5921250882714,624,752,True,False
7,condor,jammer,1310.5535090182316,1399,313,True,False
7,condor,jet_plane,1849.6908525480683,667,1894,False,False
7,condor,large_launcher,1406.0733444596694,979,1285,False,False
7,condor,large_tower,2030.192109136473,765,2045,False,False
7,condor,small_launcher,1666.2211737941634,1092,1440,False,False
7,condor,small_plane,734.0941697084918,839,195,True,True
7,condor,small_tower,703.5312715153464,222,812,True,False
7,condor,spacecraft,1538.2335648398782,1368,996,True,False
7,condor,ta-ta,2128.042821467651,1814,1362,False,False
7,condor,tank,2501.008446607088,2033,1711,False,False
7,helicopter,jammer,914.7886367899417,890,482,True,True
7,helicopter,jet_plane,1152.2510577126843,158,1236,False,False
7,helicopter,large_launcher,1398.6750873594624,1427,627,True,False
7,helicopter,large_tower,1724.7139617919256,1213,1387,False,False
7,helicopter,small_launcher,884.9351671167781,583,782,True,False
7,helicopter,small_plane,743.6403700714479,330,773,True,False
7,helicopter,small_tower,380.47667471213003,458,154,True,True
7,helicopter,spacecraft,824.2707382893075,859,338,True,True
7,helicopter,ta-ta,1392.0229883159257,1305,704,True,False
7,helicopter,tank,1745.874709135796,1524,1053,True,False
7,jammer,jet_plane,1735.6129320790394,806,1624,False,False
7,jammer,large_launcher,2311.5372049785396,2202,1015,False,False
7,jammer,large_tower,2594.221752279477,1988,1775,False,False
7,jammer,small_launcher,1172.9128271103527,329,1170,False,False
7,jammer,small_plane,633.4881608996335,603,334,True,True
7,jammer,small_tower,1285.9289443822315,1233,542,True,False
7,jammer,spacecraft,680.9522743922661,74,726,True,False
7,jammer,ta-ta,1140.1044908252927,448,1092,False,False
7,jammer,tank,1531.0490684494732,667,1441,False,False
7,jet_plane,large_launcher,1496.075031540865,1470,717,True,False
7,jet_plane,large_tower,1200.116765152458,1256,228,True,False
7,jet_plane,small_launcher,623.4831593555675,499,484,True,True
7,jet_plane,small_plane,1859.9748654215734,246,1915,False,False
7,jet_plane,small_tower,1158.19903298181,501,1141,False,False
7,jet_plane,spacecraft,1137.9052025542373,775,947,True,False
7,jet_plane,ta-ta,1271.9663910654244,1221,550,True,False
7,jet_plane,tank,1389.0752319439002,1440,228,True,False
7,large_launcher,large_tower,798.2043911179642,272,868,True,False
7,large_launcher,small_launcher,1820.86414924343,1895,263,True,False
7,large_launcher,small_plane,1973.9009600281368,1642,1306,False,False
7,large_launcher,small_tower,1026.647213019156,1025,532,True,False
7,large_launcher,spacecraft,2092.1558856834736,2171,338,False,False
7,large_launcher,ta-ta,2530.9421170781443,2617,185,False,False
7,large_launcher,tank,2776.4525027451846,2836,534,False,False
7,large_tower,small_launcher,1742.4916068664434,1681,635,True,False
7,large_tower,small_plane,2433.4219219033926,1428,2066,False,False
7,large_tower,small_tower,1441.43270741301,811,1292,False,False
7,large_tower,spacecraft,2171.474729302646,1957,1098,False,False
7,large_tower,ta-ta,2448.568204073556,2403,701,False,False
7,large_tower,tank,2589.1634266689307,2622,379,False,False
7,small_launcher,small_plane,1444.2410636732359,296,1461,False,False
7,small_launcher,small_tower,1095.251226888151,926,687,True,False
7,small_launcher,spacecraft,525.5021408139077,298,493,True,True
7,small_launcher,ta-ta,721.1034946524667,744,96,True,True
7,small_launcher,tank,964.6845339280609,963,301,True,False
7,small_plane,small_tower,996.6235497919964,673,833,True,False
7,small_plane,spacecraft,1101.8000045380286,572,1017,True,False
7,small_plane,ta-ta,1667.172756495259,1018,1383,False,False
7,small_plane,tank,2062.485030248705,1237,1732,False,False
7,small_tower,spacecraft,1167.8943659423999,1202,243,True,False
7,small_tower,ta-ta,1702.906485982128,1648,609,True,False
7,small_tower,tank,2028.561312852042,1867,958,True,False
7,spacecraft,ta-ta,591.4780215696945,489,415,True,True
7,spacecraft,tank,976.2147560859752,708,764,True,False
7,ta-ta,tank,396.06880715350457,250,367,True,True
8,condor,helicopter,791.8618882103116,630,762,True,False
8,condor,jammer,1321.3936771454598,1411,317,True,False
8,condor,jet_plane,1874.1038525119145,673,1919,False,False
8,condor,large_launcher,1422.0078234665236,986,1302,False,False
8,condor,large_tower,2054.3741747792683,769,2070,False,False
8,condor,small_launcher,1685.5540632088903,1100,1459,False,False
8,condor,small_plane,739.7278215668247,846,197,True,True
8,condor,small_tower,714.1374167483455,225,823,True,False
8,condor,spacecraft,1553.7786200099422,1379,1010,True,False
8,condor,ta-ta,2149.211076185864,1828,1380,False,False
8,condor,tank,2525.861684653378,2048,1734,False,False
8,helicopter,jammer,923.0839615116276,897,489,True,True
8,helicopter,jet_plane,1166.7566155801303,159,1251,False,False
8,helicopter,large_launcher,1409.924288747449,1438,634,True,False
8,helicopter,large_tower,1740.9758757662325,1221,1402,False,False
8,helicopter,small_launcher,894.0062919241676,586,791,True,False
8,helicopter,small_plane,754.3374576408095,332,784,True,False
8,helicopter,small_tower,383.6176481863159,462,155,True,True
8,helicopter,spacecraft,830.2982897730188,865,342,True,True
8,helicopter,ta-ta,1403.5072140890477,1314,712,True,False
8,helicopter,tank,1760.7725577143688,1534,1066,True,False
8,jammer,jet_plane,1756.926008686763,812,1646,False,False
8,jammer,large_launcher,2330.9895967163816,2219,1029,False,False
8,jammer,large_tower,2618.590651476477,2002,1797,False,False
8,jammer,small_launcher,1188.6636403962225,332,1186,False,False
