frame,class,x1,y1,x2,y2,width,height,area,width_fraction,height_fraction,area_fraction,aspect_ratio,cx,cy,edge_left,edge_top,edge_right,edge_bottom,min_edge,boundary_touch,L0_width,L0_height,L0_short,L0_bucket,L1_width,L1_height,L1_short,L1_bucket,L2_width,L2_height,L2_short,L2_bucket
0,ta-ta,1098,293,1127,312,29,19,551,0.007552083333333333,0.008796296296296297,6.643036265432099e-05,1.5263157894736843,1112.5,302.5,1098,293,2713,1848,293,0,7.25,4.75,4.75,4-<8,14.5,9.5,9.5,8-<16,29.0,19.0,19.0,16-32
1,jammer,1493,1314,1525,1358,32,44,1408,0.008333333333333333,0.020370370370370372,0.00016975308641975308,0.7272727272727273,1509.0,1336.0,1493,1314,2315,802,802,0,8.0,11.0,8.0,8-<16,16.0,22.0,16.0,16-32,32.0,44.0,32.0,16-32
1,large_launcher,3465,416,3605,521,140,105,14700,0.036458333333333336,0.04861111111111111,0.0017722800925925927,1.3333333333333333,3535.0,468.5,3465,416,235,1639,235,0,35.0,26.25,26.25,16-32,70.0,52.5,52.5,>32,140.0,105.0,105.0,>32
1,mine_roller,1980,2090,2033,2150,53,60,3180,0.013802083333333333,0.027777777777777776,0.0003833912037037037,0.8833333333333333,2006.5,2120.0,1980,2090,1807,10,10,0,13.25,15.0,13.25,8-<16,26.5,30.0,26.5,16-32,53.0,60.0,53.0,>32
1,spacecraft,1522,686,1563,735,41,49,2009,0.010677083333333334,0.022685185185185187,0.00024221161265432098,0.8367346938775511,1542.5,710.5,1522,686,2277,1425,686,0,10.25,12.25,10.25,8-<16,20.5,24.5,20.5,16-32,41.0,49.0,41.0,>32
1,condor,2662,1439,2830,1603,168,164,27552,0.04375,0.07592592592592592,0.003321759259259259,1.024390243902439,2746.0,1521.0,2662,1439,1010,557,557,0,42.0,41.0,41.0,>32,84.0,82.0,82.0,>32,168.0,164.0,164.0,>32
1,small_plane,2029,1573,2070,1622,41,49,2009,0.010677083333333334,0.022685185185185187,0.00024221161265432098,0.8367346938775511,2049.5,1597.5,2029,1573,1770,538,538,0,10.25,12.25,10.25,8-<16,20.5,24.5,20.5,16-32,41.0,49.0,41.0,>32
1,small_launcher,1787,275,1807,305,20,30,600,0.005208333333333333,0.013888888888888888,7.233796296296296e-05,0.6666666666666666,1797.0,290.0,1787,275,2033,1855,275,0,5.0,7.5,5.0,4-<8,10.0,15.0,10.0,8-<16,20.0,30.0,20.0,16-32
1,tank,882,21,928,64,46,43,1978,0.011979166666666667,0.01990740740740741,0.0002384741512345679,1.069767441860465,905.0,42.5,882,21,2912,2096,21,0,11.5,10.75,10.75,8-<16,23.0,21.5,21.5,16-32,46.0,43.0,43.0,>32
1,helicopter,2235,912,2345,1000,110,88,9680,0.028645833333333332,0.040740740740740744,0.0011670524691358025,1.25,2290.0,956.0,2235,912,1495,1160,912,0,27.5,22.0,22.0,16-32,55.0,44.0,44.0,>32,110.0,88.0,88.0,>32
1,small_tower,2620,853,2674,913,54,60,3240,0.0140625,0.027777777777777776,0.000390625,0.9,2647.0,883.0,2620,853,1166,1247,853,0,13.5,15.0,13.5,8-<16,27.0,30.0,27.0,16-32,54.0,60.0,54.0,>32
1,ta-ta,1093,348,1122,367,29,19,551,0.007552083333333333,0.008796296296296297,6.643036265432099e-05,1.5263157894736843,1107.5,357.5,1093,348,2718,1793,348,0,7.25,4.75,4.75,4-<8,14.5,9.5,9.5,8-<16,29.0,19.0,19.0,16-32
2,jammer,1490,1383,1522,1426,32,43,1376,0.008333333333333333,0.01990740740740741,0.00016589506172839507,0.7441860465116279,1506.0,1404.5,1490,1383,2318,734,734,0,8.0,10.75,8.0,8-<16,16.0,21.5,16.0,16-32,32.0,43.0,32.0,16-32
2,large_launcher,3475,473,3617,579,142,106,15052,0.03697916666666667,0.049074074074074076,0.001814718364197531,1.3396226415094339,3546.0,526.0,3475,473,223,1581,223,0,35.5,26.5,26.5,16-32,71.0,53.0,53.0,>32,142.0,106.0,106.0,>32
2,spacecraft,1519,746,1561,795,42,49,2058,0.0109375,0.022685185185185187,0.00024811921296296295,0.8571428571428571,1540.0,770.5,1519,746,2279,1365,746,0,10.5,12.25,10.5,8-<16,21.0,24.5,21.0,16-32,42.0,49.0,42.0,>32
2,condor,2668,1510,2837,1676,169,166,28054,0.04401041666666667,0.07685185185185185,0.0033822820216049382,1.0180722891566265,2752.5,1593.0,2668,1510,1003,484,484,0,42.25,41.5,41.5,>32,84.5,83.0,83.0,>32,169.0,166.0,166.0,>32
2,small_plane,2030,1646,2071,1695,41,49,2009,0.010677083333333334,0.022685185185185187,0.00024221161265432098,0.8367346938775511,2050.5,1670.5,2030,1646,1769,465,465,0,10.25,12.25,10.25,8-<16,20.5,24.5,20.5,16-32,41.0,49.0,41.0,>32
2,small_launcher,1786,330,1807,360,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1796.5,345.0,1786,330,2033,1800,330,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
2,tank,875,73,922,117,47,44,2068,0.012239583333333333,0.020370370370370372,0.0002493248456790123,1.0681818181818181,898.5,95.0,875,73,2918,2043,73,0,11.75,11.0,11.0,8-<16,23.5,22.0,22.0,16-32,47.0,44.0,44.0,>32
2,helicopter,2238,975,2348,1064,110,89,9790,0.028645833333333332,0.0412037037037037,0.0011803144290123456,1.2359550561797752,2293.0,1019.5,2238,975,1492,1096,975,0,27.5,22.25,22.25,16-32,55.0,44.5,44.5,>32,110.0,89.0,89.0,>32
2,small_tower,2625,916,2679,976,54,60,3240,0.0140625,0.027777777777777776,0.000390625,0.9,2652.0,946.0,2625,916,1161,1184,916,0,13.5,15.0,13.5,8-<16,27.0,30.0,27.0,16-32,54.0,60.0,54.0,>32
2,ta-ta,1087,404,1117,422,30,18,540,0.0078125,0.008333333333333333,6.510416666666667e-05,1.6666666666666667,1102.0,413.0,1087,404,2723,1738,404,0,7.5,4.5,4.5,4-<8,15.0,9.0,9.0,8-<16,30.0,18.0,18.0,16-32
3,jammer,1487,1453,1519,1496,32,43,1376,0.008333333333333333,0.01990740740740741,0.00016589506172839507,0.7441860465116279,1503.0,1474.5,1487,1453,2321,664,664,0,8.0,10.75,8.0,8-<16,16.0,21.5,16.0,16-32,32.0,43.0,32.0,16-32
3,large_launcher,3486,531,3628,637,142,106,15052,0.03697916666666667,0.049074074074074076,0.001814718364197531,1.3396226415094339,3557.0,584.0,3486,531,212,1523,212,0,35.5,26.5,26.5,16-32,71.0,53.0,53.0,>32,142.0,106.0,106.0,>32
3,spacecraft,1516,807,1558,856,42,49,2058,0.0109375,0.022685185185185187,0.00024811921296296295,0.8571428571428571,1537.0,831.5,1516,807,2282,1304,807,0,10.5,12.25,10.5,8-<16,21.0,24.5,21.0,16-32,42.0,49.0,42.0,>32
3,condor,2673,1583,2844,1749,171,166,28386,0.04453125,0.07685185185185185,0.0034223090277777776,1.0301204819277108,2758.5,1666.0,2673,1583,996,411,411,0,42.75,41.5,41.5,>32,85.5,83.0,83.0,>32,171.0,166.0,166.0,>32
3,small_plane,2030,1719,2073,1769,43,50,2150,0.011197916666666667,0.023148148148148147,0.0002592110339506173,0.86,2051.5,1744.0,2030,1719,1767,391,391,0,10.75,12.5,10.75,8-<16,21.5,25.0,21.5,16-32,43.0,50.0,43.0,>32
3,jet_plane,2199,0,2271,27,72,27,1944,0.01875,0.0125,0.000234375,2.6666666666666665,2235.0,13.5,2199,0,1569,2133,0,1,18.0,6.75,6.75,4-<8,36.0,13.5,13.5,8-<16,72.0,27.0,27.0,16-32
3,small_launcher,1785,386,1806,416,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1795.5,401.0,1785,386,2034,1744,386,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
3,tank,868,126,915,170,47,44,2068,0.012239583333333333,0.020370370370370372,0.0002493248456790123,1.0681818181818181,891.5,148.0,868,126,2925,1990,126,0,11.75,11.0,11.0,8-<16,23.5,22.0,22.0,16-32,47.0,44.0,44.0,>32
3,helicopter,2240,1039,2351,1129,111,90,9990,0.02890625,0.041666666666666664,0.0012044270833333334,1.2333333333333334,2295.5,1084.0,2240,1039,1489,1031,1031,0,27.75,22.5,22.5,16-32,55.5,45.0,45.0,>32,111.0,90.0,90.0,>32
3,small_tower,2630,979,2685,1039,55,60,3300,0.014322916666666666,0.027777777777777776,0.0003978587962962963,0.9166666666666666,2657.5,1009.0,2630,979,1155,1121,979,0,13.75,15.0,13.75,8-<16,27.5,30.0,27.5,16-32,55.0,60.0,55.0,>32
3,ta-ta,1082,460,1112,479,30,19,570,0.0078125,0.008796296296296297,6.872106481481482e-05,1.5789473684210527,1097.0,469.5,1082,460,2728,1681,460,0,7.5,4.75,4.75,4-<8,15.0,9.5,9.5,8-<16,30.0,19.0,19.0,16-32
4,jammer,1484,1524,1516,1567,32,43,1376,0.008333333333333333,0.01990740740740741,0.00016589506172839507,0.7441860465116279,1500.0,1545.5,1484,1524,2324,593,593,0,8.0,10.75,8.0,8-<16,16.0,21.5,16.0,16-32,32.0,43.0,32.0,16-32
4,large_launcher,3496,590,3640,696,144,106,15264,0.0375,0.049074074074074076,0.0018402777777777777,1.3584905660377358,3568.0,643.0,3496,590,200,1464,200,0,36.0,26.5,26.5,16-32,72.0,53.0,53.0,>32,144.0,106.0,106.0,>32
4,spacecraft,1514,869,1556,918,42,49,2058,0.0109375,0.022685185185185187,0.00024811921296296295,0.8571428571428571,1535.0,893.5,1514,869,2284,1242,869,0,10.5,12.25,10.5,8-<16,21.0,24.5,21.0,16-32,42.0,49.0,42.0,>32
4,condor,2679,1656,2851,1824,172,168,28896,0.04479166666666667,0.07777777777777778,0.0034837962962962965,1.0238095238095237,2765.0,1740.0,2679,1656,989,336,336,0,43.0,42.0,42.0,>32,86.0,84.0,84.0,>32,172.0,168.0,168.0,>32
4,small_plane,2031,1794,2074,1844,43,50,2150,0.011197916666666667,0.023148148148148147,0.0002592110339506173,0.86,2052.5,1819.0,2031,1794,1766,316,316,0,10.75,12.5,10.75,8-<16,21.5,25.0,21.5,16-32,43.0,50.0,43.0,>32
4,jet_plane,2201,4,2273,79,72,75,5400,0.01875,0.034722222222222224,0.0006510416666666666,0.96,2237.0,41.5,2201,4,1567,2081,4,0,18.0,18.75,18.0,16-32,36.0,37.5,36.0,>32,72.0,75.0,72.0,>32
4,small_launcher,1784,442,1805,473,21,31,651,0.00546875,0.014351851851851852,7.848668981481481e-05,0.6774193548387096,1794.5,457.5,1784,442,2035,1687,442,0,5.25,7.75,5.25,4-<8,10.5,15.5,10.5,8-<16,21.0,31.0,21.0,16-32
4,tank,861,180,909,224,48,44,2112,0.0125,0.020370370370370372,0.0002546296296296296,1.0909090909090908,885.0,202.0,861,180,2931,1936,180,0,12.0,11.0,11.0,8-<16,24.0,22.0,22.0,16-32,48.0,44.0,44.0,>32
4,helicopter,2242,1104,2354,1195,112,91,10192,0.029166666666666667,0.04212962962962963,0.0012287808641975309,1.2307692307692308,2298.0,1149.5,2242,1104,1486,965,965,0,28.0,22.75,22.75,16-32,56.0,45.5,45.5,>32,112.0,91.0,91.0,>32
4,small_tower,2635,1044,2690,1104,55,60,3300,0.014322916666666666,0.027777777777777776,0.0003978587962962963,0.9166666666666666,2662.5,1074.0,2635,1044,1150,1056,1044,0,13.75,15.0,13.75,8-<16,27.5,30.0,27.5,16-32,55.0,60.0,55.0,>32
4,ta-ta,1076,517,1106,536,30,19,570,0.0078125,0.008796296296296297,6.872106481481482e-05,1.5789473684210527,1091.0,526.5,1076,517,2734,1624,517,0,7.5,4.75,4.75,4-<8,15.0,9.5,9.5,8-<16,30.0,19.0,19.0,16-32
5,jammer,1481,1596,1513,1639,32,43,1376,0.008333333333333333,0.01990740740740741,0.00016589506172839507,0.7441860465116279,1497.0,1617.5,1481,1596,2327,521,521,0,8.0,10.75,8.0,8-<16,16.0,21.5,16.0,16-32,32.0,43.0,32.0,16-32
5,large_launcher,3507,649,3652,756,145,107,15515,0.037760416666666664,0.04953703703703704,0.0018705391589506173,1.355140186915888,3579.5,702.5,3507,649,188,1404,188,0,36.25,26.75,26.75,16-32,72.5,53.5,53.5,>32,145.0,107.0,107.0,>32
5,spacecraft,1511,932,1553,981,42,49,2058,0.0109375,0.022685185185185187,0.00024811921296296295,0.8571428571428571,1532.0,956.5,1511,932,2287,1179,932,0,10.5,12.25,10.5,8-<16,21.0,24.5,21.0,16-32,42.0,49.0,42.0,>32
5,condor,2685,1730,2858,1900,173,170,29410,0.04505208333333333,0.0787037037037037,0.0035457658179012344,1.0176470588235293,2771.5,1815.0,2685,1730,982,260,260,0,43.25,42.5,42.5,>32,86.5,85.0,85.0,>32,173.0,170.0,170.0,>32
5,small_plane,2032,1870,2075,1920,43,50,2150,0.011197916666666667,0.023148148148148147,0.0002592110339506173,0.86,2053.5,1895.0,2032,1870,1765,240,240,0,10.75,12.5,10.75,8-<16,21.5,25.0,21.5,16-32,43.0,50.0,43.0,>32
5,jet_plane,2202,56,2275,132,73,76,5548,0.019010416666666665,0.03518518518518519,0.0006688850308641975,0.9605263157894737,2238.5,94.0,2202,56,1565,2028,56,0,18.25,19.0,18.25,16-32,36.5,38.0,36.5,>32,73.0,76.0,73.0,>32
5,small_launcher,1783,500,1804,530,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1793.5,515.0,1783,500,2036,1630,500,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
5,tank,854,234,902,278,48,44,2112,0.0125,0.020370370370370372,0.0002546296296296296,1.0909090909090908,878.0,256.0,854,234,2938,1882,234,0,12.0,11.0,11.0,8-<16,24.0,22.0,22.0,16-32,48.0,44.0,44.0,>32
5,helicopter,2244,1170,2357,1261,113,91,10283,0.029427083333333333,0.04212962962962963,0.0012397521219135801,1.2417582417582418,2300.5,1215.5,2244,1170,1483,899,899,0,28.25,22.75,22.75,16-32,56.5,45.5,45.5,>32,113.0,91.0,91.0,>32
5,small_tower,2640,1110,2696,1169,56,59,3304,0.014583333333333334,0.027314814814814816,0.00039834104938271604,0.9491525423728814,2668.0,1139.5,2640,1110,1144,991,991,0,14.0,14.75,14.0,8-<16,28.0,29.5,28.0,16-32,56.0,59.0,56.0,>32
5,ta-ta,1070,576,1101,594,31,18,558,0.008072916666666667,0.008333333333333333,6.727430555555556e-05,1.7222222222222223,1085.5,585.0,1070,576,2739,1566,576,0,7.75,4.5,4.5,4-<8,15.5,9.0,9.0,8-<16,31.0,18.0,18.0,16-32
6,jammer,1477,1668,1510,1712,33,44,1452,0.00859375,0.020370370370370372,0.00017505787037037037,0.75,1493.5,1690.0,1477,1668,2330,448,448,0,8.25,11.0,8.25,8-<16,16.5,22.0,16.5,16-32,33.0,44.0,33.0,>32
6,large_launcher,3518,710,3664,817,146,107,15622,0.03802083333333333,0.04953703703703704,0.0018834394290123456,1.3644859813084111,3591.0,763.5,3518,710,176,1343,176,0,36.5,26.75,26.75,16-32,73.0,53.5,53.5,>32,146.0,107.0,107.0,>32
6,spacecraft,1508,995,1551,1044,43,49,2107,0.011197916666666667,0.022685185185185187,0.0002540268132716049,0.8775510204081632,1529.5,1019.5,1508,995,2289,1116,995,0,10.75,12.25,10.75,8-<16,21.5,24.5,21.5,16-32,43.0,49.0,43.0,>32
6,condor,2691,1806,2866,1977,175,171,29925,0.045572916666666664,0.07916666666666666,0.003607855902777778,1.023391812865497,2778.5,1891.5,2691,1806,974,183,183,0,43.75,42.75,42.75,>32,87.5,85.5,85.5,>32,175.0,171.0,171.0,>32
6,small_plane,2033,1947,2076,1998,43,51,2193,0.011197916666666667,0.02361111111111111,0.0002643952546296296,0.8431372549019608,2054.5,1972.5,2033,1947,1764,162,162,0,10.75,12.75,10.75,8-<16,21.5,25.5,21.5,16-32,43.0,51.0,43.0,>32
6,jet_plane,2204,109,2278,185,74,76,5624,0.019270833333333334,0.03518518518518519,0.0006780478395061729,0.9736842105263158,2241.0,147.0,2204,109,1562,1975,109,0,18.5,19.0,18.5,16-32,37.0,38.0,37.0,>32,74.0,76.0,74.0,>32
6,large_tower,3395,0,3451,26,56,26,1456,0.014583333333333334,0.012037037037037037,0.00017554012345679014,2.1538461538461537,3423.0,13.0,3395,0,389,2134,0,1,14.0,6.5,6.5,4-<8,28.0,13.0,13.0,8-<16,56.0,26.0,26.0,16-32
6,small_launcher,1782,558,1803,588,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1792.5,573.0,1782,558,2037,1572,558,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
6,tank,847,289,895,334,48,45,2160,0.0125,0.020833333333333332,0.00026041666666666666,1.0666666666666667,871.0,311.5,847,289,2945,1826,289,0,12.0,11.25,11.25,8-<16,24.0,22.5,22.5,16-32,48.0,45.0,45.0,>32
6,helicopter,2247,1237,2360,1329,113,92,10396,0.029427083333333333,0.04259259259259259,0.0012533757716049383,1.2282608695652173,2303.5,1283.0,2247,1237,1480,831,831,0,28.25,23.0,23.0,16-32,56.5,46.0,46.0,>32,113.0,92.0,92.0,>32
6,small_tower,2646,1176,2701,1236,55,60,3300,0.014322916666666666,0.027777777777777776,0.0003978587962962963,0.9166666666666666,2673.5,1206.0,2646,1176,1139,924,924,0,13.75,15.0,13.75,8-<16,27.5,30.0,27.5,16-32,55.0,60.0,55.0,>32
6,ta-ta,1064,634,1095,653,31,19,589,0.008072916666666667,0.008796296296296297,7.101176697530864e-05,1.631578947368421,1079.5,643.5,1064,634,2745,1507,634,0,7.75,4.75,4.75,4-<8,15.5,9.5,9.5,8-<16,31.0,19.0,19.0,16-32
7,jammer,1474,1743,1507,1786,33,43,1419,0.00859375,0.01990740740740741,0.00017107928240740742,0.7674418604651163,1490.5,1764.5,1474,1743,2333,374,374,0,8.25,10.75,8.25,8-<16,16.5,21.5,16.5,16-32,33.0,43.0,33.0,>32
7,large_launcher,3529,771,3676,879,147,108,15876,0.03828125,0.05,0.0019140625,1.3611111111111112,3602.5,825.0,3529,771,164,1281,164,0,36.75,27.0,27.0,16-32,73.5,54.0,54.0,>32,147.0,108.0,108.0,>32
7,spacecraft,1505,1060,1548,1109,43,49,2107,0.011197916666666667,0.022685185185185187,0.0002540268132716049,0.8775510204081632,1526.5,1084.5,1505,1060,2292,1051,1051,0,10.75,12.25,10.75,8-<16,21.5,24.5,21.5,16-32,43.0,49.0,43.0,>32
7,condor,2697,1882,2873,2056,176,174,30624,0.04583333333333333,0.08055555555555556,0.00369212962962963,1.0114942528735633,2785.0,1969.0,2697,1882,967,104,104,0,44.0,43.5,43.5,>32,88.0,87.0,87.0,>32,176.0,174.0,174.0,>32
7,small_plane,2034,2025,2077,2077,43,52,2236,0.011197916666666667,0.024074074074074074,0.000269579475308642,0.8269230769230769,2055.5,2051.0,2034,2025,1763,83,83,0,10.75,13.0,10.75,8-<16,21.5,26.0,21.5,16-32,43.0,52.0,43.0,>32
7,jet_plane,2206,162,2280,239,74,77,5698,0.019270833333333334,0.03564814814814815,0.0006869695216049382,0.961038961038961,2243.0,200.5,2206,162,1560,1921,162,0,18.5,19.25,18.5,16-32,37.0,38.5,37.0,>32,74.0,77.0,74.0,>32
7,large_tower,3404,11,3462,79,58,68,3944,0.015104166666666667,0.03148148148148148,0.0004755015432098765,0.8529411764705882,3433.0,45.0,3404,11,378,2081,11,0,14.5,17.0,14.5,8-<16,29.0,34.0,29.0,16-32,58.0,68.0,58.0,>32
7,small_launcher,1781,616,1803,646,22,30,660,0.005729166666666666,0.013888888888888888,7.957175925925927e-05,0.7333333333333333,1792.0,631.0,1781,616,2037,1514,616,0,5.5,7.5,5.5,4-<8,11.0,15.0,11.0,8-<16,22.0,30.0,22.0,16-32
7,tank,840,345,888,390,48,45,2160,0.0125,0.020833333333333332,0.00026041666666666666,1.0666666666666667,864.0,367.5,840,345,2952,1770,345,0,12.0,11.25,11.25,8-<16,24.0,22.5,22.5,16-32,48.0,45.0,45.0,>32
7,helicopter,2249,1304,2364,1398,115,94,10810,0.029947916666666668,0.04351851851851852,0.0013032889660493827,1.2234042553191489,2306.5,1351.0,2249,1304,1476,762,762,0,28.75,23.5,23.5,16-32,57.5,47.0,47.0,>32,115.0,94.0,94.0,>32
7,small_tower,2651,1244,2707,1303,56,59,3304,0.014583333333333334,0.027314814814814816,0.00039834104938271604,0.9491525423728814,2679.0,1273.5,2651,1244,1133,857,857,0,14.0,14.75,14.0,8-<16,28.0,29.5,28.0,16-32,56.0,59.0,56.0,>32
7,ta-ta,1059,694,1090,712,31,18,558,0.008072916666666667,0.008333333333333333,6.727430555555556e-05,1.7222222222222223,1074.5,703.0,1059,694,2750,1448,694,0,7.75,4.5,4.5,4-<8,15.5,9.0,9.0,8-<16,31.0,18.0,18.0,16-32
8,jammer,1470,1818,1504,1862,34,44,1496,0.008854166666666666,0.020370370370370372,0.00018036265432098766,0.7727272727272727,1487.0,1840.0,1470,1818,2336,298,298,0,8.5,11.0,8.5,8-<16,17.0,22.0,17.0,16-32,34.0,44.0,34.0,>32
8,large_launcher,3540,833,3689,942,149,109,16241,0.038802083333333334,0.050462962962962966,0.0019580680941358023,1.3669724770642202,3614.5,887.5,3540,833,151,1218,151,0,37.25,27.25,27.25,16-32,74.5,54.5,54.5,>32,149.0,109.0,109.0,>32
8,spacecraft,1502,1125,1546,1174,44,49,2156,0.011458333333333333,0.022685185185185187,0.0002599344135802469,0.8979591836734694,1524.0,1149.5,1502,1125,2294,986,986,0,11.0,12.25,11.0,8-<16,22.0,24.5,22.0,16-32,44.0,49.0,44.0,>32
8,condor,2703,1960,2881,2135,178,175,31150,0.04635416666666667,0.08101851851851852,0.0037555459104938274,1.0171428571428571,2792.0,2047.5,2703,1960,959,25,25,0,44.5,43.75,43.75,>32,89.0,87.5,87.5,>32,178.0,175.0,175.0,>32
8,small_plane,2035,2105,2079,2157,44,52,2288,0.011458333333333333,0.024074074074074074,0.00027584876543209876,0.8461538461538461,2057.0,2131.0,2035,2105,1761,3,3,0,11.0,13.0,11.0,8-<16,22.0,26.0,22.0,16-32,44.0,52.0,44.0,>32
8,jet_plane,2208,216,2282,294,74,78,5772,0.019270833333333334,0.03611111111111111,0.0006958912037037037,0.9487179487179487,2245.0,255.0,2208,216,1558,1866,216,0,18.5,19.5,18.5,16-32,37.0,39.0,37.0,>32,74.0,78.0,74.0,>32
8,large_tower,3414,65,3472,133,58,68,3944,0.015104166666666667,0.03148148148148148,0.0004755015432098765,0.8529411764705882,3443.0,99.0,3414,65,368,2027,65,0,14.5,17.0,14.5,8-<16,29.0,34.0,29.0,16-32,58.0,68.0,58.0,>32
8,small_launcher,1781,676,1802,706,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1791.5,691.0,1781,676,2038,1454,676,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
8,tank,833,401,881,447,48,46,2208,0.0125,0.021296296296296296,0.0002662037037037037,1.0434782608695652,857.0,424.0,833,401,2959,1713,401,0,12.0,11.5,11.5,8-<16,24.0,23.0,23.0,16-32,48.0,46.0,46.0,>32
8,helicopter,2251,1373,2367,1467,116,94,10904,0.030208333333333334,0.04351851851851852,0.001314621913580247,1.2340425531914894,2309.0,1420.0,2251,1373,1473,693,693,0,29.0,23.5,23.5,16-32,58.0,47.0,47.0,>32,116.0,94.0,94.0,>32
8,small_tower,2656,1312,2713,1371,57,59,3363,0.01484375,0.027314814814814816,0.00040545428240740743,0.9661016949152542,2684.5,1341.5,2656,1312,1127,789,789,0,14.25,14.75,14.25,8-<16,28.5,29.5,28.5,16-32,57.0,59.0,57.0,>32
8,ta-ta,1053,755,1084,772,31,17,527,0.008072916666666667,0.00787037037037037,6.353684413580247e-05,1.8235294117647058,1068.5,763.5,1053,755,2756,1388,755,0,7.75,4.25,4.25,4-<8,15.5,8.5,8.5,8-<16,31.0,17.0,17.0,16-32
9,jammer,1467,1894,1500,1938,33,44,1452,0.00859375,0.020370370370370372,0.00017505787037037037,0.75,1483.5,1916.0,1467,1894,2340,222,222,0,8.25,11.0,8.25,8-<16,16.5,22.0,16.5,16-32,33.0,44.0,33.0,>32
9,large_launcher,3552,897,3701,1005,149,108,16092,0.038802083333333334,0.05,0.0019401041666666666,1.3796296296296295,3626.5,951.0,3552,897,139,1155,139,0,37.25,27.0,27.0,16-32,74.5,54.0,54.0,>32,149.0,108.0,108.0,>32
9,spacecraft,1499,1192,1543,1241,44,49,2156,0.011458333333333333,0.022685185185185187,0.0002599344135802469,0.8979591836734694,1521.0,1216.5,1499,1192,2297,919,919,0,11.0,12.25,11.0,8-<16,22.0,24.5,22.0,16-32,44.0,49.0,44.0,>32
