class,level,bucket,count,boundary_touch,class_frames
ALL,2,<4,0,0,
ALL,2,4-<8,1,1,hangar:19
ALL,2,8-<16,9,3,tank:0;ta-ta:19;ta-ta:20;ta-ta:21;spacecraft:22;ta-ta:22;medium_launcher:23;ta-ta:23;ta-ta:24
ALL,2,16-32,57,7,jammer:0;small_launcher:0;ta-ta:0;jammer:1;small_launcher:1;ta-ta:1;jammer:2;small_launcher:2;ta-ta:2;jammer:3;jet_plane:3;small_launcher:3;ta-ta:3;jammer:4;small_launcher:4;ta-ta:4;jammer:5;small_launcher:5;ta-ta:5;large_tower:6;small_launcher:6;ta-ta:6;small_launcher:7;ta-ta:7;small_launcher:8;ta-ta:8;small_launcher:9;ta-ta:9;small_launcher:10;ta-ta:10;small_launcher:11;ta-ta:11;jammer:12;small_launcher:12;ta-ta:12;small_launcher:13;ta-ta:13;medium_launcher:14;small_launcher:14;ta-ta:14;small_launcher:15;ta-ta:15;small_launcher:16;ta-ta:16;small_launcher:17;ta-ta:17;small_launcher:18;ta-ta:18;small_launcher:19;small_tower:19;small_launcher:20;medium_plane:20;small_launcher:21;medium_launcher:22;small_launcher:22;small_launcher:23;small_launcher:24
ALL,2,>32,192,12,large_launcher:0;mine_roller:0;spacecraft:0;condor:0;small_plane:0;helicopter:0;small_tower:0;large_launcher:1;mine_roller:1;spacecraft:1;condor:1;small_plane:1;tank:1;helicopter:1;small_tower:1;large_launcher:2;spacecraft:2;condor:2;small_plane:2;tank:2;helicopter:2;small_tower:2;large_launcher:3;spacecraft:3;condor:3;small_plane:3;tank:3;helicopter:3;small_tower:3;large_launcher:4;spacecraft:4;condor:4;small_plane:4;jet_plane:4;tank:4;helicopter:4;small_tower:4;large_launcher:5;spacecraft:5;condor:5;small_plane:5;jet_plane:5;tank:5;helicopter:5;small_tower:5;jammer:6;large_launcher:6;spacecraft:6;condor:6;small_plane:6;jet_plane:6;tank:6;helicopter:6;small_tower:6;jammer:7;large_launcher:7;spacecraft:7;condor:7;small_plane:7;jet_plane:7;large_tower:7;tank:7;helicopter:7;small_tower:7;jammer:8;large_launcher:8;spacecraft:8;condor:8;small_plane:8;jet_plane:8;large_tower:8;tank:8;helicopter:8;small_tower:8;jammer:9;large_launcher:9;spacecraft:9;condor:9;jet_plane:9;large_tower:9;tank:9;helicopter:9;small_tower:9;jammer:10;large_launcher:10;spacecraft:10;condor:10;jet_plane:10;large_tower:10;tank:10;helicopter:10;small_tower:10;jammer:11;large_launcher:11;spacecraft:11;jet_plane:11;large_tower:11;tank:11;helicopter:11;small_tower:11;large_launcher:12;spacecraft:12;jet_plane:12;large_tower:12;tank:12;helicopter:12;small_tower:12;large_launcher:13;spacecraft:13;jet_plane:13;large_tower:13;tank:13;helicopter:13;small_tower:13;large_launcher:14;spacecraft:14;jet_plane:14;large_tower:14;tank:14;helicopter:14;small_tower:14;large_launcher:15;spacecraft:15;jet_plane:15;large_tower:15;medium_launcher:15;tank:15;helicopter:15;small_tower:15;large_launcher:16;spacecraft:16;jet_plane:16;large_tower:16;medium_launcher:16;tank:16;helicopter:16;small_tower:16;large_launcher:17;spacecraft:17;jet_plane:17;large_tower:17;medium_launcher:17;tank:17;helicopter:17;small_tower:17;large_launcher:18;spacecraft:18;jet_plane:18;large_tower:18;medium_launcher:18;tank:18;helicopter:18;small_tower:18;large_launcher:19;spacecraft:19;jet_plane:19;large_tower:19;medium_launcher:19;tank:19;large_launcher:20;spacecraft:20;jet_plane:20;large_tower:20;medium_launcher:20;tank:20;hangar:20;large_launcher:21;spacecraft:21;jet_plane:21;large_tower:21;medium_launcher:21;tank:21;hangar:21;medium_plane:21;large_launcher:22;jet_plane:22;large_tower:22;tank:22;hangar:22;medium_plane:22;large_launcher:23;jet_plane:23;large_tower:23;tank:23;hangar:23;medium_plane:23;large_launcher:24;jet_plane:24;large_tower:24;tank:24;hangar:24;medium_plane:24
condor,0,<4,0,0,
condor,0,4-<8,0,0,
condor,0,8-<16,1,1,condor:10
condor,0,16-32,1,1,condor:9
condor,0,>32,9,0,condor:0;condor:1;condor:2;condor:3;condor:4;condor:5;condor:6;condor:7;condor:8
condor,1,<4,0,0,
condor,1,4-<8,0,0,
condor,1,8-<16,0,0,
condor,1,16-32,1,1,condor:10
condor,1,>32,10,1,condor:0;condor:1;condor:2;condor:3;condor:4;condor:5;condor:6;condor:7;condor:8;condor:9
condor,2,<4,0,0,
condor,2,4-<8,0,0,
condor,2,8-<16,0,0,
condor,2,16-32,0,0,
condor,2,>32,11,2,condor:0;condor:1;condor:2;condor:3;condor:4;condor:5;condor:6;condor:7;condor:8;condor:9;condor:10
hangar,0,<4,1,1,hangar:19
hangar,0,4-<8,0,0,
hangar,0,8-<16,1,1,hangar:20
hangar,0,16-32,2,1,hangar:21;hangar:22
hangar,0,>32,2,0,hangar:23;hangar:24
hangar,1,<4,1,1,hangar:19
hangar,1,4-<8,0,0,
hangar,1,8-<16,0,0,
hangar,1,16-32,1,1,hangar:20
hangar,1,>32,4,1,hangar:21;hangar:22;hangar:23;hangar:24
hangar,2,<4,0,0,
hangar,2,4-<8,1,1,hangar:19
hangar,2,8-<16,0,0,
hangar,2,16-32,0,0,
hangar,2,>32,5,2,hangar:20;hangar:21;hangar:22;hangar:23;hangar:24
helicopter,0,<4,0,0,
helicopter,0,4-<8,0,0,
helicopter,0,8-<16,1,1,helicopter:18
helicopter,0,16-32,18,0,helicopter:0;helicopter:1;helicopter:2;helicopter:3;helicopter:4;helicopter:5;helicopter:6;helicopter:7;helicopter:8;helicopter:9;helicopter:10;helicopter:11;helicopter:12;helicopter:13;helicopter:14;helicopter:15;helicopter:16;helicopter:17
helicopter,0,>32,0,0,
helicopter,1,<4,0,0,
helicopter,1,4-<8,0,0,
helicopter,1,8-<16,0,0,
helicopter,1,16-32,1,1,helicopter:18
helicopter,1,>32,18,0,helicopter:0;helicopter:1;helicopter:2;helicopter:3;helicopter:4;helicopter:5;helicopter:6;helicopter:7;helicopter:8;helicopter:9;helicopter:10;helicopter:11;helicopter:12;helicopter:13;helicopter:14;helicopter:15;helicopter:16;helicopter:17
helicopter,2,<4,0,0,
helicopter,2,4-<8,0,0,
helicopter,2,8-<16,0,0,
helicopter,2,16-32,0,0,
helicopter,2,>32,19,1,helicopter:0;helicopter:1;helicopter:2;helicopter:3;helicopter:4;helicopter:5;helicopter:6;helicopter:7;helicopter:8;helicopter:9;helicopter:10;helicopter:11;helicopter:12;helicopter:13;helicopter:14;helicopter:15;helicopter:16;helicopter:17;helicopter:18
jammer,0,<4,0,0,
jammer,0,4-<8,1,1,jammer:12
jammer,0,8-<16,12,0,jammer:0;jammer:1;jammer:2;jammer:3;jammer:4;jammer:5;jammer:6;jammer:7;jammer:8;jammer:9;jammer:10;jammer:11
jammer,0,16-32,0,0,
jammer,0,>32,0,0,
jammer,1,<4,0,0,
jammer,1,4-<8,0,0,
jammer,1,8-<16,1,1,jammer:12
jammer,1,16-32,12,0,jammer:0;jammer:1;jammer:2;jammer:3;jammer:4;jammer:5;jammer:6;jammer:7;jammer:8;jammer:9;jammer:10;jammer:11
jammer,1,>32,0,0,
jammer,2,<4,0,0,
jammer,2,4-<8,0,0,
jammer,2,8-<16,0,0,
jammer,2,16-32,7,1,jammer:0;jammer:1;jammer:2;jammer:3;jammer:4;jammer:5;jammer:12
jammer,2,>32,6,0,jammer:6;jammer:7;jammer:8;jammer:9;jammer:10;jammer:11
jet_plane,0,<4,0,0,
jet_plane,0,4-<8,1,1,jet_plane:3
jet_plane,0,8-<16,0,0,
jet_plane,0,16-32,21,0,jet_plane:4;jet_plane:5;jet_plane:6;jet_plane:7;jet_plane:8;jet_plane:9;jet_plane:10;jet_plane:11;jet_plane:12;jet_plane:13;jet_plane:14;jet_plane:15;jet_plane:16;jet_plane:17;jet_plane:18;jet_plane:19;jet_plane:20;jet_plane:21;jet_plane:22;jet_plane:23;jet_plane:24
jet_plane,0,>32,0,0,
jet_plane,1,<4,0,0,
jet_plane,1,4-<8,0,0,
jet_plane,1,8-<16,1,1,jet_plane:3
jet_plane,1,16-32,0,0,
jet_plane,1,>32,21,0,jet_plane:4;jet_plane:5;jet_plane:6;jet_plane:7;jet_plane:8;jet_plane:9;jet_plane:10;jet_plane:11;jet_plane:12;jet_plane:13;jet_plane:14;jet_plane:15;jet_plane:16;jet_plane:17;jet_plane:18;jet_plane:19;jet_plane:20;jet_plane:21;jet_plane:22;jet_plane:23;jet_plane:24
jet_plane,2,<4,0,0,
jet_plane,2,4-<8,0,0,
jet_plane,2,8-<16,0,0,
jet_plane,2,16-32,1,1,jet_plane:3
jet_plane,2,>32,21,0,jet_plane:4;jet_plane:5;jet_plane:6;jet_plane:7;jet_plane:8;jet_plane:9;jet_plane:10;jet_plane:11;jet_plane:12;jet_plane:13;jet_plane:14;jet_plane:15;jet_plane:16;jet_plane:17;jet_plane:18;jet_plane:19;jet_plane:20;jet_plane:21;jet_plane:22;jet_plane:23;jet_plane:24
large_launcher,0,<4,0,0,
large_launcher,0,4-<8,0,0,
large_launcher,0,8-<16,0,0,
large_launcher,0,16-32,25,5,large_launcher:0;large_launcher:1;large_launcher:2;large_launcher:3;large_launcher:4;large_launcher:5;large_launcher:6;large_launcher:7;large_launcher:8;large_launcher:9;large_launcher:10;large_launcher:11;large_launcher:12;large_launcher:13;large_launcher:14;large_launcher:15;large_launcher:16;large_launcher:17;large_launcher:18;large_launcher:19;large_launcher:20;large_launcher:21;large_launcher:22;large_launcher:23;large_launcher:24
large_launcher,0,>32,0,0,
large_launcher,1,<4,0,0,
large_launcher,1,4-<8,0,0,
large_launcher,1,8-<16,0,0,
large_launcher,1,16-32,0,0,
large_launcher,1,>32,25,5,large_launcher:0;large_launcher:1;large_launcher:2;large_launcher:3;large_launcher:4;large_launcher:5;large_launcher:6;large_launcher:7;large_launcher:8;large_launcher:9;large_launcher:10;large_launcher:11;large_launcher:12;large_launcher:13;large_launcher:14;large_launcher:15;large_launcher:16;large_launcher:17;large_launcher:18;large_launcher:19;large_launcher:20;large_launcher:21;large_launcher:22;large_launcher:23;large_launcher:24
large_launcher,2,<4,0,0,
large_launcher,2,4-<8,0,0,
large_launcher,2,8-<16,0,0,
large_launcher,2,16-32,0,0,
large_launcher,2,>32,25,5,large_launcher:0;large_launcher:1;large_launcher:2;large_launcher:3;large_launcher:4;large_launcher:5;large_launcher:6;large_launcher:7;large_launcher:8;large_launcher:9;large_launcher:10;large_launcher:11;large_launcher:12;large_launcher:13;large_launcher:14;large_launcher:15;large_launcher:16;large_launcher:17;large_launcher:18;large_launcher:19;large_launcher:20;large_launcher:21;large_launcher:22;large_launcher:23;large_launcher:24
large_tower,0,<4,0,0,
large_tower,0,4-<8,1,1,large_tower:6
large_tower,0,8-<16,18,0,large_tower:7;large_tower:8;large_tower:9;large_tower:10;large_tower:11;large_tower:12;large_tower:13;large_tower:14;large_tower:15;large_tower:16;large_tower:17;large_tower:18;large_tower:19;large_tower:20;large_tower:21;large_tower:22;large_tower:23;large_tower:24
large_tower,0,16-32,0,0,
large_tower,0,>32,0,0,
large_tower,1,<4,0,0,
large_tower,1,4-<8,0,0,
large_tower,1,8-<16,1,1,large_tower:6
large_tower,1,16-32,18,0,large_tower:7;large_tower:8;large_tower:9;large_tower:10;large_tower:11;large_tower:12;large_tower:13;large_tower:14;large_tower:15;large_tower:16;large_tower:17;large_tower:18;large_tower:19;large_tower:20;large_tower:21;large_tower:22;large_tower:23;large_tower:24
large_tower,1,>32,0,0,
large_tower,2,<4,0,0,
large_tower,2,4-<8,0,0,
large_tower,2,8-<16,0,0,
large_tower,2,16-32,1,1,large_tower:6
large_tower,2,>32,18,0,large_tower:7;large_tower:8;large_tower:9;large_tower:10;large_tower:11;large_tower:12;large_tower:13;large_tower:14;large_tower:15;large_tower:16;large_tower:17;large_tower:18;large_tower:19;large_tower:20;large_tower:21;large_tower:22;large_tower:23;large_tower:24
medium_launcher,0,<4,1,1,medium_launcher:23
medium_launcher,0,4-<8,2,2,medium_launcher:14;medium_launcher:22
medium_launcher,0,8-<16,7,2,medium_launcher:15;medium_launcher:16;medium_launcher:17;medium_launcher:18;medium_launcher:19;medium_launcher:20;medium_launcher:21
medium_launcher,0,16-32,0,0,
medium_launcher,0,>32,0,0,
medium_launcher,1,<4,0,0,
medium_launcher,1,4-<8,1,1,medium_launcher:23
medium_launcher,1,8-<16,2,2,medium_launcher:14;medium_launcher:22
medium_launcher,1,16-32,7,2,medium_launcher:15;medium_launcher:16;medium_launcher:17;medium_launcher:18;medium_launcher:19;medium_launcher:20;medium_launcher:21
medium_launcher,1,>32,0,0,
medium_launcher,2,<4,0,0,
medium_launcher,2,4-<8,0,0,
medium_launcher,2,8-<16,1,1,medium_launcher:23
medium_launcher,2,16-32,2,2,medium_launcher:14;medium_launcher:22
medium_launcher,2,>32,7,2,medium_launcher:15;medium_launcher:16;medium_launcher:17;medium_launcher:18;medium_launcher:19;medium_launcher:20;medium_launcher:21
medium_plane,0,<4,0,0,
medium_plane,0,4-<8,0,0,
medium_plane,0,8-<16,5,1,medium_plane:20;medium_plane:21;medium_plane:22;medium_plane:23;medium_plane:24
medium_plane,0,16-32,0,0,
medium_plane,0,>32,0,0,
medium_plane,1,<4,0,0,
medium_plane,1,4-<8,0,0,
medium_plane,1,8-<16,0,0,
medium_plane,1,16-32,5,1,medium_plane:20;medium_plane:21;medium_plane:22;medium_plane:23;medium_plane:24
medium_plane,1,>32,0,0,
medium_plane,2,<4,0,0,
medium_plane,2,4-<8,0,0,
medium_plane,2,8-<16,0,0,
medium_plane,2,16-32,1,1,medium_plane:20
medium_plane,2,>32,4,0,medium_plane:21;medium_plane:22;medium_plane:23;medium_plane:24
mine_roller,0,<4,0,0,
mine_roller,0,4-<8,0,0,
mine_roller,0,8-<16,2,0,mine_roller:0;mine_roller:1
mine_roller,0,16-32,0,0,
mine_roller,0,>32,0,0,
mine_roller,1,<4,0,0,
mine_roller,1,4-<8,0,0,
mine_roller,1,8-<16,0,0,
mine_roller,1,16-32,2,0,mine_roller:0;mine_roller:1
mine_roller,1,>32,0,0,
mine_roller,2,<4,0,0,
mine_roller,2,4-<8,0,0,
mine_roller,2,8-<16,0,0,
mine_roller,2,16-32,0,0,
mine_roller,2,>32,2,0,mine_roller:0;mine_roller:1
small_launcher,0,<4,0,0,
small_launcher,0,4-<8,25,0,small_launcher:0;small_launcher:1;small_launcher:2;small_launcher:3;small_launcher:4;small_launcher:5;small_launcher:6;small_launcher:7;small_launcher:8;small_launcher:9;small_launcher:10;small_launcher:11;small_launcher:12;small_launcher:13;small_launcher:14;small_launcher:15;small_launcher:16;small_launcher:17;small_launcher:18;small_launcher:19;small_launcher:20;small_launcher:21;small_launcher:22;small_launcher:23;small_launcher:24
small_launcher,0,8-<16,0,0,
small_launcher,0,16-32,0,0,
small_launcher,0,>32,0,0,
small_launcher,1,<4,0,0,
small_launcher,1,4-<8,0,0,
small_launcher,1,8-<16,25,0,small_launcher:0;small_launcher:1;small_launcher:2;small_launcher:3;small_launcher:4;small_launcher:5;small_launcher:6;small_launcher:7;small_launcher:8;small_launcher:9;small_launcher:10;small_launcher:11;small_launcher:12;small_launcher:13;small_launcher:14;small_launcher:15;small_launcher:16;small_launcher:17;small_launcher:18;small_launcher:19;small_launcher:20;small_launcher:21;small_launcher:22;small_launcher:23;small_launcher:24
small_launcher,1,16-32,0,0,
small_launcher,1,>32,0,0,
small_launcher,2,<4,0,0,
small_launcher,2,4-<8,0,0,
small_launcher,2,8-<16,0,0,
small_launcher,2,16-32,25,0,small_launcher:0;small_launcher:1;small_launcher:2;small_launcher:3;small_launcher:4;small_launcher:5;small_launcher:6;small_launcher:7;small_launcher:8;small_launcher:9;small_launcher:10;small_launcher:11;small_launcher:12;small_launcher:13;small_launcher:14;small_launcher:15;small_launcher:16;small_launcher:17;small_launcher:18;small_launcher:19;small_launcher:20;small_launcher:21;small_launcher:22;small_launcher:23;small_launcher:24
small_launcher,2,>32,0,0,
small_plane,0,<4,0,0,
small_plane,0,4-<8,0,0,
small_plane,0,8-<16,9,0,small_plane:0;small_plane:1;small_plane:2;small_plane:3;small_plane:4;small_plane:5;small_plane:6;small_plane:7;small_plane:8
small_plane,0,16-32,0,0,
small_plane,0,>32,0,0,
small_plane,1,<4,0,0,
small_plane,1,4-<8,0,0,
small_plane,1,8-<16,0,0,
small_plane,1,16-32,9,0,small_plane:0;small_plane:1;small_plane:2;small_plane:3;small_plane:4;small_plane:5;small_plane:6;small_plane:7;small_plane:8
small_plane,1,>32,0,0,
small_plane,2,<4,0,0,
small_plane,2,4-<8,0,0,
small_plane,2,8-<16,0,0,
small_plane,2,16-32,0,0,
small_plane,2,>32,9,0,small_plane:0;small_plane:1;small_plane:2;small_plane:3;small_plane:4;small_plane:5;small_plane:6;small_plane:7;small_plane:8
small_tower,0,<4,0,0,
small_tower,0,4-<8,1,1,small_tower:19
small_tower,0,8-<16,19,0,small_tower:0;small_tower:1;small_tower:2;small_tower:3;small_tower:4;small_tower:5;small_tower:6;small_tower:7;small_tower:8;small_tower:9;small_tower:10;small_tower:11;small_tower:12;small_tower:13;small_tower:14;small_tower:15;small_tower:16;small_tower:17;small_tower:18
small_tower,0,16-32,0,0,
small_tower,0,>32,0,0,
small_tower,1,<4,0,0,
small_tower,1,4-<8,0,0,
small_tower,1,8-<16,1,1,small_tower:19
small_tower,1,16-32,19,0,small_tower:0;small_tower:1;small_tower:2;small_tower:3;small_tower:4;small_tower:5;small_tower:6;small_tower:7;small_tower:8;small_tower:9;small_tower:10;small_tower:11;small_tower:12;small_tower:13;small_tower:14;small_tower:15;small_tower:16;small_tower:17;small_tower:18
small_tower,1,>32,0,0,
small_tower,2,<4,0,0,
small_tower,2,4-<8,0,0,
small_tower,2,8-<16,0,0,
small_tower,2,16-32,1,1,small_tower:19
small_tower,2,>32,19,0,small_tower:0;small_tower:1;small_tower:2;small_tower:3;small_tower:4;small_tower:5;small_tower:6;small_tower:7;small_tower:8;small_tower:9;small_tower:10;small_tower:11;small_tower:12;small_tower:13;small_tower:14;small_tower:15;small_tower:16;small_tower:17;small_tower:18
spacecraft,0,<4,1,1,spacecraft:22
spacecraft,0,4-<8,0,0,
spacecraft,0,8-<16,22,0,spacecraft:0;spacecraft:1;spacecraft:2;spacecraft:3;spacecraft:4;spacecraft:5;spacecraft:6;spacecraft:7;spacecraft:8;spacecraft:9;spacecraft:10;spacecraft:11;spacecraft:12;spacecraft:13;spacecraft:14;spacecraft:15;spacecraft:16;spacecraft:17;spacecraft:18;spacecraft:19;spacecraft:20;spacecraft:21
spacecraft,0,16-32,0,0,
spacecraft,0,>32,0,0,
spacecraft,1,<4,0,0,
spacecraft,1,4-<8,1,1,spacecraft:22
spacecraft,1,8-<16,0,0,
spacecraft,1,16-32,22,0,spacecraft:0;spacecraft:1;spacecraft:2;spacecraft:3;spacecraft:4;spacecraft:5;spacecraft:6;spacecraft:7;spacecraft:8;spacecraft:9;spacecraft:10;spacecraft:11;spacecraft:12;spacecraft:13;spacecraft:14;spacecraft:15;spacecraft:16;spacecraft:17;spacecraft:18;spacecraft:19;spacecraft:20;spacecraft:21
spacecraft,1,>32,0,0,
spacecraft,2,<4,0,0,
spacecraft,2,4-<8,0,0,
spacecraft,2,8-<16,1,1,spacecraft:22
spacecraft,2,16-32,0,0,
spacecraft,2,>32,22,0,spacecraft:0;spacecraft:1;spacecraft:2;spacecraft:3;spacecraft:4;spacecraft:5;spacecraft:6;spacecraft:7;spacecraft:8;spacecraft:9;spacecraft:10;spacecraft:11;spacecraft:12;spacecraft:13;spacecraft:14;spacecraft:15;spacecraft:16;spacecraft:17;spacecraft:18;spacecraft:19;spacecraft:20;spacecraft:21
ta-ta,0,<4,6,0,ta-ta:19;ta-ta:20;ta-ta:21;ta-ta:22;ta-ta:23;ta-ta:24
