frame_index,hosted_proposal_ordinal,source,proposal_x1,proposal_y1,proposal_x2,proposal_y2,replay_crop_created,hosted_rejected_as_background,replay_rejected_as_background,background_rejection_agrees,hosted_observation_ordinal,hosted_top_index,hosted_top_class,replay_top_index,replay_top_class,top_class_agrees,hosted_top_posterior,replay_top_posterior,top_posterior_abs_error,top_posterior_equal_at_telemetry_precision,hosted_quality,replay_quality,quality_abs_error,quality_equal_at_telemetry_precision,hosted_objectness,replay_objectness,hosted_margin,replay_margin,observable_values_equal_at_telemetry_precision,recorded_crop_bounds_xyxy,full_precision_replay_crop_bounds_xyxy,recorded_vs_full_precision_crop_bounds_equal,full_precision_sensitivity_observable_values_equal
65,0,yolo,453.8,320.9,474.0,339.0,True,False,False,True,0,14,jammer,14,jammer,True,0.1918,0.19179902970790863,9.70292091367897e-07,True,0.3954,0.39541340084323795,1.340084323797619e-05,True,NOT OBSERVABLE,0.987715963269383,NOT OBSERVABLE,0.015952348709106445,True,"[451, 317, 477, 343]","[451, 317, 477, 343]",True,True
65,1,yolo,229.4,379.8,248.2,397.0,True,False,False,True,1,11,ta-ta,11,ta-ta,True,0.2306,0.23059025406837463,9.745931625365634e-06,True,0.4407,0.4407369622299473,3.6962229947312686e-05,True,NOT OBSERVABLE,0.9930901689382245,NOT OBSERVABLE,0.03075498342514038,True,"[227, 376, 251, 401]","[227, 376, 251, 401]",True,True
70,0,yolo,296.7,268.7,311.7,286.7,True,False,False,True,0,15,spacecraft,15,spacecraft,True,0.1661,0.1660652458667755,3.475413322448495e-05,True,0.3719,0.37192695652457447,2.695652457446185e-05,True,NOT OBSERVABLE,0.9108398944499233,NOT OBSERVABLE,0.013093709945678711,True,"[292, 266, 316, 289]","[292, 266, 316, 289]",True,True
75,0,yolo,213.3,341.0,229.9,357.3,True,False,False,True,0,14,jammer,14,jammer,True,0.2095,0.20947213470935822,2.7865290641776452e-05,True,0.3572,0.3571949410602665,5.058939733515455e-06,True,NOT OBSERVABLE,0.9368716542895013,NOT OBSERVABLE,0.00627899169921875,True,"[211, 338, 232, 360]","[211, 338, 232, 360]",True,True
80,0,yolo,280.8,450.5,298.5,471.8,True,False,False,True,0,15,spacecraft,15,spacecraft,True,0.2288,0.2997380495071411,0.07093804950714111,False,0.4818,0.525532999281141,0.04373299928114094,False,NOT OBSERVABLE,0.9044153014387052,NOT OBSERVABLE,0.0673033595085144,False,"[276, 447, 303, 475]","[276, 447, 304, 475]",False,True
95,0,yolo,705.9,101.3,716.6,114.3,True,False,False,True,0,3,large_launcher,3,large_launcher,True,0.2078,0.20783644914627075,3.6449146270739474e-05,True,0.366,0.3660246831883089,2.4683188308893822e-05,True,NOT OBSERVABLE,0.8416172670803358,NOT OBSERVABLE,0.015834510326385498,True,"[703, 99, 720, 116]","[703, 99, 720, 116]",True,True
100,0,yolo,711.4,177.1,722.2,188.6,True,True,True,True,,,NOT OBSERVABLE,10,small_tower,,,0.15053032338619232,,,,0.2193007493534514,,,NOT OBSERVABLE,0.16892183118407786,NOT OBSERVABLE,0.008406281471252441,True,"[709, 175, 724, 191]","[709, 175, 724, 190]",False,True
100,1,yolo,453.7,123.1,476.1,141.5,True,False,False,True,0,11,ta-ta,11,ta-ta,True,0.2081,0.20813804864883423,3.804864883422132e-05,True,0.3486,0.34864160237410363,4.1602374103610895e-05,True,NOT OBSERVABLE,0.979270059974798,NOT OBSERVABLE,0.0007643699645996094,True,"[450, 118, 479, 147]","[450, 118, 479, 147]",True,True
105,0,yolo,457.4,200.5,469.9,219.3,True,False,False,True,0,11,ta-ta,11,ta-ta,True,0.3221,0.3221322298049927,3.222980499267836e-05,True,0.5218,0.521836819818286,3.681981828596026e-05,True,NOT OBSERVABLE,0.9928708107412874,NOT OBSERVABLE,0.057901203632354736,True,"[451, 198, 476, 222]","[451, 198, 476, 222]",True,True
110,0,yolo,456.3,286.3,469.7,303.1,True,False,False,True,0,11,ta-ta,11,ta-ta,True,0.3744,0.3743909001350403,9.099864959727366e-06,True,0.4725,0.4724999031787827,9.682121726584114e-08,True,NOT OBSERVABLE,0.9959649647084444,NOT OBSERVABLE,0.04115170240402222,True,"[452, 284, 474, 306]","[452, 284, 474, 306]",True,True
115,0,yolo,349.3,33.8,362.5,45.4,True,False,False,True,0,15,spacecraft,15,spacecraft,True,0.3383,0.33826184272766113,3.8157272338856796e-05,True,0.4343,0.43427257741473196,2.742258526805541e-05,True,NOT OBSERVABLE,0.8748668058395176,NOT OBSERVABLE,0.03775233030319214,True,"[347, 31, 365, 48]","[347, 31, 365, 48]",True,True
145,0,yolo,705.9,463.4,722.2,480.2,True,False,False,True,0,14,jammer,14,jammer,True,0.1974,0.1974499523639679,4.995236396790337e-05,True,0.3622,0.36221980154971345,1.9801549713427402e-05,True,NOT OBSERVABLE,0.7534954839280159,NOT OBSERVABLE,0.021046757698059082,True,"[703, 461, 725, 483]","[703, 461, 725, 483]",True,True
145,1,yolo,230.9,377.9,247.1,393.1,True,True,True,True,,,NOT OBSERVABLE,3,large_launcher,,,0.14802195131778717,,,,0.21685200132594196,,,NOT OBSERVABLE,0.05980878854860071,NOT OBSERVABLE,0.019742846488952637,True,"[228, 375, 250, 396]","[228, 375, 250, 396]",True,True
160,0,yolo,515.3,245.2,530.0,259.1,True,False,False,True,0,15,spacecraft,15,spacecraft,True,0.1648,0.16482676565647125,2.67656564712504e-05,True,0.3259,0.32585820918073644,4.179081926358741e-05,True,NOT OBSERVABLE,0.6273096277068374,NOT OBSERVABLE,0.01682901382446289,True,"[513, 242, 532, 262]","[513, 242, 532, 262]",True,True
190,0,yolo,372.3,123.1,388.9,136.0,True,False,False,True,0,14,jammer,14,jammer,True,0.5077,0.5076723694801331,2.7630519866983505e-05,True,0.4909,0.49092888530348444,2.8885303484438296e-05,True,NOT OBSERVABLE,0.9983909719492196,NOT OBSERVABLE,0.04710805416107178,True,"[370, 119, 391, 140]","[370, 119, 391, 140]",True,True
195,0,yolo,369.6,199.2,383.8,213.8,True,False,False,True,0,11,ta-ta,11,ta-ta,True,0.3678,0.3677524924278259,4.7507572174088075e-05,True,0.3632,0.3631998564810447,1.4351895533115666e-07,True,NOT OBSERVABLE,0.9995904144972336,NOT OBSERVABLE,0.004424750804901123,True,"[367, 197, 386, 216]","[367, 197, 386, 216]",True,True
200,0,yolo,364.8,282.9,381.4,296.1,True,False,False,True,0,14,jammer,14,jammer,True,0.387,0.38696667551994324,3.3324480056773353e-05,True,0.3999,0.39985786925137445,4.213074862552402e-05,True,NOT OBSERVABLE,0.9995613221876365,NOT OBSERVABLE,0.016648530960083008,True,"[362, 279, 384, 300]","[362, 279, 384, 300]",True,True
205,0,yolo,361.8,372.5,377.0,386.5,True,False,False,True,0,11,ta-ta,11,ta-ta,True,0.4559,0.4559497833251953,4.9783325195285055e-05,True,0.4819,0.48191346587982514,1.3465879825147464e-05,True,NOT OBSERVABLE,0.9998445942157514,NOT OBSERVABLE,0.043983638286590576,True,"[359, 370, 379, 389]","[359, 370, 379, 389]",True,True
210,0,yolo,357.0,468.7,372.9,482.7,True,False,False,True,0,11,ta-ta,14,jammer,False,0.3854,0.386414110660553,0.0010141106605529582,False,0.377,0.36765309238187455,0.009346907618125455,False,NOT OBSERVABLE,0.9998514242909227,NOT OBSERVABLE,0.0058934688568115234,False,"[355, 465, 375, 486]","[354, 465, 375, 486]",False,True
210,1,yolo,579.9,133.2,599.9,151.1,True,False,False,True,1,14,jammer,14,jammer,True,0.2323,0.23226645588874817,3.354411125183754e-05,True,0.3518,0.35183740669245206,3.7406692452057744e-05,True,NOT OBSERVABLE,0.9936617224753767,NOT OBSERVABLE,0.0009853243827819824,True,"[577, 129, 603, 155]","[577, 129, 603, 155]",True,True
210,2,yolo,367.5,476.2,376.0,485.1,True,True,True,True,,,NOT OBSERVABLE,10,small_tower,,,0.2885185182094574,,,,0.29965683069571836,,,NOT OBSERVABLE,0.460741906819917,NOT OBSERVABLE,0.020093441009521484,True,"[366, 475, 378, 487]","[366, 475, 378, 487]",True,True
220,0,yolo,454.3,378.4,469.7,394.6,True,False,False,True,0,14,jammer,14,jammer,True,0.3749,0.3749370872974396,3.708729743956418e-05,True,0.4909,0.4909307977080612,3.0797708061192086e-05,True,NOT OBSERVABLE,0.7933469292024679,NOT OBSERVABLE,0.06583410501480103,True,"[451, 376, 473, 397]","[451, 376, 473, 397]",True,True
225,0,yolo,453.5,474.9,469.5,491.6,True,False,False,True,0,14,jammer,14,jammer,True,0.3763,0.36541232466697693,0.010887675333023095,False,0.4845,0.44976717985056724,0.03473282014943274,False,NOT OBSERVABLE,0.6716836974185735,NOT OBSERVABLE,0.06270027160644531,False,"[451, 472, 472, 494]","[451, 472, 473, 494]",False,True
245,0,yolo,533.3,102.0,546.8,116.1,True,False,False,True,0,8,small_launcher,8,small_launcher,True,0.2821,0.28211262822151184,1.2628221511823412e-05,True,0.4,0.39996649545539403,3.350454460598895e-05,True,NOT OBSERVABLE,0.7226745324526992,NOT OBSERVABLE,0.03811842203140259,True,"[531, 100, 549, 118]","[531, 100, 549, 118]",True,True
