dataset,frame_index,track_id,object_id,identity_confidence,runner_up,runner_up_confidence,posterior_gap,hits,age,confirmed,last_observed_frame,last_observed_level,geometry_confidence,propagation_model,short_side_px_source,width_px_source,height_px_source
hosted,13,5,small_tower,0.0823,tank,0.0781,0.004199999999999995,1,1,False,13,0,0.994,gmc,66.6,66.60000000000014,71.0
hosted,13,4,jammer,0.0883,tank,0.0775,0.010800000000000004,1,2,False,12,0,0.9924,gmc,62.7,62.600000000000364,74.5
hosted,14,7,small_launcher,0.0881,jammer,0.0783,0.009800000000000003,1,0,False,15,0,1.0,observed,62.6,64.39999999999986,62.60000000000002
hosted,14,6,large_launcher,0.0838,large_tower,0.0775,0.0063,1,1,False,14,0,0.9955,gmc,94.0,124.20000000000005,94.0
hosted,14,5,small_tower,0.0823,tank,0.0781,0.004199999999999995,1,2,False,13,0,0.9894,gmc,67.1,67.0,72.09999999999991
hosted,15,7,small_launcher,0.0881,jammer,0.0783,0.009800000000000003,1,1,False,15,0,0.9985,gmc,63.5,64.79999999999995,63.5
hosted,15,6,large_launcher,0.0838,large_tower,0.0775,0.0063,1,2,False,14,0,0.9939,gmc,95.3,125.19999999999982,95.39999999999998
hosted,16,8,jammer,0.0917,ta-ta,0.0837,0.008000000000000007,1,0,False,17,0,1.0,observed,66.1,76.89999999999998,66.1
hosted,16,7,small_launcher,0.0881,jammer,0.0783,0.009800000000000003,1,2,False,15,0,0.997,gmc,64.4,65.30000000000018,64.40000000000003
hosted,17,7,small_launcher,0.1002,jammer,0.0903,0.009899999999999992,2,0,True,18,0,0.8394,observed,61.1,61.09999999999991,63.5
hosted,17,8,jammer,0.0917,ta-ta,0.0837,0.008000000000000007,1,1,False,17,0,0.9955,gmc,67.1,77.39999999999998,67.1
hosted,18,7,small_launcher,0.1242,jammer,0.1001,0.02410000000000001,3,0,True,19,0,0.8705,observed,62.5,62.399999999999864,63.69999999999999
hosted,18,9,jammer,0.085,ta-ta,0.0804,0.004600000000000007,1,0,False,19,0,1.0,observed,75.7,85.20000000000005,75.69999999999993
hosted,18,8,jammer,0.0917,ta-ta,0.0837,0.008000000000000007,1,2,False,17,0,0.9955,gmc,68.1,78.0,68.0
hosted,19,7,small_launcher,0.1407,jammer,0.1049,0.0358,4,0,True,20,0,0.8645,observed,67.0,67.0,68.60000000000002
hosted,19,9,jammer,0.085,ta-ta,0.0804,0.004600000000000007,1,1,False,19,0,0.9954,gmc,76.8,85.89999999999986,76.80000000000007
hosted,20,7,small_launcher,0.1581,jammer,0.1123,0.045799999999999993,5,0,True,21,0,0.8687,observed,65.4,65.40000000000009,67.10000000000002
hosted,20,9,jammer,0.085,ta-ta,0.0804,0.004600000000000007,1,2,False,19,0,0.9924,gmc,78.0,86.5,78.0
hosted,21,7,small_launcher,0.1632,jammer,0.1098,0.05340000000000002,6,0,True,22,0,0.8573,observed,69.1,69.60000000000014,69.10000000000002
hosted,22,7,small_launcher,0.1706,jammer,0.1142,0.056400000000000006,7,0,True,23,0,0.8624,observed,69.1,70.0,69.10000000000002
hosted,23,7,small_launcher,0.165,jammer,0.1219,0.04310000000000001,8,0,True,24,0,0.8465,observed,64.1,64.09999999999991,66.19999999999993
hosted,24,7,small_launcher,0.1615,jammer,0.1246,0.0369,9,0,True,25,0,0.8405,observed,66.7,66.79999999999995,67.70000000000005
hosted,25,7,small_launcher,0.1614,jammer,0.1268,0.03459999999999999,10,0,True,26,0,0.8463,observed,71.4,71.39999999999986,71.30000000000007
hosted,25,10,jet_plane,0.0714,large_tower,0.0711,0.0003000000000000086,1,0,False,26,0,1.0,observed,66.2,66.20000000000005,68.70000000000005
hosted,26,7,small_launcher,0.1549,jammer,0.1221,0.03280000000000001,11,0,True,27,0,0.838,observed,69.0,69.0,70.39999999999998
hosted,26,10,large_tower,0.0851,jet_plane,0.0831,0.0020000000000000018,2,0,True,27,0,0.8441,observed,70.8,70.80000000000007,75.89999999999998
hosted,27,7,small_launcher,0.1541,jammer,0.1224,0.03169999999999999,12,0,True,28,0,0.8449,observed,70.9,70.89999999999986,71.30000000000018
hosted,27,10,large_tower,0.0851,jet_plane,0.0831,0.0020000000000000018,2,1,True,27,0,0.8416,gmc,71.4,71.39999999999998,77.10000000000002
hosted,27,11,small_tower,0.0699,condor,0.0696,0.0003000000000000086,1,0,False,28,0,1.0,observed,73.0,73.0,79.60000000000014
hosted,28,7,small_launcher,0.1481,jammer,0.1183,0.029800000000000007,13,0,True,29,0,0.833,observed,70.7,70.59999999999991,72.0
hosted,28,10,large_tower,0.0851,jet_plane,0.0831,0.0020000000000000018,2,2,True,27,0,0.839,gmc,71.9,71.89999999999998,78.30000000000007
hosted,28,11,small_tower,0.0699,condor,0.0696,0.0003000000000000086,1,1,False,28,0,0.9969,gmc,73.6,73.5,80.70000000000005
hosted,29,7,small_launcher,0.1448,jammer,0.1204,0.02440000000000002,14,0,True,30,0,0.8356,observed,66.4,66.40000000000009,71.0
hosted,29,11,small_tower,0.0699,condor,0.0696,0.0003000000000000086,1,2,False,28,0,0.9938,gmc,74.2,74.10000000000014,81.89999999999986
hosted,30,7,small_launcher,0.1448,jammer,0.1204,0.02440000000000002,14,1,True,30,0,0.8317,gmc,66.9,66.90000000000009,72.09999999999991
hosted,31,7,small_launcher,0.1448,jammer,0.1204,0.02440000000000002,14,2,True,30,0,0.8317,gmc,67.4,67.40000000000009,73.10000000000014
hosted,32,7,small_launcher,0.1493,jammer,0.1243,0.024999999999999994,15,0,True,33,0,0.8477,observed,69.5,69.5,71.90000000000009
hosted,33,7,small_launcher,0.1432,jammer,0.1257,0.017499999999999988,16,0,True,34,0,0.8399,observed,68.0,68.0,69.90000000000009
hosted,34,7,small_launcher,0.1432,jammer,0.1257,0.017499999999999988,16,1,True,34,0,0.8374,gmc,68.6,68.60000000000014,70.90000000000009
hosted,35,7,small_launcher,0.1432,jammer,0.1257,0.017499999999999988,16,2,True,34,0,0.8374,gmc,69.1,69.10000000000014,71.90000000000009
hosted,35,12,tank,0.0779,jammer,0.0748,0.0030999999999999917,1,0,False,36,0,1.0,observed,51.6,51.59999999999991,53.69999999999999
hosted,35,13,tank,0.0706,large_launcher,0.0706,0.0,1,0,False,36,0,1.0,observed,40.3,48.80000000000018,40.30000000000001
hosted,35,14,jet_plane,0.0892,large_tower,0.0853,0.0039000000000000007,1,0,False,36,0,1.0,observed,87.7,104.90000000000009,87.69999999999999
hosted,36,15,large_launcher,0.0737,small_tower,0.0718,0.001899999999999999,1,0,False,37,0,1.0,observed,63.3,65.20000000000005,63.299999999999955
hosted,36,12,tank,0.0779,jammer,0.0748,0.0030999999999999917,1,1,False,36,0,0.9954,gmc,52.0,52.0,54.5
hosted,36,13,tank,0.0706,large_launcher,0.0706,0.0,1,1,False,36,0,0.9954,gmc,40.9,49.19999999999982,41.0
hosted,36,14,jet_plane,0.0892,large_tower,0.0853,0.0039000000000000007,1,1,False,36,0,0.9954,gmc,89.0,105.70000000000005,89.09999999999997
hosted,37,12,tank,0.0953,jammer,0.0857,0.009599999999999997,2,0,True,38,0,0.8479,observed,64.2,81.5,64.09999999999997
hosted,37,15,large_launcher,0.0796,small_launcher,0.077,0.002600000000000005,2,0,True,38,0,0.8374,observed,56.3,56.299999999999955,61.5
hosted,37,16,small_launcher,0.0754,jammer,0.0731,0.0022999999999999965,1,0,False,38,0,1.0,observed,72.3,72.29999999999995,76.29999999999995
hosted,37,13,tank,0.0706,large_launcher,0.0706,0.0,1,2,False,36,0,0.9924,gmc,41.5,49.59999999999991,41.60000000000002
hosted,37,14,jet_plane,0.0892,large_tower,0.0853,0.0039000000000000007,1,2,False,36,0,0.9924,gmc,90.4,106.40000000000009,90.40000000000003
hosted,38,12,tank,0.0953,jammer,0.0857,0.009599999999999997,2,1,True,38,0,0.8479,gmc,65.1,82.10000000000036,65.10000000000002
hosted,38,15,large_launcher,0.0796,small_launcher,0.077,0.002600000000000005,2,1,True,38,0,0.8374,gmc,56.8,56.799999999999955,62.30000000000001
hosted,38,16,small_launcher,0.0754,jammer,0.0731,0.0022999999999999965,1,1,False,38,0,1.0,gmc,72.8,72.80000000000018,77.5
hosted,39,12,tank,0.0953,jammer,0.0857,0.009599999999999997,2,2,True,38,0,0.8479,gmc,66.1,82.70000000000027,66.10000000000002
hosted,39,15,large_launcher,0.0796,small_launcher,0.077,0.002600000000000005,2,2,True,38,0,0.8374,gmc,57.2,57.200000000000045,63.30000000000007
hosted,39,16,small_launcher,0.0754,jammer,0.0731,0.0022999999999999965,1,2,False,38,0,1.0,gmc,73.4,73.40000000000009,78.59999999999991
hosted,41,17,jammer,0.0788,ta-ta,0.0787,9.999999999998899e-05,1,0,False,42,0,1.0,observed,56.8,59.600000000000136,56.89999999999998
hosted,41,18,spacecraft,0.0795,small_tower,0.0754,0.004100000000000006,1,0,False,42,0,1.0,observed,51.9,58.09999999999991,51.9
hosted,41,19,large_tower,0.0738,tank,0.0726,0.0012000000000000066,1,0,False,42,0,1.0,observed,53.3,56.20000000000027,53.299999999999955
hosted,42,17,jammer,0.0978,ta-ta,0.0955,0.0022999999999999965,2,0,True,43,0,0.8461,observed,56.8,56.799999999999955,57.0
hosted,42,19,tank,0.089,large_tower,0.0843,0.004699999999999996,2,0,True,43,0,0.8551,observed,56.3,60.0,56.30000000000007
hosted,42,20,tank,0.0806,small_launcher,0.0746,0.006000000000000005,1,0,False,43,0,1.0,observed,78.9,78.90000000000009,82.69999999999982
hosted,42,18,spacecraft,0.0795,small_tower,0.0754,0.004100000000000006,1,1,False,42,0,1.0,gmc,52.6,58.600000000000136,52.599999999999994
hosted,43,18,spacecraft,0.094,small_tower,0.0819,0.0121,2,0,True,44,0,0.8521,observed,64.4,66.89999999999986,64.4
hosted,43,17,jammer,0.0978,ta-ta,0.0955,0.0022999999999999965,2,1,True,43,0,0.8422,gmc,57.2,57.200000000000045,57.89999999999998
hosted,43,19,tank,0.089,large_tower,0.0843,0.004699999999999996,2,1,True,43,0,0.8512,gmc,57.1,60.40000000000009,57.09999999999991
hosted,43,21,spacecraft,0.0917,large_launcher,0.077,0.014700000000000005,1,0,False,44,0,1.0,observed,47.6,47.600000000000136,58.89999999999998
hosted,43,20,tank,0.0806,small_launcher,0.0746,0.006000000000000005,1,1,False,43,0,0.9954,gmc,61.0,79.5,61.0
hosted,44,18,spacecraft,0.1066,small_tower,0.0935,0.0131,3,0,True,45,0,0.8419,observed,63.1,64.80000000000018,63.099999999999994
hosted,44,19,tank,0.098,large_launcher,0.0882,0.009800000000000003,3,0,True,45,0,0.8363,observed,59.2,65.90000000000009,59.200000000000045
hosted,44,21,spacecraft,0.1201,small_tower,0.0863,0.0338,2,0,True,45,0,0.8821,observed,43.6,43.600000000000136,52.200000000000045
hosted,44,17,jammer,0.0978,ta-ta,0.0955,0.0022999999999999965,2,2,True,43,0,0.8409,gmc,57.6,57.700000000000045,58.799999999999955
hosted,44,22,jet_plane,0.0867,helicopter,0.0825,0.004199999999999995,1,0,False,45,0,1.0,observed,58.3,70.29999999999995,58.30000000000001
hosted,45,18,spacecraft,0.1183,small_tower,0.1053,0.012999999999999998,4,0,True,46,0,0.8381,observed,59.0,60.100000000000136,59.0
hosted,45,19,tank,0.1066,large_launcher,0.097,0.009599999999999997,4,0,True,46,0,0.8464,observed,55.8,67.69999999999982,55.89999999999998
hosted,45,17,jammer,0.1151,ta-ta,0.1048,0.01029999999999999,3,0,True,46,0,0.8621,observed,58.1,64.40000000000009,58.10000000000002
hosted,45,21,spacecraft,0.1201,small_tower,0.0863,0.0338,2,1,True,45,0,0.8808,gmc,43.9,43.90000000000009,53.10000000000002
hosted,45,23,ta-ta,0.0929,jammer,0.0864,0.006499999999999992,1,0,False,46,0,1.0,observed,57.6,73.59999999999991,57.69999999999982
hosted,45,22,jet_plane,0.0867,helicopter,0.0825,0.004199999999999995,1,1,False,45,0,0.9985,gmc,59.2,70.90000000000009,59.20000000000002
hosted,46,18,spacecraft,0.1345,small_tower,0.1131,0.021400000000000002,5,0,True,47,0,0.86,observed,58.2,60.59999999999991,58.19999999999999
hosted,46,17,jammer,0.1104,ta-ta,0.0998,0.010599999999999998,4,0,True,47,0,0.8509,observed,57.4,69.20000000000005,57.39999999999998
hosted,46,21,spacecraft,0.1447,ta-ta,0.0888,0.05589999999999999,3,0,True,47,0,0.8796,observed,46.7,46.799999999999955,60.19999999999999
hosted,46,19,tank,0.1066,large_launcher,0.097,0.009599999999999997,4,1,True,46,0,0.8412,gmc,56.6,68.30000000000018,56.700000000000045
hosted,46,22,jet_plane,0.0867,helicopter,0.0825,0.004199999999999995,1,2,False,45,0,0.9923,gmc,60.1,71.40000000000009,60.099999999999994
hosted,47,18,spacecraft,0.1378,ta-ta,0.1126,0.0252,6,0,True,48,0,0.8583,observed,63.7,68.5,63.80000000000001
hosted,47,17,jammer,0.1275,ta-ta,0.1127,0.014800000000000008,5,0,True,48,0,0.8527,observed,57.0,68.70000000000005,57.0
hosted,47,21,spacecraft,0.1447,ta-ta,0.0888,0.05589999999999999,3,1,True,47,0,0.8796,gmc,47.1,47.100000000000136,61.19999999999999
hosted,47,19,tank,0.1066,large_launcher,0.097,0.009599999999999997,4,2,True,46,0,0.8412,gmc,57.5,68.69999999999982,57.500000000000114
hosted,48,18,spacecraft,0.1382,ta-ta,0.1225,0.015699999999999992,7,0,True,49,0,0.8521,observed,62.5,68.0,62.39999999999998
hosted,48,17,jammer,0.152,ta-ta,0.1391,0.012899999999999995,6,0,True,49,0,0.8426,observed,53.5,60.200000000000045,53.59999999999991
hosted,48,21,spacecraft,0.1652,ta-ta,0.0997,0.06550000000000002,4,0,True,49,0,0.8692,observed,53.3,53.30000000000018,58.89999999999998
hosted,48,24,jet_plane,0.0854,large_tower,0.0821,0.0032999999999999974,1,0,False,49,0,1.0,observed,66.3,80.0,66.40000000000003
hosted,48,25,tank,0.0776,jammer,0.0755,0.0021000000000000046,1,0,False,49,0,1.0,observed,47.3,47.29999999999973,55.399999999999864
hosted,49,18,spacecraft,0.1382,ta-ta,0.1209,0.017299999999999996,8,0,True,50,0,0.8445,observed,60.9,67.0,60.89999999999998
hosted,49,17,jammer,0.1633,ta-ta,0.1511,0.012199999999999989,7,0,True,50,0,0.8394,observed,55.4,58.09999999999991,55.30000000000018
hosted,49,21,spacecraft,0.1943,ta-ta,0.1027,0.0916,5,0,True,50,0,0.8928,observed,45.7,45.700000000000045,54.700000000000045
hosted,49,24,jet_plane,0.0964,large_tower,0.0902,0.006199999999999997,2,0,True,50,0,0.8369,observed,65.9,76.80000000000018,65.90000000000003
hosted,49,26,jammer,0.0766,large_launcher,0.0765,0.00010000000000000286,1,0,False,50,0,1.0,observed,63.7,68.40000000000009,63.70000000000002
hosted,49,25,tank,0.0776,jammer,0.0755,0.0021000000000000046,1,1,False,49,0,0.9985,gmc,47.7,47.69999999999982,56.30000000000018
hosted,50,18,spacecraft,0.1347,ta-ta,0.1133,0.02139999999999999,9,0,True,51,0,0.842,observed,75.6,98.29999999999995,75.60000000000002
hosted,50,24,jet_plane,0.1164,large_tower,0.1112,0.00520000000000001,3,0,True,51,0,0.8382,observed,69.9,92.29999999999995,69.89999999999998
hosted,50,17,jammer,0.1633,ta-ta,0.1511,0.012199999999999989,7,1,True,50,0,0.8369,gmc,56.2,58.5,56.19999999999982
hosted,50,21,spacecraft,0.1943,ta-ta,0.1027,0.0916,5,1,True,50,0,0.8901,gmc,46.0,45.999999999999886,55.60000000000002
hosted,50,27,jammer,0.0791,large_tower,0.0757,0.0034000000000000002,1,0,False,51,0,1.0,observed,55.1,55.100000000000364,58.799999999999955
hosted,50,26,jammer,0.0766,large_launcher,0.0765,0.00010000000000000286,1,1,False,50,0,0.997,gmc,64.7,69.0,64.6
hosted,50,25,tank,0.0776,jammer,0.0755,0.0021000000000000046,1,2,False,49,0,0.9954,gmc,48.0,48.0,57.200000000000045
hosted,51,17,jammer,0.1773,ta-ta,0.1554,0.021900000000000003,8,0,True,52,0,0.8605,observed,63.3,65.29999999999995,63.30000000000018
hosted,51,21,spacecraft,0.2009,ta-ta,0.1123,0.0886,6,0,True,52,0,0.8568,observed,47.9,47.899999999999864,56.39999999999998
hosted,51,18,spacecraft,0.1347,ta-ta,0.1133,0.02139999999999999,9,1,True,51,0,0.8354,gmc,76.7,98.89999999999998,76.70000000000005
hosted,51,24,jet_plane,0.1164,large_tower,0.1112,0.00520000000000001,3,1,True,51,0,0.8316,gmc,71.0,93.0,71.0
hosted,51,27,jammer,0.0791,large_tower,0.0757,0.0034000000000000002,1,1,False,51,0,0.9922,gmc,55.5,55.5,59.700000000000045
hosted,51,26,jammer,0.0766,large_launcher,0.0765,0.00010000000000000286,1,2,False,50,0,0.9891,gmc,65.7,69.5,65.70000000000002
hosted,52,18,spacecraft,0.138,ta-ta,0.1205,0.017500000000000016,10,0,True,53,0,0.8386,observed,64.5,71.09999999999991,64.5
hosted,52,21,spacecraft,0.2014,ta-ta,0.1183,0.0831,7,0,True,53,0,0.8547,observed,45.2,45.200000000000045,50.10000000000002
hosted,52,17,jammer,0.1773,ta-ta,0.1554,0.021900000000000003,8,1,True,52,0,0.8526,gmc,64.3,65.79999999999995,64.20000000000005
hosted,52,24,jet_plane,0.1164,large_tower,0.1112,0.00520000000000001,3,2,True,51,0,0.824,gmc,72.1,93.70000000000005,72.09999999999991
hosted,52,27,jammer,0.0791,large_tower,0.0757,0.0034000000000000002,1,2,False,51,0,0.9831,gmc,56.0,55.899999999999636,60.700000000000045
hosted,53,17,jammer,0.2528,ta-ta,0.1632,0.08960000000000001,9,0,True,54,0,0.9132,observed,61.5,61.90000000000009,61.5
hosted,53,21,spacecraft,0.218,ta-ta,0.1192,0.0988,8,0,True,54,0,0.8823,observed,50.2,50.200000000000045,54.19999999999993
hosted,53,18,spacecraft,0.138,ta-ta,0.1205,0.017500000000000016,10,1,True,53,0,0.8361,gmc,65.4,71.69999999999993,65.5
hosted,53,28,spacecraft,0.0801,small_launcher,0.0788,0.0013000000000000095,1,0,False,54,0,1.0,observed,49.8,49.799999999999955,51.89999999999999
hosted,54,18,spacecraft,0.1356,ta-ta,0.1224,0.013200000000000003,11,0,True,55,0,0.8389,observed,67.4,68.5,67.29999999999995
hosted,54,21,spacecraft,0.2182,ta-ta,0.1151,0.10310000000000001,9,0,True,55,0,0.8673,observed,46.2,51.0,46.10000000000002
hosted,54,17,jammer,0.2528,ta-ta,0.1632,0.08960000000000001,9,1,True,54,0,0.9118,gmc,62.4,62.5,62.5
hosted,54,28,spacecraft,0.0801,small_launcher,0.0788,0.0013000000000000095,1,1,False,54,0,0.9985,gmc,50.1,50.09999999999991,52.7
hosted,55,18,spacecraft,0.1369,ta-ta,0.1306,0.0063,12,0,True,56,0,0.85,observed,64.9,64.89999999999998,66.89999999999998
hosted,55,17,jammer,0.2942,ta-ta,0.162,0.1322,10,0,True,56,0,0.8977,observed,63.8,63.799999999999955,66.20000000000005
hosted,55,21,spacecraft,0.2182,ta-ta,0.1151,0.10310000000000001,9,1,True,55,0,0.8607,gmc,46.9,51.500000000000114,46.80000000000007
hosted,55,29,large_tower,0.093,jet_plane,0.0851,0.007900000000000004,1,0,False,56,0,1.0,observed,62.6,85.5,62.60000000000002
hosted,55,28,spacecraft,0.0801,small_launcher,0.0788,0.0013000000000000095,1,2,False,54,0,0.9909,gmc,50.5,50.5,53.5
hosted,56,18,spacecraft,0.1396,ta-ta,0.1381,0.0015000000000000013,13,0,True,57,0,0.8471,observed,63.4,63.39999999999998,66.0
hosted,56,17,jammer,0.3068,ta-ta,0.1562,0.1506,11,0,True,57,0,0.888,observed,65.1,65.10000000000014,67.20000000000005
hosted,56,21,spacecraft,0.2182,ta-ta,0.1151,0.10310000000000001,9,2,True,55,0,0.8581,gmc,47.6,51.90000000000009,47.59999999999991
hosted,56,30,large_tower,0.0721,tank,0.0719,0.00019999999999999185,1,0,False,57,0,1.0,observed,55.3,64.90000000000009,55.40000000000009
hosted,56,29,large_tower,0.093,jet_plane,0.0851,0.007900000000000004,1,1,False,56,0,0.9969,gmc,63.6,86.10000000000014,63.60000000000002
hosted,57,17,jammer,0.3046,ta-ta,0.163,0.14159999999999998,12,0,True,58,0,0.8615,observed,66.0,67.5,66.0
hosted,57,21,spacecraft,0.217,ta-ta,0.1422,0.0748,10,0,True,58,0,0.869,observed,49.7,49.69999999999993,56.09999999999991
hosted,57,29,large_tower,0.114,jet_plane,0.1058,0.008199999999999999,2,0,True,58,0,0.8359,observed,71.2,97.0,71.20000000000005
hosted,57,18,spacecraft,0.1396,ta-ta,0.1381,0.0015000000000000013,13,1,True,57,0,0.8445,gmc,63.9,63.90000000000009,67.00000000000011
hosted,57,31,small_launcher,0.0757,jammer,0.0734,0.0022999999999999965,1,0,False,58,0,1.0,observed,55.2,55.80000000000007,55.19999999999999
hosted,57,32,spacecraft,0.0975,small_launcher,0.0808,0.016700000000000007,1,0,False,58,0,1.0,observed,52.2,52.200000000000045,58.60000000000002
hosted,57,30,large_tower,0.0721,tank,0.0719,0.00019999999999999185,1,1,False,57,0,0.997,gmc,56.2,65.40000000000009,56.200000000000045
hosted,58,18,ta-ta,0.1607,spacecraft,0.1398,0.020900000000000002,14,0,True,59,0,0.8798,observed,67.5,68.70000000000005,67.5
hosted,58,17,jammer,0.3366,ta-ta,0.1568,0.17980000000000002,13,0,True,59,0,0.9002,observed,63.1,66.29999999999995,63.09999999999991
hosted,58,32,spacecraft,0.1304,small_launcher,0.0966,0.03379999999999998,2,0,True,59,0,0.8794,observed,56.7,56.700000000000045,61.5
hosted,58,21,spacecraft,0.217,ta-ta,0.1422,0.0748,10,1,True,58,0,0.8677,gmc,50.1,50.10000000000002,57.0
hosted,58,29,large_tower,0.114,jet_plane,0.1058,0.008199999999999999,2,1,True,58,0,0.8346,gmc,72.3,97.70000000000005,72.30000000000007
hosted,58,31,small_launcher,0.0757,jammer,0.0734,0.0022999999999999965,1,1,False,58,0,0.9985,gmc,56.0,56.200000000000045,56.0
hosted,58,30,large_tower,0.0721,tank,0.0719,0.00019999999999999185,1,2,False,57,0,0.9955,gmc,57.1,65.80000000000018,57.0
hosted,59,17,jammer,0.3334,ta-ta,0.1559,0.17749999999999996,14,0,True,60,0,0.8769,observed,66.1,70.59999999999991,66.09999999999991
hosted,59,18,ta-ta,0.1607,spacecraft,0.1398,0.020900000000000002,14,1,True,59,0,0.8772,gmc,68.5,69.20000000000005,68.5
hosted,59,32,spacecraft,0.1304,small_launcher,0.0966,0.03379999999999998,2,1,True,59,0,0.8767,gmc,57.1,57.09999999999991,62.400000000000034
hosted,59,21,spacecraft,0.217,ta-ta,0.1422,0.0748,10,2,True,58,0,0.8651,gmc,50.5,50.5,57.799999999999955
hosted,59,29,large_tower,0.114,jet_plane,0.1058,0.008199999999999999,2,2,True,58,0,0.8321,gmc,73.4,98.39999999999986,73.40000000000009
hosted,59,31,small_launcher,0.0757,jammer,0.0734,0.0022999999999999965,1,2,False,58,0,0.9955,gmc,56.6,56.60000000000002,56.89999999999998
hosted,60,17,jammer,0.3855,ta-ta,0.1735,0.21200000000000002,15,0,True,61,0,0.8858,observed,62.6,65.70000000000005,62.600000000000136
hosted,60,18,ta-ta,0.1607,spacecraft,0.1398,0.020900000000000002,14,2,True,59,0,0.8731,gmc,69.6,69.80000000000007,69.59999999999991
hosted,60,32,spacecraft,0.1304,small_launcher,0.0966,0.03379999999999998,2,2,True,59,0,0.8726,gmc,57.6,57.59999999999991,63.400000000000034
hosted,61,17,jammer,0.4231,ta-ta,0.1941,0.22899999999999998,16,0,True,62,0,0.8749,observed,58.7,60.200000000000045,58.70000000000027
hosted,61,18,ta-ta,0.1586,spacecraft,0.1416,0.016999999999999987,15,0,True,62,0,0.8367,observed,69.8,69.80000000000007,71.70000000000005
hosted,62,18,ta-ta,0.1567,spacecraft,0.1457,0.01100000000000001,16,0,True,63,0,0.8442,observed,71.3,72.5,71.29999999999995
hosted,62,17,jammer,0.4231,ta-ta,0.1941,0.22899999999999998,16,1,True,62,0,0.8722,gmc,31.1,60.80000000000018,31.09999999999991
hosted,63,18,ta-ta,0.1567,spacecraft,0.1457,0.01100000000000001,16,1,True,63,0,0.8403,gmc,72.4,73.10000000000002,72.30000000000018
hosted,64,18,ta-ta,0.1567,spacecraft,0.1457,0.01100000000000001,16,2,True,63,0,0.8364,gmc,73.5,73.69999999999993,73.5
hosted,64,33,jet_plane,0.1158,medium_launcher,0.0946,0.021199999999999997,1,0,False,65,0,1.0,observed,81.8,109.70000000000005,81.79999999999995
hosted,65,18,ta-ta,0.1654,spacecraft,0.1456,0.019799999999999984,17,0,True,66,0,0.8602,observed,70.2,74.70000000000005,70.29999999999995
hosted,65,34,jammer,0.0782,ta-ta,0.0758,0.0023999999999999994,1,0,False,66,0,1.0,observed,72.2,80.5,72.10000000000014
hosted,65,33,jet_plane,0.1158,medium_launcher,0.0946,0.021199999999999997,1,1,False,65,0,0.9969,gmc,83.1,110.59999999999991,83.09999999999991
hosted,66,18,ta-ta,0.1654,spacecraft,0.1456,0.019799999999999984,17,1,True,66,0,0.8589,gmc,71.3,75.19999999999993,71.29999999999995
hosted,66,34,jammer,0.0782,ta-ta,0.0758,0.0023999999999999994,1,1,False,66,0,0.9985,gmc,73.3,81.20000000000005,73.30000000000018
hosted,66,33,jet_plane,0.1158,medium_launcher,0.0946,0.021199999999999997,1,2,False,65,0,0.9954,gmc,84.4,111.40000000000009,84.39999999999986
