dataset,frame_index,source_file,source_width,source_height,analysis_width,analysis_height,brightness_mean,contrast_std,luma_p05,luma_p95,dynamic_range_p95_p05,entropy_bits,saturation_mean,colorfulness,gradient_mean,laplacian_variance,edge_density,edge_component_count,edge_component_area_median,orb_keypoints,dark_fraction,bright_fraction
hosted,85,00085.png,960,540,960,540,102.6222550154321,45.23719086325825,25.0,174.0,149.0,7.450863520963639,100.3477662037037,41.19606057052104,93.58650970458984,1799.3718960905014,0.24806327160493827,2661,7.0,9813,0.11258487654320988,0.0
hosted,90,00090.png,960,540,960,540,100.28512538580247,45.83623418643815,24.0,175.0,151.0,7.453599345250222,102.70664351851852,41.21591415091742,90.7684555053711,1667.7954206960999,0.24734953703703705,2612,8.0,9796,0.12192901234567902,0.0
hosted,95,00095.png,960,540,960,540,95.95830825617284,48.18800777374821,20.0,175.0,155.0,7.474192389912162,108.03650655864197,41.143940343328424,87.92852020263672,1507.240845566483,0.23861689814814815,2475,9.0,9810,0.16507137345679013,0.0
hosted,100,00100.png,960,540,960,540,88.60844521604939,52.980460114904325,17.0,176.0,159.0,7.407637045258165,122.89951774691357,42.21778227971853,76.25081634521484,1360.6956252114173,0.20716628086419753,2257,8.0,9831,0.272914737654321,0.0
hosted,105,00105.png,960,540,960,540,87.41430555555556,55.35889499644681,19.0,180.0,161.0,7.316090487868951,131.3602951388889,44.81487786353215,69.66390228271484,1314.9074505389178,0.17650270061728396,1982,8.0,9717,0.33640817901234565,0.0
hosted,110,00110.png,960,540,960,540,84.19885416666666,54.434694473484775,22.0,182.0,160.0,7.231571147707669,138.43023533950617,47.96905537917936,71.40300750732422,1386.1616334086145,0.174483024691358,2029,8.0,9449,0.3408275462962963,0.0
hosted,115,00115.png,960,540,960,540,84.83362654320987,55.2284167981789,24.0,185.0,161.0,7.179634029931796,139.5787075617284,49.49175301210654,71.45442962646484,1427.4015264149511,0.16723765432098767,2057,7.0,9476,0.2912210648148148,5.015432098765432e-05
hosted,120,00120.png,960,540,960,540,87.4562287808642,57.1739720521703,26.0,189.0,163.0,7.162499147516763,139.12964699074075,50.641977675059344,68.65780639648438,1475.2543533929183,0.1604880401234568,2036,7.0,9484,0.26861111111111113,0.000615354938271605
hosted,125,00125.png,960,540,960,540,89.08989969135803,61.23376690774593,26.0,195.0,169.0,7.081818860995496,140.212081404321,50.02667768120848,65.2359619140625,1424.000342866312,0.1423244598765432,1769,8.0,9812,0.30343557098765433,0.0013097993827160493
hosted,130,00130.png,960,540,960,540,99.91875,63.409771820488274,25.0,197.0,172.0,7.247855651966662,121.61306134259259,45.29617302943477,78.54586791992188,1799.5445444756083,0.17294753086419754,2106,7.0,9973,0.30789351851851854,0.0014178240740740742
hosted,135,00135.png,960,540,960,540,106.29878472222222,60.55417829783151,21.0,192.0,171.0,7.415360641455833,101.0596161265432,37.17164816176396,95.81710815429688,2296.6191361796987,0.2158082561728395,2528,7.0,9936,0.2552314814814815,6.17283950617284e-05
hosted,140,00140.png,960,540,960,540,103.842137345679,56.93707593166163,16.0,183.0,167.0,7.444315244608932,95.61006172839507,35.700783057314105,95.3697280883789,2256.1926723125853,0.22996913580246914,2760,8.0,9941,0.20101658950617285,0.0
hosted,145,00145.png,960,540,960,540,98.18970486111111,54.48171606978127,14.0,177.0,163.0,7.419079825924255,97.31305169753087,35.00889366861938,93.91818237304688,2266.67061933369,0.2360570987654321,2814,8.0,9964,0.1996604938271605,0.0
hosted,150,00150.png,960,540,960,540,95.22965663580247,51.52745107823358,14.0,173.0,159.0,7.417021089264667,97.49139660493827,35.40463609655911,93.69466400146484,2229.6559340009526,0.23966435185185186,2713,7.0,9956,0.18486882716049383,0.0
hosted,155,00155.png,960,540,960,540,94.28952739197531,50.05631407321244,13.0,172.0,159.0,7.428640420696009,97.4914101080247,35.85458032868575,94.5626220703125,2243.9855582936666,0.2455439814814815,2748,7.5,9953,0.1776466049382716,0.0
hosted,160,00160.png,960,540,960,540,95.36560570987655,48.42049589525786,13.0,172.0,159.0,7.450509252475465,93.52905092592593,35.80805688330067,96.91850280761719,2267.3839656501805,0.25906442901234567,2814,8.0,9893,0.15616512345679012,0.0
hosted,165,00165.png,960,540,960,540,95.719737654321,46.36498887909211,16.0,172.0,156.0,7.4624376293455486,91.032237654321,36.42497394411616,98.90856170654297,2209.511953678069,0.2729320987654321,3015,7.0,9930,0.13089891975308643,0.0
hosted,170,00170.png,960,540,960,540,96.50114583333334,45.447365035348334,23.0,173.0,150.0,7.476490949197446,86.85485725308642,36.06675759682466,102.92351531982422,2299.3621338403204,0.2833198302469136,3151,6.0,9924,0.11659529320987655,0.0
hosted,175,00175.png,960,540,960,540,95.21814429012346,44.21821055346053,25.0,172.0,147.0,7.445995374795793,87.62339506172839,36.611644843634046,106.5816650390625,2309.4427737964957,0.2938213734567901,3200,7.0,9962,0.11293402777777778,0.0
hosted,180,00180.png,960,540,960,540,93.8305111882716,44.17936538278965,25.0,172.0,147.0,7.444329109228976,88.9594212962963,36.594161436487354,111.87651062011719,2468.814194987366,0.30356867283950617,3270,6.0,9983,0.1162403549382716,0.0
hosted,185,00185.png,960,540,960,540,92.57864390432098,44.61896982994672,25.0,174.0,149.0,7.446342867672788,89.58752893518519,35.64873662996072,114.86216735839844,2492.852972511273,0.3108275462962963,3443,6.0,10000,0.12206018518518519,0.0
hosted,190,00190.png,960,540,960,540,92.19628086419753,45.17336089753717,24.0,176.0,152.0,7.461775423321079,89.95217785493827,36.55405788423642,119.07559967041016,2827.1475061863994,0.3147723765432099,3388,5.0,10000,0.1258719135802469,0.0
hosted,195,00195.png,960,540,960,540,95.6751774691358,45.802512612516566,27.0,178.0,151.0,7.479679027860634,86.29083912037036,37.55204948691565,121.21119689941406,2932.7978338966727,0.31198881172839504,3492,5.0,10000,0.10997492283950618,0.0
hosted,200,00200.png,960,540,960,540,95.90360146604938,45.19786612218079,28.0,176.0,148.0,7.465459597000796,86.94292438271604,39.77805974433344,122.11052703857422,2913.5962867353273,0.31060185185185185,3619,5.0,10000,0.1043653549382716,0.0
hosted,205,00205.png,960,540,960,540,96.25947723765432,45.06659432732583,29.0,176.0,147.0,7.46373499513378,88.65645447530864,42.85916112006699,120.97816467285156,2933.31556076192,0.3070775462962963,3575,6.0,10000,0.10240547839506173,1.9290123456790124e-06
hosted,210,00210.png,960,540,960,540,96.6764101080247,45.86162159684615,28.0,177.0,149.0,7.485924592105019,90.96358796296296,45.64866738939784,119.80450439453125,2946.40943704631,0.30290316358024694,3355,6.0,10000,0.10740354938271605,5.9799382716049385e-05
hosted,215,00215.png,960,540,960,540,97.82217978395062,46.987311792407716,26.0,177.0,151.0,7.515001209807048,92.32896026234567,47.635157099655615,117.276611328125,2762.8065294246385,0.2929783950617284,3333,6.0,10000,0.11602623456790123,0.0
hosted,220,00220.png,960,540,960,540,96.83745949074074,47.477435575639745,24.0,175.0,151.0,7.518932566120132,94.83363811728395,49.48420161919932,115.8525161743164,2634.3529653846435,0.2858063271604938,3423,7.0,10000,0.13246527777777778,0.0
hosted,225,00225.png,960,540,960,540,95.32667824074075,46.280397648263,23.0,169.0,146.0,7.473555442575972,98.3434162808642,50.92619915712712,115.72257995605469,2619.6411223203663,0.28108217592592594,3411,6.0,10000,0.14053626543209877,0.0
hosted,230,00230.png,960,540,960,540,96.05156635802469,45.33880608322958,24.0,167.0,143.0,7.443989693715185,99.30980902777777,52.99473692547541,112.19020080566406,2533.9355335949967,0.26841628086419755,3493,7.0,10000,0.1309375,0.0
hosted,235,00235.png,960,540,960,540,95.08201195987654,45.26627602424626,23.0,165.0,142.0,7.4299785890077885,100.62020061728396,52.322809979994574,108.67962646484375,2335.593968455107,0.25728395061728393,3335,7.0,10000,0.1330864197530864,0.0
hosted,240,00240.png,960,540,960,540,95.46374807098765,45.15487163019753,24.0,165.0,141.0,7.422664487381865,101.7699787808642,53.11740805252798,104.66169738769531,2262.7649709442517,0.24383680555555556,3190,8.0,9977,0.12780478395061728,0.0
hosted,245,00245.png,960,540,960,540,94.63644483024692,45.08931364901403,24.0,164.0,140.0,7.418287282017994,102.44479359567902,52.29602579232252,101.18509674072266,2153.370083029689,0.23505979938271604,2914,8.0,9946,0.13000771604938272,0.0
helsinki,0,frame_000000.png,3840,2160,960,540,81.77578317901235,65.39365681637008,5.0,190.0,185.0,7.451041232967622,119.70835841049383,36.8233211311712,102.1263427734375,2848.49297221945,0.23026427469135802,3695,6.0,9939,0.4188773148148148,0.0008545524691358024
helsinki,1,frame_000001.png,3840,2160,960,540,81.29805169753087,65.2036415013094,5.0,190.0,185.0,7.458115207778075,120.55415895061728,36.786063065212915,104.07784271240234,2879.8725481261454,0.23429398148148148,3814,6.0,9962,0.41773533950617286,0.000935570987654321
helsinki,2,frame_000002.png,3840,2160,960,540,80.88619212962963,65.01693884766102,4.0,189.0,185.0,7.463490256799147,121.52915895061729,36.82028252734801,105.85100555419922,2898.7591771314246,0.23648341049382715,3876,6.0,9980,0.4169888117283951,0.0009915123456790123
helsinki,3,frame_000003.png,3840,2160,960,540,80.82543209876543,64.71557706562422,4.0,189.0,185.0,7.473336725122352,122.21741705246913,36.99817593729433,108.08271026611328,2921.7485763840664,0.24169753086419754,3788,6.0,10000,0.4127507716049383,0.0010532407407407407
helsinki,4,frame_000004.png,3840,2160,960,540,80.81791859567902,64.38739234303294,4.0,189.0,185.0,7.484208628041613,122.71981481481481,37.12928310114454,110.35543060302734,2947.165011797325,0.24480516975308642,3812,6.0,10000,0.4077546296296296,0.0010706018518518519
helsinki,5,frame_000005.png,3840,2160,960,540,80.53694444444444,64.00862928357664,4.0,188.0,184.0,7.489995666216726,123.31776427469136,37.24754200591072,112.41886138916016,3055.0204252363005,0.24881944444444445,4015,6.0,10000,0.40457368827160495,0.001109182098765432
helsinki,6,frame_000006.png,3840,2160,960,540,80.24463734567901,63.73129496058471,4.0,188.0,184.0,7.49391609703137,123.96787808641976,37.26888160022745,114.27552795410156,3091.674911053237,0.25330632716049384,3959,6.0,10000,0.4030246913580247,0.0011593364197530864
helsinki,7,frame_000007.png,3840,2160,960,540,79.88636766975308,63.42334890909465,4.0,187.0,183.0,7.498010447382303,124.61921103395062,37.227982584347636,116.25688171386719,3097.2786252557135,0.25570408950617285,4181,6.0,10000,0.40155864197530866,0.0012326388888888888
helsinki,8,frame_000008.png,3840,2160,960,540,79.38924189814814,62.83164798742521,4.0,186.0,182.0,7.501762929972115,124.76375192901234,37.15444822971707,119.9453353881836,3282.844498103793,0.2616242283950617,4099,6.0,10000,0.4005941358024691,0.001248070987654321
helsinki,9,frame_000009.png,3840,2160,960,540,78.3912673611111,62.20553181821786,4.0,185.0,181.0,7.498508876579677,125.54107831790124,36.91504171488761,122.58506774902344,3337.006115217392,0.2654861111111111,4188,5.0,10000,0.4036111111111111,0.0012770061728395062
helsinki,10,frame_000010.png,3840,2160,960,540,77.26651041666666,61.46251100344862,3.0,183.0,180.0,7.495991903959162,126.60787808641976,36.74899880550552,125.38182830810547,3484.511342746612,0.26992283950617285,4218,6.0,10000,0.40599151234567904,0.0012943672839506172
helsinki,11,frame_000011.png,3840,2160,960,540,76.25242091049383,60.85883690508815,3.0,182.0,179.0,7.4930206758800235,127.77374807098765,36.580217912174454,128.11061096191406,3548.0859552508987,0.2746412037037037,4284,6.0,10000,0.40749228395061726,0.0013406635802469136
helsinki,12,frame_000012.png,3840,2160,960,540,75.30247299382717,60.24483690337232,3.0,181.0,178.0,7.4892201196135675,128.8582561728395,36.4590403751949,131.2409210205078,3720.9202240732366,0.27901427469135803,4359,5.0,10000,0.40759645061728395,0.0013040123456790123
helsinki,13,frame_000013.png,3840,2160,960,540,73.81812692901235,59.50757054268674,3.0,180.0,177.0,7.47808434170121,130.28208719135802,36.17473806425404,133.95159912109375,3754.07099851037,0.28318479938271607,4541,6.0,10000,0.41206211419753086,0.0013387345679012346
helsinki,14,frame_000014.png,3840,2160,960,540,72.36231674382717,58.60480105016663,3.0,178.0,175.0,7.4643084519336895,131.54380979938273,35.80796708743584,137.0305938720703,3828.337328094264,0.2870968364197531,4411,5.0,10000,0.41461805555555553,0.0013483796296296297
helsinki,15,frame_000015.png,3840,2160,960,540,70.95196952160494,57.67982728038243,3.0,175.0,172.0,7.447822223265289,132.8280150462963,35.45138641217156,140.00965881347656,3890.6556576299436,0.2907908950617284,4571,5.0,10000,0.4181037808641975,0.0013175154320987654
helsinki,16,frame_000016.png,3840,2160,960,540,69.74434027777778,56.71277631781338,3.0,173.0,170.0,7.43323701316786,134.05350694444445,35.23895889036195,143.15090942382812,4057.3909763333963,0.29635416666666664,4629,5.0,10000,0.41858989197530866,0.0012943672839506172
helsinki,17,frame_000017.png,3840,2160,960,540,68.92626543209876,56.22065444347835,3.0,171.0,168.0,7.421574535972008,135.05880594135803,35.01684974707561,145.29055786132812,4077.054887848413,0.29998842592592595,4528,5.0,10000,0.4188464506172839,0.0012905092592592593
helsinki,18,frame_000018.png,3840,2160,960,540,68.71325231481481,55.84313199943017,2.0,170.0,168.0,7.417726510699882,135.44547453703703,34.94288303400632,147.61021423339844,4121.00380508988,0.30345871913580247,4714,5.0,10000,0.4150655864197531,0.001255787037037037
helsinki,19,frame_000019.png,3840,2160,960,540,68.5157137345679,55.36169488730087,2.0,169.0,167.0,7.413497622733754,135.51273533950618,34.85642900870314,149.87051391601562,4231.59713507462,0.3074440586419753,4765,5.0,10000,0.410054012345679,0.00123070987654321
helsinki,20,frame_000020.png,3840,2160,960,540,68.42798032407407,54.91155204266386,2.0,168.0,166.0,7.411499454775527,135.09354359567902,34.73947159849955,152.682373046875,4396.419773911265,0.31211033950617284,4818,5.0,10000,0.4050848765432099,0.0010821759259259259
helsinki,21,frame_000021.png,3840,2160,960,540,67.73835648148147,54.66721201666855,2.0,167.0,165.0,7.4004897293897205,135.47741319444444,34.37228527113372,154.072509765625,4437.7100528777855,0.31328703703703703,4760,5.0,10000,0.4073090277777778,0.0010648148148148149
helsinki,22,frame_000022.png,3840,2160,960,540,67.10909529320988,54.3576350361206,2.0,166.0,164.0,7.390611149293475,135.9181288580247,34.000894179520124,155.09133911132812,4469.338164043151,0.31507908950617286,4889,5.0,10000,0.40857445987654323,0.0009992283950617283
helsinki,23,frame_000023.png,3840,2160,960,540,66.78167824074075,53.942409433164116,2.0,165.0,163.0,7.385934788144089,136.08266396604938,33.76322583825622,156.04502868652344,4491.735613878038,0.3175115740740741,4884,5.0,10000,0.4066570216049383,0.0009471450617283951
helsinki,24,frame_000024.png,3840,2160,960,540,66.71112268518519,53.79714372141119,2.0,165.0,163.0,7.3850959591072955,135.78054591049383,33.48125547311891,157.57388305664062,4610.94978924455,0.31937692901234566,5034,5.0,10000,0.40377314814814813,0.0009336419753086419
